segment,rows
Clothing,6198
Women's Clothing,3901
Jewellery,3531
Western Wear,1981
Men's Clothing,1773
Necklaces & Chains,1606
Necklaces,1588
"Shirts, Tops & Tunics",1249
Footwear,1227
"Lingerie, Sleep & Swimwear",1208
Mobiles & Accessories,1099
Bras,1036
Automotive,1012
Home Decor & Festive Needs,929
Accessories & Spare parts,925
T-Shirts,912
Shirts,911
Tablet Accessories,801
Cases & Covers,796
Women's Footwear,781
Rings,743
"Bangles, Bracelets & Armlets",724
Beauty and Personal Care,710
Home Furnishing,700
Car Interior & Exterior,677
Car Interior,672
Kitchen & Dining,647
Dresses & Skirts,621
Computers,578
Ethnic Wear,576
Car Mats,544
Dresses,541
Watches,530
Tops,525
Wrist Watches,523
Kids' Clothing,520
Baby Care,483
Casual Shoes,474
Bangles,455
Showpieces,415
Tools,403
Tools & Hardware,391
Fragrances,391
Deodorants,388
Combos,375
Laptop Accessories,343
Gardening Tools,343
Men's Footwear,340
Plant Containers & Sets,333
Plant Container Sets,333
Toys & School Supplies,330
Pens & Stationery,313
Mobile Accessories,304
Coffee Mugs,302
School Supplies,300
Girls Wear,287
Wall Decor & Clocks,278
Winter & Seasonal Wear,270
Bracelets,267
"Bags, Wallets & Belts",265
TheLostPuppy Cases & Covers,229
Leggings & Jeggings,226
Geometry & Pencil Boxes,221
Bed Linen,217
Kurtas & Kurtis,217
Wedges,207
Baby & Kids Gifts,203
Network Components,202
Routers,199
S4S Bras,197
Bags,196
Stickers,194
"Blankets, Quilts & Dohars",192
Infant Wear,187
Furniture,180
Ethnic,173
Boys Wear,169
Sports & Fitness,166
Jewellery Sets,166
Kurtis,165
Curtains & Accessories,162
Curtains,161
USB Gadgets,154
Accessories,153
Table Decor & Handicrafts,150
DailyObjects Cases & Covers,144
Office Supplies,140
Jeans,140
Heels,139
Polos & T-Shirts,137
Accessories & Combo Sets,135
Numero Uno T-Shirts,135
Formal Shirts,128
Fabric,122
Boots,122
Wall Decals & Stickers,122
Brooches,113
Spares & Performance Parts,111
Loafers,108
Casual & Party Wear Shirts,106
Kids' & Infant Footwear,105
Bath Linen,105
Cookware,102
Flats,101
