fold,label,article,n,families,errors,recall,false_positives,parent_recall,gray_recall,destinations
pooled,Girls,Capris,16,7,6,0.625,2,0.5625,0.5,"{""Boys"": 2, ""Men"": 3, ""Women"": 1}"
pooled,Girls,Casual Shoes,10,9,6,0.4,1,0.5,0.0,"{""Unisex"": 4, ""Women"": 2}"
pooled,Girls,Clothing Set,2,2,0,1.0,0,1.0,0.5,{}
pooled,Girls,Dresses,21,13,11,0.47619047619047616,2,0.5238095238095238,0.23809523809523808,"{""Unisex"": 3, ""Women"": 8}"
pooled,Girls,Flip Flops,2,1,2,0.0,3,0.0,0.5,"{""Boys"": 1, ""Unisex"": 1}"
pooled,Girls,Gloves,2,1,0,1.0,1,1.0,0.0,{}
pooled,Girls,Innerwear Vests,3,3,2,0.3333333333333333,0,0.6666666666666666,0.0,"{""Boys"": 2}"
pooled,Girls,Jeans,5,2,2,0.6,8,0.6,0.6,"{""Boys"": 2}"
pooled,Girls,Leggings,3,3,1,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,"{""Women"": 1}"
pooled,Girls,Lehenga Choli,1,1,0,1.0,0,1.0,1.0,{}
pooled,Girls,Rompers,3,2,0,1.0,0,1.0,0.6666666666666666,{}
pooled,Girls,Sandals,17,13,12,0.29411764705882354,3,0.23529411764705882,0.29411764705882354,"{""Unisex"": 5, ""Women"": 7}"
pooled,Girls,Shorts,13,8,6,0.5384615384615384,10,0.6153846153846154,0.6153846153846154,"{""Women"": 6}"
pooled,Girls,Skirts,8,5,4,0.5,4,0.25,0.0,"{""Boys"": 1, ""Unisex"": 1, ""Women"": 2}"
pooled,Girls,Tops,76,39,23,0.6973684210526315,18,0.6842105263157895,0.6710526315789473,"{""Boys"": 8, ""Men"": 4, ""Women"": 11}"
pooled,Girls,Tshirts,33,24,13,0.6060606060606061,10,0.6060606060606061,0.5454545454545454,"{""Boys"": 9, ""Women"": 4}"
pooled,Girls,Watches,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
pooled,Boys,Blazers,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
pooled,Boys,Booties,4,2,4,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 3}"
pooled,Boys,Capris,2,1,0,1.0,2,1.0,1.0,{}
pooled,Boys,Casual Shoes,13,10,9,0.3076923076923077,1,0.3076923076923077,0.38461538461538464,"{""Men"": 3, ""Unisex"": 5, ""Women"": 1}"
pooled,Boys,Clothing Set,1,1,0,1.0,0,1.0,0.0,{}
pooled,Boys,Flip Flops,5,5,3,0.4,2,0.6,0.4,"{""Unisex"": 3}"
pooled,Boys,Gloves,4,2,3,0.25,0,0.25,0.25,"{""Girls"": 1, ""Men"": 1, ""Women"": 1}"
pooled,Boys,Jackets,4,2,4,0.0,0,0.0,0.0,"{""Unisex"": 2, ""Women"": 2}"
pooled,Boys,Jeans,10,4,6,0.4,7,0.3,0.4,"{""Girls"": 5, ""Men"": 1}"
pooled,Boys,Kurtas,1,1,0,1.0,0,1.0,1.0,{}
pooled,Boys,Rompers,2,1,0,1.0,0,0.0,0.5,{}
pooled,Boys,Sandals,5,4,2,0.6,4,0.6,0.6,"{""Men"": 1, ""Unisex"": 1}"
pooled,Boys,Shirts,25,8,2,0.92,12,0.96,0.92,"{""Men"": 2}"
pooled,Boys,Shorts,16,10,14,0.125,5,0.25,0.125,"{""Girls"": 3, ""Men"": 11}"
pooled,Boys,Sweatshirts,2,2,2,0.0,1,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
