id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,year,productDisplayName,product_name_repaired,has_articleType_label,has_season_label,has_gender_label,has_usage_label,path,width,height,aspect_ratio,mode,format,file_size_bytes,sha256,product_name_key,product_family_group,family_group_basis,is_cross_role_exact_duplicate,is_cross_role_near_duplicate,has_conflicting_target_labels,conflicting_targets,pre_quarantine_reason,duplicate_group,is_cross_role_duplicate,quarantine_reason,partition,cv_fold,name_signal,name_conflict
3319,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Sports,2011,CSK Boys Fangear Tee,False,True,True,True,True,data/raw/teacher/train/images_train/3319.jpg,60.0,80.0,0.75,RGB,JPEG,1358,06234c746ca7205ddfe3c6cb1c0a19bf0f5f6a3ed29f0eb0ff6501364dd22335,csk boys fangear tee,family_e40f403944f152f7,singleton,False,False,False,,,single_06234c746ca7,False,,development,2,Boys,True
3329,Men,Apparel,Topwear,Tshirts,Red,Summer,Sports,2011,KXIP Boys Fangear Tee,False,True,True,True,True,data/raw/teacher/train/images_train/3329.jpg,60.0,80.0,0.75,RGB,JPEG,4356,5b43b39e8db1102fa78e31a302ef64d13ed35c8f81188a6f359a895b0bd4fab1,kxip boys fangear tee,family_2913ed7d4c8d8892,singleton,False,False,False,,,single_5b43b39e8db1,False,,development,1,Boys,True
3900,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,2011,Disney Kids Girl Pooh Pink And White Top,False,True,True,True,True,data/raw/teacher/train/images_train/3900.jpg,60.0,80.0,0.75,RGB,JPEG,3127,ba6df688150fcff5d0921143c6e0884abb2f984e3f8a75f65587221b7e185b29,disney kids girl pooh pink and white top,family_d82e950a6d46a584,singleton,False,False,False,,,single_ba6df688150f,False,,development,1,Girls,True
4325,Boys,Apparel,Topwear,Tshirts,Blue,Summer,Casual,2011,Tantra Kid's Unisex Stop Turqoise Kidswear,False,True,True,True,True,data/raw/teacher/train/images_train/4325.jpg,60.0,80.0,0.75,RGB,JPEG,14379,9673c3c6af6d07cd29b06bded64783d66af0c5bc22e55c502a4d84894e84fcf6,tantra kid's unisex stop turqoise kidswear,family_7ca26aafbfe189a2,singleton,False,False,False,,,single_9673c3c6af6d,False,,development,4,Unisex,True
4868,Men,Apparel,Topwear,Tshirts,Orange,Summer,Casual,2016,Levis Kids Boy's Darby Orange Polo Tshirt,False,True,True,True,True,data/raw/teacher/train/images_train/4868.jpg,60.0,80.0,0.75,RGB,JPEG,11956,f96cbc0024bd092e6e0b325023f112ec897dd159e75ba96988e7bc73c355a35e,levis kids boy's darby orange polo tshirt,family_a0a9572cd10cca7f,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_42565,False,,development,2,Boys,True
4869,Men,Apparel,Topwear,Tshirts,Orange,Summer,Casual,2016,Levis Kids Boy's Orange Polo Tshirt,False,True,True,True,True,data/raw/teacher/train/images_train/4869.jpg,60.0,80.0,0.75,RGB,JPEG,11956,f96cbc0024bd092e6e0b325023f112ec897dd159e75ba96988e7bc73c355a35e,levis kids boy's orange polo tshirt,family_a0a9572cd10cca7f,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_42565,False,,development,2,Boys,True
4870,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,2016,Levis Kids Boy's Dawson Red Teens Kidswear,False,True,True,True,True,data/raw/teacher/train/images_train/4870.jpg,60.0,80.0,0.75,RGB,JPEG,12982,1b1a864dd1a0e53fc25fc5049271b499726ece8a35caad2d6b89f81ea0de8dcc,levis kids boy's dawson red teens kidswear,family_ef55cea42ae85fa5,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_04679,False,,development,0,Boys,True
4871,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,2016,Levis Kids Boy's Dawson Red Kidswear,False,True,True,True,True,data/raw/teacher/train/images_train/4871.jpg,60.0,80.0,0.75,RGB,JPEG,12982,1b1a864dd1a0e53fc25fc5049271b499726ece8a35caad2d6b89f81ea0de8dcc,levis kids boy's dawson red kidswear,family_ef55cea42ae85fa5,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_04679,False,,development,0,Boys,True
4872,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,2016,Levis Kids Boy's Danio Grey Teens Kidswear,False,True,True,True,True,data/raw/teacher/train/images_train/4872.jpg,60.0,80.0,0.75,RGB,JPEG,1227,26897c9c6e5cf16850f4e48be27b1046ebc5f9acb9a415bd95c0d5eab63c98ba,levis kids boy's danio grey teens kidswear,family_8816aa9709b075d0,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_06682,False,,development,2,Boys,True
4873,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,2016,Levis Kids Boy's Danio Grey Kidswear,False,True,True,True,True,data/raw/teacher/train/images_train/4873.jpg,60.0,80.0,0.75,RGB,JPEG,1227,26897c9c6e5cf16850f4e48be27b1046ebc5f9acb9a415bd95c0d5eab63c98ba,levis kids boy's danio grey kidswear,family_8816aa9709b075d0,exact_sha256+accepted_near_duplicate,False,False,False,,,dup_06682,False,,development,2,Boys,True
