gender,articleType,n,correct,recall,fold
Boys,Blazers,1,1,1.0,0
Boys,Booties,3,3,1.0,0
Boys,Capris,9,9,1.0,0
Boys,Casual Shoes,17,16,0.9411764705882353,0
Boys,Churidar,1,0,0.0,0
Boys,Clothing Set,4,4,1.0,0
Boys,Flip Flops,11,11,1.0,0
Boys,Gloves,4,2,0.5,0
Boys,Innerwear Vests,3,3,1.0,0
Boys,Jackets,2,2,1.0,0
Boys,Jeans,21,21,1.0,0
Boys,Kurta Sets,2,2,1.0,0
Boys,Kurtas,5,5,1.0,0
Boys,Leggings,3,1,0.3333333333333333,0
Boys,Rompers,4,4,1.0,0
Boys,Sandals,8,8,1.0,0
Boys,Shirts,52,52,1.0,0
Boys,Shorts,39,37,0.9487179487179487,0
Boys,Socks,1,0,0.0,0
Boys,Sports Shoes,2,1,0.5,0
Boys,Sweatshirts,1,1,1.0,0
Boys,Trousers,2,2,1.0,0
Boys,Tshirts,346,342,0.9884393063583815,0
Boys,Waistcoat,2,2,1.0,0
Boys,Watches,5,4,0.8,0
Girls,Backpacks,1,0,0.0,0
Girls,Booties,4,4,1.0,0
Girls,Capris,21,20,0.9523809523809523,0
Girls,Casual Shoes,8,8,1.0,0
Girls,Clothing Set,2,2,1.0,0
Girls,Dresses,42,39,0.9285714285714286,0
Girls,Earrings,1,0,0.0,0
Girls,Flip Flops,6,6,1.0,0
Girls,Gloves,4,3,0.75,0
Girls,Innerwear Vests,3,3,1.0,0
Girls,Jeans,12,12,1.0,0
Girls,Leggings,15,15,1.0,0
Girls,Lehenga Choli,2,2,1.0,0
Girls,Rompers,4,4,1.0,0
Girls,Salwar,4,4,1.0,0
Girls,Sandals,31,30,0.967741935483871,0
Girls,Shirts,1,1,1.0,0
Girls,Shorts,25,24,0.96,0
Girls,Skirts,16,16,1.0,0
Girls,Tops,154,149,0.9675324675324676,0
Girls,Tshirts,72,70,0.9722222222222222,0
Girls,Watches,8,8,1.0,0
Men,Accessory Gift Set,74,74,1.0,0
Men,Backpacks,36,15,0.4166666666666667,0
Men,Bangle,14,13,0.9285714285714286,0
Men,Belts,359,354,0.9860724233983287,0
Men,Blazers,4,4,1.0,0
Men,Body Wash and Scrub,1,1,1.0,0
Men,Boxers,27,27,1.0,0
Men,Briefs,349,348,0.997134670487106,0
Men,Caps,74,66,0.8918918918918919,0
Men,Casual Shoes,1432,1427,0.9965083798882681,0
Men,Churidar,6,6,1.0,0
Men,Cufflinks,25,25,1.0,0
Men,Deodorant,124,123,0.9919354838709677,0
Men,Duffel Bag,1,1,1.0,0
Men,Flip Flops,323,319,0.9876160990712074,0
Men,Formal Shoes,414,414,1.0,0
Men,Fragrance Gift Set,20,20,1.0,0
Men,Free Gifts,26,26,1.0,0
