sheet,id,fold,label,prediction,article,family,sha256
girls_misses,35525,0,Girls,Women,Casual Shoes,family_b683515e95d1f265,a0fe757f0abf9b5205995164f4eeb8d86d5f3b196101aabfab6b1d3d7d7b9d5b
girls_misses,2716,0,Girls,Women,Tops,family_cc9cf5d8f89bae4a,57364181334c366874a0810a28a25150e85d4e623a974cdb52ace0c950dadaa1
girls_misses,2697,0,Girls,Women,Dresses,family_1498172a195a73ec,e1a874c2f5490cdd7c4024aac705998fc728cd3bf287c84c61986e0a33fa83e0
girls_misses,37565,4,Girls,Boys,Innerwear Vests,family_a5fd0d76d5251346,0ca1d443b870e540e1b9c4c4d0a89b5d79fc052efb4127328d26abfbef09c595
girls_misses,37613,0,Girls,Boys,Tshirts,family_da97c1fe0b030363,792e15b1f54f5545d00ba3ac096ddc143cb03528e0053eedab9bd2334f77f890
girls_misses,35534,4,Girls,Women,Casual Shoes,family_dd99082df61c9042,6a10c6830212f932e05815a804e15314cfff1886a7188ec01b7128793932b2ef
girls_misses,15888,4,Girls,Unisex,Sandals,family_18dbc8b5f67f4343,f79e099164da765b4c1bbb2cab76deab9e4ff6d5279b6e16bbf8e3f7a10de81a
girls_misses,34092,0,Girls,Women,Tops,family_637dac1d20bc444d,ec0a45526498deddf46e03a2cbdf3a401c7089074e7d5592daa0ca0344c565b1
girls_misses,35540,0,Girls,Women,Sandals,family_124173d09df0366e,673a7391d605923d7ef97edbaa02330085403b7a0d076a7b716bb97ce1398f3b
girls_misses,3854,4,Girls,Women,Tshirts,family_35eb479ee85628b9,86302c7973b500c79e6a0b4cfa773616fc5d5fadf1ed79596dd337030581272a
girls_misses,38501,4,Girls,Boys,Jeans,family_8aa003f947b2d095,5b9b23b50d00d6ff69c37813a30d19690a7577bbd0e9fbcfd441a0b06e7b19e1
girls_misses,46835,0,Girls,Boys,Capris,family_0a2da82492dcb9b3,581ca8e47edc144a30fb0184b255e84729e0b2e1c891bdaf0cd6c1a7f2bbaafe
girls_false_positives,5009,4,Women,Girls,Tops,family_fb5fa8f93a7d3f42,f2570d18e34015584b8a42e8deed64801607167632b7962cdedb90daed3b1c77
girls_false_positives,4920,0,Women,Girls,Tops,family_7cb3c8de64d6b6b4,8fbb63f53cc8450a36d8c3cb939118f151a505e6ada3f8c92ead4dc9a9b89907
girls_false_positives,17616,4,Women,Girls,Tshirts,family_5727fa1d0cb394af,f484711f9b7429768587fadd7f8f2fd0dcf679c1edf60b8f9cbc3df9031fff9f
girls_false_positives,4930,4,Women,Girls,Skirts,family_afb36973671a3f3a,7ce8f5b0247b18d1771d4a9c0a137f9ead70c0ffef89cae3ba6aa2723ee6b0e7
