dimensions,slice,rows,families,g2_errors,compact_errors,compact_fixes,compact_new_errors
gender,Boys,274,161,92,101,11,20
gender,Girls,216,134,94,107,23,36
gender,Men,7102,4931,348,444,119,215
gender,Unisex,708,578,325,376,37,88
gender,Women,4810,3331,411,448,111,148
gender × articleType,Boys | Blazers,1,1,1,1,0,0
gender × articleType,Boys | Booties,4,2,4,4,0,0
gender × articleType,Boys | Capris,2,1,0,0,0,0
gender × articleType,Boys | Casual Shoes,13,10,7,9,0,2
gender × articleType,Boys | Clothing Set,1,1,0,1,0,1
gender × articleType,Boys | Flip Flops,5,5,3,2,1,0
gender × articleType,Boys | Gloves,4,2,2,3,0,1
gender × articleType,Boys | Jackets,4,2,4,4,0,0
gender × articleType,Boys | Jeans,10,4,4,4,0,0
gender × articleType,Boys | Kurtas,1,1,0,0,0,0
gender × articleType,Boys | Rompers,2,1,0,0,0,0
gender × articleType,Boys | Sandals,5,4,3,3,0,0
gender × articleType,Boys | Shirts,25,8,2,8,0,6
gender × articleType,Boys | Shorts,16,10,12,9,6,3
gender × articleType,Boys | Sweatshirts,2,2,2,2,0,0
gender × articleType,Boys | Trousers,3,2,2,3,0,1
gender × articleType,Boys | Tshirts,171,100,41,43,4,6
gender × articleType,Boys | Watches,5,5,5,5,0,0
gender × articleType,Girls | Capris,16,7,7,13,0,6
gender × articleType,Girls | Casual Shoes,10,9,7,7,2,2
gender × articleType,Girls | Clothing Set,2,2,0,0,0,0
gender × articleType,Girls | Dresses,21,13,12,11,2,1
gender × articleType,Girls | Flip Flops,2,1,2,1,1,0
gender × articleType,Girls | Gloves,2,1,0,0,0,0
gender × articleType,Girls | Innerwear Vests,3,3,2,1,1,0
gender × articleType,Girls | Jeans,5,2,2,1,2,1
gender × articleType,Girls | Leggings,3,3,2,3,0,1
gender × articleType,Girls | Lehenga Choli,1,1,0,0,0,0
gender × articleType,Girls | Rompers,3,2,0,0,0,0
gender × articleType,Girls | Sandals,17,13,7,13,1,7
gender × articleType,Girls | Shorts,13,8,4,6,1,3
gender × articleType,Girls | Skirts,8,5,8,7,1,0
gender × articleType,Girls | Tops,76,39,22,34,3,15
gender × articleType,Girls | Tshirts,33,24,18,10,8,0
gender × articleType,Girls | Watches,1,1,1,0,1,0
gender × articleType,Men | Accessory Gift Set,35,13,0,0,0,0
gender × articleType,Men | Backpacks,22,12,22,22,0,0
gender × articleType,Men | Bangle,13,1,9,9,2,2
gender × articleType,Men | Belts,178,100,9,16,1,8
gender × articleType,Men | Blazers,2,2,0,0,0,0
gender × articleType,Men | Boxers,14,11,0,0,0,0
gender × articleType,Men | Bracelet,16,1,10,12,1,3
gender × articleType,Men | Briefs,175,117,0,0,0,0
gender × articleType,Men | Caps,41,35,18,25,5,12
gender × articleType,Men | Casual Shoes,708,530,27,35,14,22
gender × articleType,Men | Cufflinks,20,3,0,2,0,2
gender × articleType,Men | Deodorant,63,58,8,10,2,4
gender × articleType,Men | Duffel Bag,2,1,1,1,0,0
gender × articleType,Men | Flip Flops,161,138,14,16,6,8
gender × articleType,Men | Formal Shoes,205,88,1,2,0,1
gender × articleType,Men | Fragrance Gift Set,14,14,3,3,1,1
gender × articleType,Men | Free Gifts,9,5,1,2,0,1
gender × articleType,Men | Gloves,2,2,0,0,0,0
gender × articleType,Men | Handbags,3,2,2,2,0,0
gender × articleType,Men | Heels,1,1,0,0,0,0
gender × articleType,Men | Innerwear Vests,77,60,3,4,2,3
gender × articleType,Men | Jackets,44,40,0,1,0,1
gender × articleType,Men | Jeans,111,45,4,8,1,5
gender × articleType,Men | Kurtas,21,17,0,2,0,2
gender × articleType,Men | Laptop Bag,3,3,2,2,0,0
gender × articleType,Men | Lounge Pants,14,14,0,3,0,3
gender × articleType,Men | Lounge Shorts,9,8,1,1,0,0
gender × articleType,Men | Messenger Bag,3,3,3,3,0,0
gender × articleType,Men | Mufflers,8,7,2,4,0,2
gender × articleType,Men | Nehru Jackets,1,1,0,0,0,0
gender × articleType,Men | Night suits,8,6,1,4,0,3
gender × articleType,Men | Perfume and Body Mist,106,94,21,19,10,8
gender × articleType,Men | Rain Trousers,1,1,0,0,0,0
gender × articleType,Men | Sandals,240,147,9,9,3,3
gender × articleType,Men | Scarves,13,11,2,5,0,3
gender × articleType,Men | Shirts,929,522,15,9,12,6
gender × articleType,Men | Shorts,128,102,17,23,2,8
gender × articleType,Men | Socks,161,76,16,17,10,11
gender × articleType,Men | Sports Sandals,11,11,0,0,0,0
gender × articleType,Men | Sports Shoes,521,473,21,20,13,12
gender × articleType,Men | Stoles,1,1,0,0,0,0
gender × articleType,Men | Sunglasses,212,91,11,21,2,12
gender × articleType,Men | Suspenders,13,9,1,0,1,0
gender × articleType,Men | Sweaters,61,52,0,0,0,0
gender × articleType,Men | Sweatshirts,67,57,1,2,0,1
gender × articleType,Men | Ties,69,34,0,3,0,3
gender × articleType,Men | Tops,1,1,0,0,0,0
gender × articleType,Men | Track Pants,71,52,6,4,5,3
