model,condition,class_index,class_name,support,predicted_count,precision,recall,f1
G2,clean,0,Boys,274,268,0.6791044776119403,0.6642335766423357,0.6715867158671587
G2,clean,1,Girls,216,192,0.6354166666666666,0.5648148148148148,0.5980392156862745
G2,clean,2,Men,7102,7317,0.923055897225639,0.9509997183891862,0.9368194743047368
G2,clean,3,Unisex,708,560,0.6839285714285714,0.5409604519774012,0.6041009463722398
G2,clean,4,Women,4810,4773,0.9216425728053635,0.9145530145530145,0.9180841072732966
G2,grayscale,0,Boys,274,246,0.6504065040650406,0.583941605839416,0.6153846153846153
G2,grayscale,1,Girls,216,126,0.5873015873015873,0.3425925925925926,0.4327485380116959
G2,grayscale,2,Men,7102,7621,0.8921401390893583,0.9573359617009293,0.9235889424709638
G2,grayscale,3,Unisex,708,546,0.7051282051282052,0.5437853107344632,0.6140350877192982
G2,grayscale,4,Women,4810,4571,0.9216801575147671,0.8758835758835759,0.8981984863021
E6,clean,0,Boys,274,248,0.6733870967741935,0.6094890510948905,0.6398467432950191
E6,clean,1,Girls,216,179,0.6089385474860335,0.5046296296296297,0.5518987341772152
E6,clean,2,Men,7102,7358,0.9128839358521337,0.945789918332864,0.929045643153527
E6,clean,3,Unisex,708,544,0.6801470588235294,0.5225988700564972,0.5910543130990416
E6,clean,4,Women,4810,4781,0.9056682702363522,0.9002079002079002,0.9029298300490043
E6,grayscale,0,Boys,274,235,0.6510638297872341,0.5583941605839416,0.6011787819253438
E6,grayscale,1,Girls,216,118,0.635593220338983,0.3472222222222222,0.4491017964071856
E6,grayscale,2,Men,7102,7699,0.880374074555137,0.9543790481554492,0.9158840618877103
E6,grayscale,3,Unisex,708,524,0.6812977099236641,0.5042372881355932,0.5795454545454546
E6,grayscale,4,Women,4810,4534,0.9128804587560653,0.8604989604989605,0.885916095890411
Drop30 + darkening,clean,0,Boys,274,262,0.6870229007633588,0.656934306569343,0.6716417910447762
Drop30 + darkening,clean,1,Girls,216,204,0.6127450980392157,0.5787037037037037,0.5952380952380952
Drop30 + darkening,clean,2,Men,7102,7330,0.9215552523874488,0.9511405237961138,0.9361141906873615
Drop30 + darkening,clean,3,Unisex,708,529,0.6899810964083176,0.5155367231638418,0.5901374292643492
Drop30 + darkening,clean,4,Women,4810,4785,0.9201671891327063,0.9153846153846154,0.9177696717040124
Drop30 + darkening,grayscale,0,Boys,274,248,0.6411290322580645,0.5802919708029197,0.6091954022988506
Drop30 + darkening,grayscale,1,Girls,216,100,0.6,0.2777777777777778,0.37974683544303794
Drop30 + darkening,grayscale,2,Men,7102,7752,0.8797729618163055,0.9602928752464095,0.9182711727480813
Drop30 + darkening,grayscale,3,Unisex,708,514,0.7023346303501945,0.5098870056497176,0.5908346972176759
Drop30 + darkening,grayscale,4,Women,4810,4496,0.9237099644128114,0.8634095634095634,0.8925424457339352
Drop30 + darkening + gray,clean,0,Boys,274,264,0.6856060606060606,0.6605839416058394,0.6728624535315985
Drop30 + darkening + gray,clean,1,Girls,216,195,0.6512820512820513,0.5879629629629629,0.6180048661800487
Drop30 + darkening + gray,clean,2,Men,7102,7292,0.9225178277564454,0.9471979724021402,0.9346950118104767
Drop30 + darkening + gray,clean,3,Unisex,708,546,0.6886446886446886,0.5310734463276836,0.5996810207336523
Drop30 + darkening + gray,clean,4,Women,4810,4813,0.914190733430293,0.9147609147609148,0.9144757352177076
Drop30 + darkening + gray,grayscale,0,Boys,274,248,0.6814516129032258,0.6167883211678832,0.6475095785440612
Drop30 + darkening + gray,grayscale,1,Girls,216,163,0.6380368098159509,0.48148148148148145,0.5488126649076517
Drop30 + darkening + gray,grayscale,2,Men,7102,7492,0.9044313934863855,0.9540974373415939,0.9286007948471974
Drop30 + darkening + gray,grayscale,3,Unisex,708,522,0.7337164750957854,0.5409604519774012,0.6227642276422765
Drop30 + darkening + gray,grayscale,4,Women,4810,4685,0.9156883671291356,0.8918918918918919,0.9036334913112165
