model,view,class_index,class_name,support,predicted_count,precision,recall,f1,newly_wrong,recovered
NameTruth,jpeg_75,0,Boys,356,304,0.7993421052631579,0.6825842696629213,0.7363636363636362,25,8
NameTruth,jpeg_75,1,Girls,285,242,0.8016528925619835,0.6807017543859649,0.7362428842504743,20,5
NameTruth,jpeg_75,2,Men,7023,7340,0.9163487738419619,0.9577103801794105,0.9365731393162988,28,35
NameTruth,jpeg_75,3,Unisex,707,544,0.6746323529411765,0.5190947666195191,0.586730615507594,18,15
NameTruth,jpeg_75,4,Women,4739,4680,0.9222222222222223,0.9107406625870437,0.916445482535301,65,25
NameTruth,brightness_085,0,Boys,356,378,0.708994708994709,0.7528089887640449,0.7302452316076293,17,25
NameTruth,brightness_085,1,Girls,285,200,0.87,0.6105263157894737,0.7175257731958764,38,3
NameTruth,brightness_085,2,Men,7023,7269,0.9156692805062595,0.9477431297166453,0.9314301707248811,123,60
NameTruth,brightness_085,3,Unisex,707,512,0.693359375,0.5021216407355021,0.582444626743232,31,16
NameTruth,brightness_085,4,Women,4739,4751,0.9050726162913071,0.9073644228740241,0.9062170706006323,93,37
NameTruth,brightness_115,0,Boys,356,313,0.7539936102236422,0.6629213483146067,0.7055306427503736,33,9
NameTruth,brightness_115,1,Girls,285,297,0.6767676767676768,0.7052631578947368,0.690721649484536,19,11
NameTruth,brightness_115,2,Men,7023,7056,0.9280045351473923,0.9323650861455218,0.9301797002628028,197,26
NameTruth,brightness_115,3,Unisex,707,568,0.6514084507042254,0.5233380480905233,0.580392156862745,28,28
NameTruth,brightness_115,4,Women,4739,4876,0.8925348646431501,0.9183372019413378,0.9052522100884035,69,65
NameTruth,translation_003,0,Boys,356,319,0.7492163009404389,0.6713483146067416,0.7081481481481482,34,13
NameTruth,translation_003,1,Girls,285,243,0.7777777777777778,0.6631578947368421,0.7159090909090908,26,6
NameTruth,translation_003,2,Men,7023,7311,0.9121871153057037,0.9495941905168731,0.930514859773964,128,78
NameTruth,translation_003,3,Unisex,707,524,0.6679389312977099,0.49504950495049505,0.5686433793663687,56,36
NameTruth,translation_003,4,Women,4739,4713,0.9064290260980268,0.9014560033762398,0.9039356749894203,171,87
NameTruth,grayscale,0,Boys,356,336,0.7619047619047619,0.7191011235955056,0.7398843930635838,21,17
NameTruth,grayscale,1,Girls,285,213,0.8169014084507042,0.6105263157894737,0.6987951807228917,42,7
NameTruth,grayscale,2,Men,7023,7439,0.9080521575480576,0.9618396696568418,0.9341723136495644,28,64
NameTruth,grayscale,3,Unisex,707,523,0.7093690248565966,0.5247524752475248,0.6032520325203253,27,28
NameTruth,grayscale,4,Women,4739,4599,0.9262883235485975,0.898923823591475,0.9124009423859498,123,27
GroupWeight,jpeg_75,0,Boys,356,318,0.8050314465408805,0.7191011235955056,0.7596439169139466,25,9
GroupWeight,jpeg_75,1,Girls,285,262,0.7938931297709924,0.7298245614035088,0.7605118829981719,17,8
GroupWeight,jpeg_75,2,Men,7023,7193,0.9227026275545669,0.9450377331624662,0.9337366347777152,26,52
GroupWeight,jpeg_75,3,Unisex,707,595,0.6487394957983194,0.545968882602546,0.5929339477726575,27,11
GroupWeight,jpeg_75,4,Women,4739,4742,0.9114297764656263,0.9120067524794261,0.9117181731884824,50,26
GroupWeight,brightness_085,0,Boys,356,435,0.6735632183908046,0.8230337078651685,0.7408343868520859,10,31
GroupWeight,brightness_085,1,Girls,285,198,0.8585858585858586,0.5964912280701754,0.7039337474120083,51,4
GroupWeight,brightness_085,2,Men,7023,6960,0.9278735632183908,0.9195500498362523,0.9236930558535364,200,47
GroupWeight,brightness_085,3,Unisex,707,614,0.6221498371335505,0.5403111739745403,0.5783497350492052,34,14
GroupWeight,brightness_085,4,Women,4739,4903,0.8815011217621864,0.9120067524794261,0.8964945032151007,93,69
GroupWeight,brightness_115,0,Boys,356,305,0.7868852459016393,0.6741573033707865,0.7261724659606656,39,7
GroupWeight,brightness_115,1,Girls,285,331,0.6737160120845922,0.7824561403508772,0.7240259740259741,11,17
GroupWeight,brightness_115,2,Men,7023,6915,0.9314533622559653,0.9171294318667236,0.9242359018510546,197,27
GroupWeight,brightness_115,3,Unisex,707,634,0.613564668769716,0.5502121640735502,0.5801640566741237,30,17
GroupWeight,brightness_115,4,Women,4739,4925,0.8808121827411167,0.9153829921924457,0.8977649006622517,72,64
GroupWeight,translation_003,0,Boys,356,328,0.774390243902439,0.7134831460674157,0.7426900584795323,30,12
GroupWeight,translation_003,1,Girls,285,262,0.7480916030534351,0.6877192982456141,0.716636197440585,26,5
GroupWeight,translation_003,2,Men,7023,7082,0.9227619316577238,0.930514025345294,0.9266217653314428,185,109
GroupWeight,translation_003,3,Unisex,707,612,0.630718954248366,0.545968882602546,0.5852918877937832,52,36
GroupWeight,translation_003,4,Women,4739,4826,0.8924575217571488,0.9088415277484702,0.9005750130684788,131,92
GroupWeight,grayscale,0,Boys,356,328,0.7987804878048781,0.7359550561797753,0.7660818713450294,22,12
GroupWeight,grayscale,1,Girls,285,252,0.7976190476190477,0.7052631578947368,0.7486033519553073,30,14
GroupWeight,grayscale,2,Men,7023,7261,0.9157140889684616,0.9467464046703687,0.9309717166059928,37,75
GroupWeight,grayscale,3,Unisex,707,597,0.6700167504187605,0.5657708628005658,0.6134969325153375,32,30
GroupWeight,grayscale,4,Women,4739,4672,0.9143835616438356,0.9014560033762398,0.9078737647433854,106,32
