id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,year,productDisplayName,product_name_repaired,has_articleType_label,has_season_label,has_gender_label,has_usage_label,path,width,height,aspect_ratio,mode,format,file_size_bytes,sha256,product_name_key,product_family_group,family_group_basis,is_cross_role_exact_duplicate,is_cross_role_near_duplicate,has_conflicting_target_labels,conflicting_targets,pre_quarantine_reason,duplicate_group,is_cross_role_duplicate,quarantine_reason,partition,cv_fold,parent_prediction,weighted_prediction,confidence,parent_correct,weighted_correct,recovered,newly_wrong,persistent_error,label_changed,action
6801,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,2012,Converse Unisex Canvas Black Shoe,False,True,True,True,True,data/raw/teacher/train/images_train/6801.jpg,60.0,80.0,0.75,RGB,JPEG,17057,daec55daed1c9373365d769553d5cf62c8485bcd5b3d2be6b86adc9ab5f848f2,converse unisex canvas black shoe,family_30577c46e2620652,singleton,False,False,False,,,single_daec55daed1c,False,,development,4,Men,Unisex,0.9210344552993774,False,True,True,False,False,False,recovered
21848,Boys,Apparel,Topwear,Tshirts,White,Fall,Casual,2011,Chhota Bheem Kids Boys Holi Hai White T-shirt,False,True,True,True,True,data/raw/teacher/train/images_train/21848.jpg,60.0,80.0,0.75,RGB,JPEG,2280,3be9750c08f5a2f00ac29f55d33e4ec1e8691ece65ff7ee96101887e6cfcb3a5,chhota bheem kids boys holi hai white t-shirt,family_8a04588eefa8fdf6,exact_sha256+normalized_product_name+accepted_near_duplicate,False,False,False,,,dup_10342,False,,development,0,Men,Boys,0.9377378225326538,False,True,True,False,False,False,recovered
35542,Girls,Footwear,Sandal,Sandals,Pink,Summer,Casual,2012,Enroute Kids Girls Pink Sandals,False,True,True,True,True,data/raw/teacher/train/images_train/35542.jpg,60.0,80.0,0.75,RGB,JPEG,14264,b97a253abb684590c6abc73185fee29c94b33be8999f9fc2ffe22e3805e2269f,enroute kids girls pink sandals,family_8f9dd3c0d51738f0,singleton,False,False,False,,,single_b97a253abb68,False,,development,0,Women,Girls,0.8494145274162292,False,True,True,False,False,False,recovered
45145,Men,Accessories,Watches,Watches,White,Winter,Casual,2016,Casio ENTICER Men Dial Watch A450 MTP-1296D-7AVDF,False,True,True,True,True,data/raw/teacher/train/images_train/45145.jpg,60.0,80.0,0.75,RGB,JPEG,18486,07113dbd59153c736ce2196d0a6f394c0b1ef3f65f59a6779b24ff7116309c38,casio enticer men dial watch a450 mtp-1296d-7avdf,family_efa6a90307e68ef8,singleton,False,False,False,,,single_07113dbd5915,False,,development,0,Women,Men,0.8161296248435974,False,True,True,False,False,False,recovered
15259,Women,Footwear,Shoes,Casual Shoes,White,Fall,Casual,2011,ADIDAS Originals Women Top Ten low Sleek White Casual Shoes,False,True,True,True,True,data/raw/teacher/train/images_train/15259.jpg,60.0,80.0,0.75,RGB,JPEG,12672,74f7f37e4c095f31517d8a5455954db43f1fc824f5e41c84931b4f77e2fe4d40,adidas originals women top ten low sleek white casual shoes,family_03d20de87804ff2e,singleton,False,False,False,,,single_74f7f37e4c09,False,,development,0,Men,Women,0.935694694519043,False,True,True,False,False,False,recovered
23747,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,2016,Ray-Ban Unisex Active Lifestyle Sunglasses,False,True,True,True,True,data/raw/teacher/train/images_train/23747.jpg,60.0,80.0,0.75,RGB,JPEG,18240,ccbbd42d5979518d4d08162eb7fa0fc8ccd5c3d1642d135f0ff1bb9455b46701,ray-ban unisex active lifestyle sunglasses,family_d6f43af6235d70e6,normalized_product_name,False,False,False,,,single_ccbbd42d5979,False,,development,4,Unisex,Men,0.8005816340446472,True,False,False,True,False,False,newly_wrong
38993,Boys,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,2012,Gini and Jony Boys Rodeo Blue Jeans,False,True,True,True,True,data/raw/teacher/train/images_train/38993.jpg,60.0,80.0,0.75,RGB,JPEG,1391,769f550f6a3bbaff4e43c6303848529f377396529e72cd9ace1ea2ffea86dc50,gini and jony boys rodeo blue jeans,family_b017b8c7949555b7,exact_sha256+normalized_product_name+accepted_near_duplicate,False,False,False,,,dup_20350,False,,development,4,Boys,Girls,0.7844560742378235,True,False,False,True,False,False,newly_wrong
15893,Girls,Footwear,Shoes,Casual Shoes,Grey,Winter,Casual,2012,Warner Bros Kids Girls TW Net Face Canvas Grey Casual Shoes,False,True,True,True,True,data/raw/teacher/train/images_train/15893.jpg,60.0,80.0,0.75,RGB,JPEG,11934,55d1d017e9fb24b2855b7b8d4c00bc866722251fb51e15a57873e6f0fec9c7bd,warner bros kids girls tw net face canvas grey casual shoes,family_640fa0873d93fe9e,singleton,False,False,False,,,single_55d1d017e9fb,False,,development,0,Girls,Unisex,0.7370697855949402,True,False,False,True,False,False,newly_wrong
41521,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual,2016,Basics Men Set of 3 Socks,False,True,True,True,True,data/raw/teacher/train/images_train/41521.jpg,60.0,80.0,0.75,RGB,JPEG,20591,de0783af12ab9c4d99312787fe267db5bbf72e84c23785bddfc3e50f1fbf1099,basics men set of 3 socks,family_cf24d0ac8b4a1545,normalized_product_name,False,False,False,,,single_de0783af12ab,False,,development,4,Men,Unisex,0.9129223823547363,True,False,False,True,False,False,newly_wrong
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,Casual,2012,Femella Women Brown Scarf,False,True,True,True,True,data/raw/teacher/train/images_train/25947.jpg,60.0,80.0,0.75,RGB,JPEG,28414,20ff458ec30dfd8dbc0db93548d51435155098dedb424415969da4092c34e707,femella women brown scarf,family_da7acaa43ef10b4e,normalized_product_name,False,False,False,,,single_20ff458ec30d,False,,development,4,Women,Men,0.8516783118247986,True,False,False,True,False,False,newly_wrong
