model,fold,basis,train_f1,validation_f1,gap
Gray10,0,name_truth,0.9197496810741704,0.7521551955579266,0.16759448551624379
Gray10,0,original_teacher,0.962549980920333,0.7424305990658798,0.22011938185445312
Gray10,4,name_truth,0.9169940238809853,0.7575599510325925,0.15943407284839273
Gray10,4,original_teacher,0.959789774330058,0.753361539125587,0.20642823520447096
E6,0,name_truth,0.9482251535460822,0.73960330229939,0.2086218512466922
E6,0,original_teacher,1.0,0.7196395720085685,0.28036042799143146
E6,4,name_truth,0.9495576616522072,0.7179813686810944,0.23157629297111282
E6,4,original_teacher,0.9999221620301233,0.7262729810998492,0.2736491809302741
NameTruth,0,name_truth,0.9670008377149664,0.7878217977107641,0.17917904000420226
NameTruth,0,original_teacher,0.915866952779673,0.7388466275125107,0.17702032526716227
NameTruth,4,name_truth,0.9690327964766725,0.8006262648359123,0.16840653164076025
NameTruth,4,original_teacher,0.9196197538606216,0.7461375862882575,0.173482167572364
MixUp,0,name_truth,0.9362935109828214,0.8118629907871441,0.12443052019567735
MixUp,0,original_teacher,0.8871073144055309,0.7643251097201711,0.12278220468535983
MixUp,4,name_truth,0.9399526189561342,0.8061177929236404,0.13383482603249386
MixUp,4,original_teacher,0.891145398275094,0.7553854444207456,0.13575995385434836
G2,0,name_truth,0.9429656649377405,0.7649312320188839,0.17803443291885657
G2,0,original_teacher,0.9931472699932924,0.7604983529055681,0.23264891708772428
G2,4,name_truth,0.945208452987725,0.736790950021269,0.208417502966456
G2,4,original_teacher,0.9945832714929127,0.7304612751770436,0.2641219963158691
