model,basis,pooled_validation_f1,mean_train_f1,mean_gap,nll,ece
G2,name_truth,0.7511582587383177,0.9440870589627328,0.19322596794265628,0.2996074696790764,0.03197317525551214
G2,original_teacher,0.7457260919007412,0.9938652707431026,0.24838545670179668,0.2944719933317892,0.031210398749028527
E6,name_truth,0.7286564051743423,0.9488914075991447,0.2200990721089025,0.45679010174589785,0.06778222247901353
E6,original_teacher,0.7229550527547615,0.9999610810150616,0.2770048044608528,0.44764087203863234,0.06600021794040539
Gray10,name_truth,0.7549230533498135,0.9183718524775779,0.16351427918231826,0.2945631100785575,0.026407539496705514
Gray10,original_teacher,0.7479438174946967,0.9611698776251955,0.21327380852946204,0.29252011482253354,0.026178706544760448
NameTruth,name_truth,0.7944403076808578,0.9680168170958194,0.17379278582248125,0.27522761462891693,0.023407798378091062
NameTruth,original_teacher,0.7425139823552553,0.9177433533201473,0.17525124641976314,0.32671494481162616,0.032484838805245914
MixUp,name_truth,0.8089088049657726,0.9381230649694778,0.1291326731140856,0.2702677591775675,0.013195798171557718
MixUp,original_teacher,0.7597188586426196,0.8891263563403125,0.1292710792698541,0.30559751989476414,0.009229360337842957
