id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,year,productDisplayName,product_name_repaired,has_articleType_label,has_season_label,has_gender_label,has_usage_label,path,width,height,aspect_ratio,mode,format,file_size_bytes,sha256,product_name_key,product_family_group,family_group_basis,is_cross_role_exact_duplicate,is_cross_role_near_duplicate,has_conflicting_target_labels,conflicting_targets,pre_quarantine_reason,duplicate_group,is_cross_role_duplicate,quarantine_reason,partition,cv_fold,parent_prediction,mixup_prediction,confidence,parent_correct,mixup_correct,recovered,newly_wrong,persistent_error,label_changed,action
7723,Unisex,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual,2011,Puma Unisex Popart Flip Black Dandelion Flip Flop,False,True,True,True,True,data/raw/teacher/train/images_train/7723.jpg,60.0,80.0,0.75,RGB,JPEG,2031,49674e7622795a2092dd2e2cda10c20e9cbab14f84d96c8dc3dc27ad4a0ffe86,puma unisex popart flip black dandelion flip flop,family_af07603d4da41233,singleton,False,False,False,,,single_49674e762279,False,,development,4,Women,Unisex,0.670319139957428,False,True,True,False,False,False,recovered
37188,Boys,Apparel,Topwear,Tshirts,Red,Summer,Casual,2012,United Colors of Benetton Boys Printed Red T-shirt,False,True,True,True,True,data/raw/teacher/train/images_train/37188.jpg,60.0,80.0,0.75,RGB,JPEG,2025,4a26340beb37f4b389609ae83de41edb661d5f210f294a5c16f6dec54de18c6a,united colors of benetton boys printed red t-shirt,family_484022174663d366,singleton,False,False,False,,,single_4a26340beb37,False,,development,4,Girls,Boys,0.7688836455345154,False,True,True,False,False,False,recovered
37209,Girls,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,2012,United Colors of Benetton Girls Blue Jeans,False,True,True,True,True,data/raw/teacher/train/images_train/37209.jpg,60.0,80.0,0.75,RGB,JPEG,1302,fd3982400765563615fd500a4723f40ccbdf68078662d9501ca7287b9561aa31,united colors of benetton girls blue jeans,family_dbe31a67d240ac8c,singleton,False,False,False,,,single_fd3982400765,False,,development,0,Boys,Girls,0.6913125514984131,False,True,True,False,False,False,recovered
36516,Men,Accessories,Belts,Belts,Beige,Summer,Casual,2012,United Colors of Benetton Men Beige Belt,False,True,True,True,True,data/raw/teacher/train/images_train/36516.jpg,60.0,80.0,0.75,RGB,JPEG,2200,088d9ad7730ebc2461eecf8cfb8e3e5bb058265f33ed585d1883313f1bb28874,united colors of benetton men beige belt,family_e11804a1237f431b,singleton,False,False,False,,,single_088d9ad7730e,False,,development,4,Women,Men,0.8835304379463196,False,True,True,False,False,False,recovered
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual,2012,Pitaraa Women Bronze Beaded Bracelet,False,True,True,True,True,data/raw/teacher/train/images_train/48311.jpg,60.0,80.0,0.75,RGB,JPEG,17561,bf776735ff81f5283ec85941a78a9e3cabc22bb81b5aa7ff7f0bd0b8ab249611,pitaraa women bronze beaded bracelet,family_795f666214832d09,singleton,False,False,False,,,single_bf776735ff81,False,,development,4,Unisex,Women,0.8993074893951416,False,True,True,False,False,False,recovered
42273,Unisex,Footwear,Shoes,Casual Shoes,White,Summer,Casual,2012,Vans Unisex White Authentic Shoes,False,True,True,True,True,data/raw/teacher/train/images_train/42273.jpg,60.0,80.0,0.75,L,JPEG,19366,719b284ddb160ecffdad2c439358e413c4a5e1ba5a09603b9b73360bffd89d6b,vans unisex white authentic shoes,family_71d9914fb7f8fcd8,singleton,False,False,False,,,single_719b284ddb16,False,,development,4,Unisex,Men,0.716739296913147,True,False,False,True,False,False,newly_wrong
37563,Boys,Apparel,Topwear,Rompers,White,Summer,Casual,2012,Madagascar3 Infant Boys White Snapsuit Romper,False,True,True,True,True,data/raw/teacher/train/images_train/37563.jpg,60.0,80.0,0.75,RGB,JPEG,1909,3169134435079472c56682efc1edb034eaf15ff0c659d9fe83510df120885cb4,madagascar3 infant boys white snapsuit romper,family_cfce6bbf43ea8f12,normalized_product_name,False,False,False,,,single_316913443507,False,,development,0,Boys,Girls,0.705074667930603,True,False,False,True,False,True,newly_wrong
13341,Girls,Apparel,Bottomwear,Capris,Purple,Fall,Casual,2011,Gini and Jony Girls Purple Capris,False,True,True,True,True,data/raw/teacher/train/images_train/13341.jpg,60.0,80.0,0.75,RGB,JPEG,19773,6459c9e587710d4bca5c38a5556aed32f11636ca13581f91e5deb64a6fd5b0e0,gini and jony girls purple capris,family_31943fca4fea453c,singleton,False,False,False,,,single_6459c9e58771,False,,development,0,Girls,Boys,0.6556845903396606,True,False,False,True,False,False,newly_wrong
45301,Men,Free Items,Free Gifts,Free Gifts,Black,Summer,Formal,2012,Van Heusen Men Black & Brown Reversible Belt,False,True,True,True,True,data/raw/teacher/train/images_train/45301.jpg,60.0,80.0,0.75,RGB,JPEG,13612,5af2208023909e95e4fe2ae3f5eedbec56f8464feb3a117686407a0157b66dfd,van heusen men black & brown reversible belt,family_3c75db0a1126092d,normalized_product_name,False,False,False,,,single_5af220802390,False,,development,4,Men,Women,0.868069589138031,True,False,False,True,False,False,newly_wrong
9392,Women,Footwear,Shoes,Sports Shoes,White,Fall,Sports,2011,Nike Women Dow 3 Lea White Sports Shoe,False,True,True,True,True,data/raw/teacher/train/images_train/9392.jpg,60.0,80.0,0.75,RGB,JPEG,1634,d44e2fe5ef43f430cc0f0e736a9a509c3c8eea8f7cb1eeb5a3c524e5c5431267,nike women dow 3 lea white sports shoe,family_8f8f2b1cd6674b1d,singleton,False,False,False,,,single_d44e2fe5ef43,False,,development,4,Women,Men,0.8423731327056885,True,False,False,True,False,False,newly_wrong
