gender,articleType,rows,fixed,new_errors,mixup_correct,sam25_correct,net_correct
Boys,Blazers,1,0,0,1,1,0
Boys,Booties,5,0,0,0,0,0
Boys,Briefs,2,0,0,0,0,0
Boys,Capris,11,0,3,8,11,-3
Boys,Casual Shoes,24,1,2,7,8,-1
Boys,Churidar,1,0,0,0,0,0
Boys,Clothing Set,4,0,0,3,3,0
Boys,Flip Flops,14,3,0,6,3,3
Boys,Gloves,6,2,0,2,0,2
Boys,Innerwear Vests,3,0,1,0,1,-1
Boys,Jackets,7,0,0,2,2,0
Boys,Jeans,33,0,1,14,15,-1
Boys,Kurta Sets,2,0,0,2,2,0
Boys,Kurtas,5,0,0,5,5,0
Boys,Leggings,3,0,0,0,0,0
Boys,Rompers,6,0,0,3,3,0
Boys,Sandals,11,3,1,5,3,2
Boys,Shirts,118,1,0,114,113,1
Boys,Shorts,75,5,3,52,50,2
Boys,Socks,1,0,0,0,0,0
Boys,Sports Shoes,6,0,0,0,0,0
Boys,Sweatshirts,6,1,0,5,4,1
Boys,Trousers,10,3,0,8,5,3
Boys,Tshirts,507,26,20,443,437,6
Boys,Waistcoat,2,1,0,2,1,1
Boys,Watches,5,0,0,0,0,0
Girls,Backpacks,1,0,0,0,0,0
Girls,Booties,4,0,2,0,2,-2
Girls,Capris,42,2,3,28,29,-1
Girls,Casual Shoes,15,1,0,6,5,1
Girls,Clothing Set,3,0,0,3,3,0
Girls,Dresses,83,5,3,74,72,2
Girls,Earrings,1,0,0,0,0,0
Girls,Flip Flops,6,1,2,1,2,-1
Girls,Gloves,6,0,1,0,1,-1
Girls,Innerwear Vests,5,0,0,4,4,0
Girls,Jeans,17,2,5,9,12,-3
Girls,Leggings,16,1,0,12,11,1
Girls,Lehenga Choli,2,0,0,2,2,0
Girls,Rompers,5,0,0,4,4,0
Girls,Salwar,4,0,1,1,2,-1
Girls,Sandals,39,3,1,14,12,2
Girls,Shirts,1,0,0,1,1,0
Girls,Shorts,41,0,2,25,27,-2
Girls,Skirts,37,0,4,24,28,-4
Girls,Tops,259,15,5,220,210,10
Girls,Tshirts,104,8,5,84,81,3
Girls,Watches,9,0,0,0,0,0
Men,Accessory Gift Set,91,0,0,91,91,0
Men,Backpacks,48,1,0,1,0,1
Men,Bangle,14,1,0,5,4,1
Men,Belts,443,4,8,419,423,-4
Men,Blazers,5,0,0,5,5,0
Men,Body Wash and Scrub,1,0,0,1,1,0
Men,Boxers,34,1,0,34,33,1
Men,Bracelet,16,3,1,8,6,2
