model,class_index,class_name,support,predicted_count,precision,recall,f1
MixUp,0,Boys,868,832,0.8197115384615384,0.7857142857142857,0.8023529411764706
MixUp,1,Girls,700,631,0.8114104595879557,0.7314285714285714,0.7693463561232158
MixUp,2,Men,17572,18266,0.9205627942625644,0.9569201001593444,0.9383894190524026
MixUp,3,Unisex,1763,1271,0.7088906372934697,0.5110606920022689,0.5939353988134476
MixUp,4,Women,11870,11773,0.9229593136838529,0.9154170176916596,0.9191726938205811
SAM25,0,Boys,868,829,0.804583835946924,0.7684331797235023,0.7860931054802592
SAM25,1,Girls,700,642,0.7912772585669782,0.7257142857142858,0.7570789865871833
SAM25,2,Men,17572,18172,0.9199867928681488,0.9513999544730253,0.9354297224709042
SAM25,3,Unisex,1763,1259,0.7116759332803813,0.5082246171298922,0.5929847782925215
SAM25,4,Women,11870,11871,0.9146659927554545,0.914743049705139,0.9147045196074303
