model,fold,class_name,train_f1,validation_f1,gap
MixUp,0,Boys,0.955956678700361,0.803680981595092,0.152275697105269
MixUp,0,Girls,0.952122854561879,0.7841726618705036,0.16795019269137534
MixUp,0,Men,0.9739753450637446,0.9391497638232843,0.03482558124046031
MixUp,0,Unisex,0.8215962441314555,0.5956738768718801,0.22592236725957537
MixUp,0,Women,0.9706644114382366,0.9206889219647034,0.04997548947353314
SAM25,0,Boys,0.9210716871832006,0.78125,0.13982168718320065
SAM25,0,Girls,0.9160714285714285,0.7681159420289855,0.14795548654244306
SAM25,0,Men,0.9606227427329149,0.9350467942450063,0.025575948487908673
SAM25,0,Unisex,0.7177990829512297,0.5938566552901025,0.12394242766112729
SAM25,0,Women,0.9506335103306871,0.9120671563483737,0.03856635398231345
MixUp,1,Boys,0.9555069292487236,0.8209366391184574,0.13457029013026622
MixUp,1,Girls,0.9555757026291931,0.7578947368421054,0.19768096578708771
MixUp,1,Men,0.9724828676858198,0.9389802173307329,0.03350265035508693
MixUp,1,Unisex,0.8235750290810392,0.5821917808219178,0.24138324825912139
MixUp,1,Women,0.9691429779139809,0.9157805189281157,0.05336245898586511
SAM25,1,Boys,0.9229640498899486,0.8044692737430168,0.11849477614693182
SAM25,1,Girls,0.9119266055045873,0.7593220338983052,0.15260457160628205
SAM25,1,Men,0.9580365870688451,0.936371214226174,0.021665372842671116
SAM25,1,Unisex,0.7232808616404308,0.5577264653641207,0.16555439627631008
SAM25,1,Women,0.9499550811182159,0.9101745423584505,0.039780538759765394
MixUp,2,Boys,0.9633883704235464,0.7988338192419824,0.16455455118156403
MixUp,2,Girls,0.9543057996485061,0.7319148936170213,0.22239090603148481
MixUp,2,Men,0.9730678745742476,0.9366591928251122,0.03640868174913536
MixUp,2,Unisex,0.8252238224990268,0.5741935483870969,0.2510302741119299
MixUp,2,Women,0.9683473834897408,0.9170159262363788,0.05133145725336197
SAM25,2,Boys,0.9321789321789321,0.7723342939481268,0.1598446382308053
SAM25,2,Girls,0.9182608695652174,0.7295081967213116,0.18875267284390573
SAM25,2,Men,0.9594005066141289,0.931940129906806,0.02746037670732293
SAM25,2,Unisex,0.7487219819111286,0.5825545171339562,0.16616746477717237
SAM25,2,Women,0.9494640122511486,0.9137967021498642,0.03566731010128443
MixUp,3,Boys,0.9573863636363636,0.7770700636942675,0.1803162999420962
MixUp,3,Girls,0.9733570159857904,0.7432950191570881,0.23006199682870232
MixUp,3,Men,0.9742812852311161,0.9384401114206127,0.035841173810503446
MixUp,3,Unisex,0.8349885408708937,0.6260296540362439,0.2089588868346498
MixUp,3,Women,0.9702676965400487,0.919511167298778,0.05075652924127072
SAM25,3,Boys,0.9223093371347114,0.8024691358024691,0.11984020133224227
SAM25,3,Girls,0.9253996447602131,0.7509881422924901,0.17441150246772297
SAM25,3,Men,0.9609550561797753,0.9369595536959554,0.023995502483819875
SAM25,3,Unisex,0.7487259898079186,0.6314049586776859,0.11732103113023273
SAM25,3,Women,0.9530670621887911,0.9196804037005889,0.033386658488202214
MixUp,4,Boys,0.9594694178334562,0.807909604519774,0.15155981331368218
MixUp,4,Girls,0.9594959495949595,0.823529411764706,0.1359665378302536
MixUp,4,Men,0.9739106007935672,0.9387069689336691,0.035203631859898055
MixUp,4,Unisex,0.8419441255262151,0.5916398713826367,0.2503042541435784
MixUp,4,Women,0.9690546841882153,0.9228813559322033,0.04617332825601195
SAM25,4,Boys,0.9230769230769231,0.7701149425287356,0.15296198054818755
SAM25,4,Girls,0.918918918918919,0.7737226277372262,0.14519629118169275
SAM25,4,Men,0.9609024663677129,0.936790469516468,0.024111996851244877
SAM25,4,Unisex,0.7587016034415331,0.597444089456869,0.16125751398466415
SAM25,4,Women,0.9517000317762949,0.9177763686324244,0.03392366314387052
