model,fold,run_id,macro_f1,accuracy,nll,ece_15,brier,train_f1,gap,train_seconds,gpu
MixUp,0,t3_gender_name_truth_mixup_alpha020_cv_f0_20260911T031539Z_ecd0a0b5,0.8086732412250928,0.9101175034335419,0.2694905022048118,0.018404100517198492,0.13814693322527224,0.9348631067791352,0.12618986555404244,530.063536185,NVIDIA A100-SXM4-40GB
SAM25,0,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv_gender_smallcnngem3_f0_s2753_cebc4858f043_20260906T112202Z13e60c,0.7980673095824936,0.9041660308255761,0.2865227303846404,0.026367101017325978,0.14668812939153075,0.8932396903538923,0.09517238077139867,472.61962065699845,NVIDIA L4
MixUp,1,t3_gender_name_truth_mixup_alpha020_cv_f1_20260911T032534Z_e52418e1,0.8031567786082657,0.9075655887736425,0.26643664749912177,0.012250120607798558,0.13814578862675164,0.9352567013117513,0.13209992270348558,532.911118295,NVIDIA A100-SXM4-40GB
SAM25,1,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv_gender_smallcnngem3_f1_s2753_cebc4858f043_20260906T113308Zefe5d2,0.7936127059180135,0.9031421598535693,0.2779536750669104,0.02263336990067256,0.14445278626847816,0.8932326370444056,0.09961993112639211,476.3807169819993,NVIDIA L4
MixUp,2,t3_gender_name_truth_mixup_alpha020_cv_f2_20260911T033526Z_b262532a,0.7917234760615183,0.9050816419960324,0.26809570339617445,0.01599433158583883,0.13801743239516634,0.9368666501270135,0.14514317406549526,534.8915960600002,NVIDIA A100-SXM4-40GB
SAM25,2,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv_gender_smallcnngem3_f2_s2753_cebc4858f043_20260906T114419Z1959d4,0.786026767972013,0.9001983824202655,0.2882504929651501,0.030678014720776,0.14802231552955616,0.901605260504111,0.11557849253209806,479.01114971399875,NVIDIA L4
MixUp,3,t3_gender_name_truth_mixup_alpha020_cv_f3_20260911T034520Z_72445b29,0.8008692031213981,0.909368324687214,0.26555411760983927,0.014045100823967883,0.13595181255129832,0.9420561804528426,0.14118697733144447,536.5670001809999,NVIDIA A100-SXM4-40GB
SAM25,3,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv_gender_smallcnngem3_f3_s2753_cebc4858f043_20260906T115531Z5216b9,0.808300438833838,0.9096734818431492,0.2739274568155072,0.032091105988304336,0.13928408096154798,0.9020914180142819,0.09379097918044399,477.8841480919982,NVIDIA L4
MixUp,4,t3_gender_name_truth_mixup_alpha020_cv_f4_20260911T035515Z_d9c9c2ba,0.8169334425065978,0.9106298612170199,0.26809614788252906,0.014099787934916848,0.1363788199248582,0.9407749555872826,0.1238415130806848,536.1964106549999,NVIDIA A100-SXM4-40GB
SAM25,4,t3_gender_name_truth_mixup_alpha020_sam005_epoch25_cv_gender_smallcnngem3_f4_s2753_cebc4858f043_20260906T120642Za83c66,0.7991696995743447,0.9059020893701388,0.2790897275134975,0.02975048669522281,0.1413725148060226,0.9026599887162765,0.10349028914193181,481.32562429099926,NVIDIA L4
