run_id,target,experiment_id,model_variant,status,role,validation_fold,registry_source,complete_metric_versions
t3_eda_gender_border_hog_f0_s2753_1bcecd2b0a_20260902T101632Zf7a553,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_border_hog_f0_s2753_2971e3f2ba_20260902T105809Zcba7d5,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_border_hog_f0_s2753_59c4861c6f_20260902T113615Z710b8f,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_border_hog_f0_s2753_7bcd60ca17_20260902T092249Z73ca4a,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_border_hog_f1_s2753_1c5d2340a8_20260902T105819Zf32416,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_border_hog_f1_s2753_3c6d4c1da2_20260902T101642Z945b36,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_border_hog_f1_s2753_5175275dc6_20260902T092259Z4a9625,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_border_hog_f1_s2753_de42287661_20260902T113626Za59fbf,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_border_hog_f2_s2753_147448d372_20260902T101652Z7fda27,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_border_hog_f2_s2753_52c2276d3a_20260902T092309Zc5adf6,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_border_hog_f2_s2753_b3c6ff29c9_20260902T113636Z0251d2,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_border_hog_f2_s2753_d0e76bb049_20260902T105828Z0aa3a5,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_border_hog_f3_s2753_31790bdf2e_20260902T113653Z4c1c94,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_border_hog_f3_s2753_8046f3b6fc_20260902T092326Zb78629,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_border_hog_f3_s2753_8c8d348aca_20260902T105844Zcd328e,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_border_hog_f3_s2753_f037961ec9_20260902T101709Z02fb7a,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_border_hog_f4_s2753_7373005c6e_20260902T113707Za9f59b,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_border_hog_f4_s2753_af80e0823d_20260902T092340Z7f1feb,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_border_hog_f4_s2753_c693a17ae0_20260902T105857Zb7cb4f,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_border_hog_f4_s2753_faf7be1592_20260902T101724Zc1f88b,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_border_hog,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_colour_summary_f0_s2753_05c1031007_20260902T114058Zbf2b62,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_colour_summary_f0_s2753_3270c86527_20260902T092728Z6876f5,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_colour_summary_f0_s2753_c0245b5059_20260902T102118Z5fd5cb,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_colour_summary_f0_s2753_ff3fcf0445_20260902T110233Z758b3d,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_colour_summary_f1_s2753_9a04eceb31_20260902T114058Za7e3c8,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_colour_summary_f1_s2753_9c70c2b9d6_20260902T092728Z612ce5,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_colour_summary_f1_s2753_b89554b0b5_20260902T110233Z2d9811,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_colour_summary_f1_s2753_bf55e48ce2_20260902T102118Z11be86,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,1,results/runs.csv,1
t3_eda_gender_colour_summary_f2_s2753_19166d0b08_20260902T092728Zf7fd90,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_colour_summary_f2_s2753_1cc29e3272_20260902T110234Z57b139,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_colour_summary_f2_s2753_5a69bc7d0d_20260902T102119Z1a53c6,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_colour_summary_f2_s2753_846259bfcc_20260902T114059Zf9acae,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,2,results/runs.csv,1
t3_eda_gender_colour_summary_f3_s2753_1af2f0c664_20260902T092728Z8fc9ae,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_colour_summary_f3_s2753_72a294ea75_20260902T102119Zedfd81,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_colour_summary_f3_s2753_791648c8ca_20260902T110234Zc8856f,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_colour_summary_f3_s2753_ac84a29ff1_20260902T114059Z242f50,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,3,results/runs.csv,1
t3_eda_gender_colour_summary_f4_s2753_08ed45c31d_20260902T102119Zd25121,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_colour_summary_f4_s2753_d00182c304_20260902T110234Zca85da,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_colour_summary_f4_s2753_d855184e51_20260902T092729Z49bd45,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_colour_summary_f4_s2753_e49366b04f_20260902T114059Z5e1eab,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_colour_summary,complete,EDA probe; sampled population,4,results/runs.csv,1
t3_eda_gender_foreground_hog_f0_s2753_021d5b55d1_20260902T091422Z322c99,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_foreground_hog,failed,Incomplete attempt; no candidate score,0,results/runs.csv,0
t3_eda_gender_foreground_hog_f0_s2753_021d5b55d1_20260902T092033Z168d49,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_foreground_hog,complete,EDA probe; sampled population,0,results/runs.csv,1
t3_eda_gender_foreground_hog_f1_s2753_6765e110fe_20260902T092058Z8eb355,gender,t3_clean_slate_eda_view_probe,eda_linear_probe_foreground_hog,complete,EDA probe; sampled population,1,results/runs.csv,1
