model,condition,macro_f1,accuracy,nll,ece_15,brier
MixUp,clean,0.7573372366824067,0.9002532572544473,0.3009598372655597,0.005937571240654334,0.15061690602503688
SAM25,clean,0.7532694654915931,0.8968052970432978,0.3123380172182615,0.019840376491339018,0.15626360935731257
MixUp,jpeg_75,0.7458948242117127,0.8967747841210753,0.3061155950995004,0.007851415994063781,0.15457302288076127
SAM25,jpeg_75,0.7457321496913076,0.8956458059988405,0.31594677292779666,0.02376598597602262,0.1588601149067265
MixUp,brightness_085,0.7423994733826336,0.8937540048210417,0.32313357859549746,0.027802103850248817,0.16263739612059722
SAM25,brightness_085,0.7294381055730004,0.888932963109877,0.34683945648617936,0.053016414273917505,0.17298332824873025
MixUp,brightness_115,0.731317874208856,0.8872242394654136,0.3338073010396423,0.010690083455399952,0.16753439117450813
SAM25,brightness_115,0.732798146892348,0.8844475635431606,0.3457564171647031,0.0281224829234774,0.17318927711944512
MixUp,grayscale,0.7318111886948337,0.8916791261099075,0.32368703842875657,0.006266336550817503,0.16253231386811479
SAM25,grayscale,0.7291877695208049,0.8890855277209898,0.3320579057628609,0.021035572578104397,0.1663285235579522
MixUp,translation_003,0.723230799769434,0.8863088517987368,0.3316440373245566,0.015347971893428451,0.16983473673357413
SAM25,translation_003,0.7194001910230697,0.8820675556098008,0.3458685574702487,0.03478324065379977,0.17640146730298445
