dimension,value,rows,errors,error_rate,families,high_confidence_errors
true_label,Boys,356,96,0.2696629213483146,210,10
true_label,Girls,285,76,0.26666666666666666,186,13
true_label,Men,7023,304,0.043286344866866014,4885,68
true_label,Unisex,707,337,0.4766619519094767,577,116
true_label,Women,4739,383,0.08081873813040726,3278,107
articleType,Accessory Gift Set,35,0,0.0,13,0
articleType,Backpacks,245,56,0.22857142857142856,171,19
articleType,Bangle,31,12,0.3870967741935484,2,1
articleType,Basketballs,5,1,0.2,5,0
articleType,Belts,270,39,0.14444444444444443,163,20
articleType,Blazers,3,0,0.0,3,0
articleType,Booties,4,4,1.0,2,1
articleType,Boxers,14,0,0.0,11,0
articleType,Bra,99,0,0.0,78,0
articleType,Bracelet,23,14,0.6086956521739131,3,4
articleType,Briefs,225,5,0.022222222222222223,157,0
articleType,Camisoles,6,0,0.0,6,0
articleType,Capris,53,13,0.24528301886792453,40,2
articleType,Caps,91,37,0.4065934065934066,82,2
articleType,Casual Shoes,909,118,0.12981298129812982,710,27
articleType,Churidar,11,0,0.0,11,0
articleType,Clothing Set,3,1,0.3333333333333333,3,0
articleType,Clutches,75,5,0.06666666666666667,61,0
articleType,Concealer,2,0,0.0,1,0
articleType,Cufflinks,20,3,0.15,3,0
articleType,Cushion Covers,1,1,1.0,1,0
articleType,Deodorant,98,18,0.1836734693877551,89,5
articleType,Dresses,115,8,0.06956521739130435,88,1
articleType,Duffel Bag,28,7,0.25,23,2
articleType,Dupatta,38,0,0.0,30,0
articleType,Earrings,125,8,0.064,4,2
articleType,Eyeshadow,3,0,0.0,2,0
articleType,Flats,141,11,0.07801418439716312,97,5
articleType,Flip Flops,296,57,0.19256756756756757,244,15
articleType,Footballs,3,3,1.0,3,1
articleType,Formal Shoes,205,1,0.004878048780487805,88,1
articleType,Foundation and Primer,6,0,0.0,2,0
articleType,Fragrance Gift Set,18,0,0.0,18,0
articleType,Free Gifts,21,5,0.23809523809523808,13,2
articleType,Gloves,8,3,0.375,5,0
articleType,Handbags,490,34,0.06938775510204082,315,10
articleType,Headband,3,3,1.0,3,0
articleType,Heels,362,4,0.011049723756906077,185,2
articleType,Innerwear Vests,80,4,0.05,63,2
articleType,Jackets,76,8,0.10526315789473684,69,4
articleType,Jeans,189,12,0.06349206349206349,92,0
articleType,Jeggings,8,0,0.0,6,0
articleType,Jewellery Set,12,0,0.0,7,0
articleType,Jumpsuit,4,0,0.0,4,0
articleType,Kajal and Eyeliner,5,2,0.4,4,0
articleType,Kurta Sets,25,0,0.0,23,0
articleType,Kurtas,530,1,0.0018867924528301887,280,1
articleType,Kurtis,67,0,0.0,53,0
articleType,Laptop Bag,25,8,0.32,19,0
