category,id,model_fold,true_label,predicted_label,confidence,true_probability,old_predicted_label,error_status,g2_correct,articleType,baseColour,productDisplayName,label_source,changed,has_exact_cross_label_conflict,product_family_group,sha256,path
Unisex → Men,6125,4,Unisex,Men,0.9999865293502808,8.356326361536048e-06,Men,persistent_error,False,Backpacks,Black,Puma Unisex Foundation Black Red Bagpack,product_name,False,False,family_24a63ec7c93bdbb5,829e7fcd4ba0f57b387a50cda4437a5bb131ea390f4b3a234615ce2abb2e1aa8,data/raw/teacher/train/images_train/6125.jpg
Unisex → Men,12991,4,Unisex,Men,0.9993595480918884,0.00019222691480536014,Men,persistent_error,False,Sports Shoes,Grey,ADIDAS Kids Unisex Uraha Grey Sports Shoes,product_name,False,False,family_627e4f781bcd2a5f,08fd86a6aab492545010265260d3c9095d4687ecda0615988c32580565ea6a74,data/raw/teacher/train/images_train/12991.jpg
Unisex → Women,30203,4,Unisex,Women,0.999137282371521,0.0007884410442784429,Women,persistent_error,False,Duffel Bag,Black,Nike Unisex Legend Black Duffle Bag,product_name,False,False,family_7af282b3dce605e8,d6febe9da56c70abd034724daf8a6a9e8b733b8a89639a37a16f92c38329c1b1,data/raw/teacher/train/images_train/30203.jpg
Unisex → Women,35420,4,Unisex,Women,0.9982771873474121,0.0012584252981469035,Women,persistent_error,False,Sports Shoes,White,ADIDAS Unisex Viking White Sports Shoes,product_name,False,False,family_21d98036a016c04e,4e656790340a3bb4ef890754e26c177a983dc156c7ab668cbd17a0514140a38b,data/raw/teacher/train/images_train/35420.jpg
Boys → Men,12995,0,Boys,Men,0.99864262342453,1.899406561278738e-05,Men,persistent_error,False,Casual Shoes,Brown,Timberland Kids Boys Brown Casual Shoes,product_name,False,False,family_1a8ca8c7b9e16ae3,58c5fa36f8703befb39065c2f62af31d14e17c2dc14dcb8e0c1b89c11c5e84f3,data/raw/teacher/train/images_train/12995.jpg
Boys → Men,14284,0,Boys,Men,0.9984346032142639,6.677353667328134e-06,Men,persistent_error,False,Casual Shoes,Brown,Timberland Kids-Boys Asphlttrl Ek Chk Dk Casual Shoe,product_name,False,False,family_3845075ee50bf284,a6aafef8614cd122cc82a99be379cb0c79f422f8004952baa8a7de2cc202a6c7,data/raw/teacher/train/images_train/14284.jpg
Girls → Women,35525,0,Girls,Women,0.9953579306602478,0.0015279629733413458,Women,persistent_error,False,Casual Shoes,Pink,Enroute Teens Pink Shoes,original_no_cue,False,False,family_b683515e95d1f265,a0fe757f0abf9b5205995164f4eeb8d86d5f3b196101aabfab6b1d3d7d7b9d5b,data/raw/teacher/train/images_train/35525.jpg
Girls → Women,2716,0,Girls,Women,0.9921839833259583,0.0032631035428494215,Women,persistent_error,False,Tops,Red,Disney Kids Girl's Minnie Red Stripped Kidswear,product_name,False,False,family_cc9cf5d8f89bae4a,57364181334c366874a0810a28a25150e85d4e623a974cdb52ace0c950dadaa1,data/raw/teacher/train/images_train/2716.jpg
Men → Unisex,29072,4,Men,Unisex,0.9847481846809387,0.013461214490234852,Unisex,persistent_error,False,Backpacks,Blue,Fastrack Men Blue Backpack,product_name,False,False,family_f4f128d7da451760,942c29cede9767d95c9a288d592b77ae70105180c701a7e29e6b0d1241147cbc,data/raw/teacher/train/images_train/29072.jpg
Men → Unisex,8672,4,Men,Unisex,0.9842156767845154,0.014842445962131023,Unisex,persistent_error,False,Sunglasses,Black,Fastrack Men Fastrack Black sunglass with golden rim Black Sunglasses,product_name,False,False,family_6058ce19ef73825a,a26a36c5d98fa5b86fdcc289fb68229750d96c7152171983c4434aa8358a8bac,data/raw/teacher/train/images_train/8672.jpg
Women → Girls,13336,0,Women,Girls,0.998711109161377,0.0002893086930271238,Girls,persistent_error,False,Tops,Pink,Gini and Jony Kids Printed Pink Tops,original_no_cue,False,True,family_014987a52fd5082d,115976f96210da8786c835269c9c923505480bc431ec7bf8ff8d26cd5b4e67ba,data/raw/teacher/train/images_train/13336.jpg
Women → Girls,43080,4,Women,Girls,0.9903468489646912,0.008218700997531414,Girls,persistent_error,True,Tops,Green,Nike Womens Moss Green Top,product_name,False,False,family_2152e0a767b3ec0a,2d51abeec902e46efb0e299a0c17b6e7c43ad7ab95554b684a74ce18ac9b28d4,data/raw/teacher/train/images_train/43080.jpg
