fold,class_name,train_f1,validation_f1,gap
0,Boys,0.9492494639027877,0.7604790419161676,0.1887704219866202
0,Girls,0.9384756657483931,0.7481481481481482,0.1903275176002449
0,Men,0.9667436812994469,0.9353412544901907,0.0314024268092562
0,Unisex,0.7862232779097388,0.6166950596252129,0.1695282182845259
0,Women,0.96033934252386,0.9159717767799872,0.044367565743872794
4,Boys,0.9445255474452555,0.7989130434782608,0.14561250396699477
4,Girls,0.9397810218978103,0.769811320754717,0.1699697011430933
4,Men,0.9657392825896762,0.9357541899441341,0.029985092645542166
4,Unisex,0.795766366130929,0.5863192182410423,0.20944714788988672
4,Women,0.9588110403397028,0.9186318249415765,0.0401792153981263
