fold,class_name,training_rows,training_families,validation_rows,training_fraction,expected_random_partner_adult_fraction
0,Boys,697,402,171,0.02658276125095347,0.8983981693363844
0,Girls,558,361,142,0.021281464530892448,0.8983981693363844
0,Men,14054,9801,3518,0.536003051106026,0.8983981693363844
0,Unisex,1409,1139,354,0.053737604881769645,0.8983981693363844
0,Women,9502,6642,2368,0.3623951182303585,0.8983981693363844
4,Boys,683,396,185,0.02605279218797681,0.8989166920964297
4,Girls,557,369,143,0.02124656698199573,0.8989166920964297
4,Men,14067,9798,3505,0.5365807140677449,0.8989166920964297
4,Unisex,1410,1134,353,0.053783948733597806,0.8989166920964297
4,Women,9499,6642,2371,0.3623359780286848,0.8989166920964297
