model,fold,partition,mode,batch_size,order,delta,flips,passed
G2,0,train,runtime_default,1,forward,9.202957153320312e-05,0,False
G2,0,train,runtime_default,1,reverse,9.202957153320312e-05,0,False
G2,0,train,runtime_default,1,shuffle,9.202957153320312e-05,0,False
G2,0,train,runtime_default,32,forward,0.0005329251289367676,0,False
G2,0,train,runtime_default,32,reverse,0.0005329251289367676,0,False
G2,0,train,runtime_default,32,shuffle,0.0005329251289367676,0,False
G2,0,train,runtime_default,128,forward,0.0,0,True
G2,0,train,runtime_default,128,reverse,0.0005329251289367676,0,False
G2,0,train,runtime_default,128,shuffle,0.0002853870391845703,0,False
G2,0,train,ieee,1,forward,4.76837158203125e-07,0,True
G2,0,train,ieee,1,reverse,4.76837158203125e-07,0,True
G2,0,train,ieee,1,shuffle,4.76837158203125e-07,0,True
G2,0,train,ieee,32,forward,5.364418029785156e-07,0,True
G2,0,train,ieee,32,reverse,5.364418029785156e-07,0,True
G2,0,train,ieee,32,shuffle,5.364418029785156e-07,0,True
G2,0,train,ieee,128,forward,0.0,0,True
G2,0,train,ieee,128,reverse,2.980232238769531e-07,0,True
G2,0,train,ieee,128,shuffle,3.5762786865234375e-07,0,True
G2,0,validation,runtime_default,1,forward,0.00038188695907592773,0,False
G2,0,validation,runtime_default,1,reverse,0.00038188695907592773,0,False
G2,0,validation,runtime_default,1,shuffle,0.00038188695907592773,0,False
G2,0,validation,runtime_default,32,forward,0.0004566311836242676,0,False
G2,0,validation,runtime_default,32,reverse,0.0004566311836242676,0,False
G2,0,validation,runtime_default,32,shuffle,0.0004566311836242676,0,False
G2,0,validation,runtime_default,128,forward,0.0,0,True
G2,0,validation,runtime_default,128,reverse,0.00038063526153564453,0,False
G2,0,validation,runtime_default,128,shuffle,0.00038063526153564453,0,False
G2,0,validation,ieee,1,forward,5.662441253662109e-07,0,True
G2,0,validation,ieee,1,reverse,5.662441253662109e-07,0,True
G2,0,validation,ieee,1,shuffle,5.662441253662109e-07,0,True
G2,0,validation,ieee,32,forward,4.470348358154297e-07,0,True
G2,0,validation,ieee,32,reverse,4.470348358154297e-07,0,True
G2,0,validation,ieee,32,shuffle,4.470348358154297e-07,0,True
G2,0,validation,ieee,128,forward,0.0,0,True
G2,0,validation,ieee,128,reverse,3.5762786865234375e-07,0,True
G2,0,validation,ieee,128,shuffle,3.5762786865234375e-07,0,True
G2,4,train,runtime_default,1,forward,0.00017264485359191895,0,False
G2,4,train,runtime_default,1,reverse,0.00017264485359191895,0,False
G2,4,train,runtime_default,1,shuffle,0.00017264485359191895,0,False
G2,4,train,runtime_default,32,forward,0.000387534499168396,0,False
G2,4,train,runtime_default,32,reverse,0.000387534499168396,0,False
G2,4,train,runtime_default,32,shuffle,0.000387534499168396,0,False
G2,4,train,runtime_default,128,forward,0.0,0,True
G2,4,train,runtime_default,128,reverse,0.00034505128860473633,0,False
G2,4,train,runtime_default,128,shuffle,0.000387534499168396,0,False
G2,4,train,ieee,1,forward,2.980232238769531e-07,0,True
G2,4,train,ieee,1,reverse,2.980232238769531e-07,0,True
G2,4,train,ieee,1,shuffle,2.980232238769531e-07,0,True
G2,4,train,ieee,32,forward,3.725290298461914e-07,0,True
G2,4,train,ieee,32,reverse,3.725290298461914e-07,0,True
