first_id,second_id,reason
flipkart_party:BRAEBGGVYKJZAZYV,flipkart_party:BRAEBGGV3NPZHAGQ,normalized_title
flipkart_party:BRAEA7GBQR7ZZN4K,flipkart_party:BRAEA7GBCCF5TVAF,normalized_title
flipkart_party:BRAEA7GBQR7ZZN4K,flipkart_party:BRAE9Y5V963WTTNW,normalized_title
flipkart_party:SHTE5YHGMHQZHD8E,flipkart_party:SHTE2FCTN7MYJCUW,normalized_title
flipkart_party:BRAEDASWQDSYNUV3,flipkart_party:BRAED6G6TVPF94CV,normalized_title
flipkart_party:BRAEDASWQDSYNUV3,flipkart_party:BRAED6G63H64TSXJ,normalized_title
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B07116WPHF,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B0713SKPF5,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B0718YX1ZV,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071Y62T7G,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071YPBMZW,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B0727R3L19,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B0727R3YBJ,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,source_group
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,image_url
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,image_url
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,image_url
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,file_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,file_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,file_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,view_pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,view_pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,view_pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071KX6KB2,crop_pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B071RN7NC9,crop_pixel_sha256
Amazon Berkeley Objects:B07116WMZ5,Amazon Berkeley Objects:B08GMZ6LSL,crop_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B071YPBMZW,image_url
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3L19,image_url
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3YBJ,image_url
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B071YPBMZW,file_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3L19,file_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3YBJ,file_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B071YPBMZW,pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3L19,pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3YBJ,pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B071YPBMZW,view_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3L19,view_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3YBJ,view_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B071YPBMZW,crop_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3L19,crop_pixel_sha256
Amazon Berkeley Objects:B07116WPHF,Amazon Berkeley Objects:B0727R3YBJ,crop_pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B0718YX1ZV,image_url
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B071Y62T7G,image_url
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B0718YX1ZV,file_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B071Y62T7G,file_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B0718YX1ZV,pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B071Y62T7G,pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B0718YX1ZV,view_pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B071Y62T7G,view_pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B0718YX1ZV,crop_pixel_sha256
Amazon Berkeley Objects:B0713SKPF5,Amazon Berkeley Objects:B071Y62T7G,crop_pixel_sha256
Amazon Berkeley Objects:B071KX6KB2,Amazon Berkeley Objects:B08GMZ6LSL,normalized_title
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B07255FKTS,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B07255V34N,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,source_group
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,image_url
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,image_url
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B071YPBH4C,file_sha256
Amazon Berkeley Objects:B071RN7KNH,Amazon Berkeley Objects:B0896X61TP,file_sha256
