source,source_id,source_group_id,source_title,source_article_type,source_label,label_evidence,label_strength,source_url,image_url,original_path,original_sha256,width,height,rights_basis,source_record_id,source_category_path,source_specs,attribution,license_url,dataset_url,source_category,source_brand,image_format,main_image_id,source_model_number,mixed_use,visual_qa_flags,external_id,visual_decision,visual_flags,selection_reason,file_sha256,pixel_sha256,view_pixel_sha256,crop_pixel_sha256,dhash_hex,ahash_hex,view_dhash_hex,view_ahash_hex,crop_dhash_hex,crop_ahash_hex,original_width,original_height,external_group_id,teacher_overlap,admission_reason,sha256,decoded_sha256,original_decoded_sha256,content_left,content_top,content_width,content_height,path,training_target,teacher_usage_compatible,candidate_usage,external_partition
amazon_reviews_2023,B009DAHKNI,amazon_asin:B009DAHKNI,2 Hawaiian quilt throw pillow cover 18x18 100% hand quilted/100% hand appliqued,Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B009DAHKNI,https://m.media-amazon.com/images/I/51NeJgegVDL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B009DAHKNI.jpg,0f954c6a40abea28efbbb7b780f0c96e3be1408b7f38a7455fba9f801cfa2ae8,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Hawaiian Quilt Shop,JPEG,,,,,amazon_reviews_2023:B009DAHKNI,keep,One clear cushion/cover; original and 60x80 preview inspected,,0f954c6a40abea28efbbb7b780f0c96e3be1408b7f38a7455fba9f801cfa2ae8,7e984318ac107d1b1a5f0e9fc7d79470aa2a60db826c540ddd441fd69b0dc598,1716cd6fc80c49fcac90df096a05a7464e95c26fc38777bf25309360c523c577,7e984318ac107d1b1a5f0e9fc7d79470aa2a60db826c540ddd441fd69b0dc598,2333170f373361f0,ff81c3c3838199ff,0029330e37738800,ffff81838100ffff,2333170f373361f0,ff81c3c3838199ff,500,398,external_family_03711235dfe9fe1513ea,False,accepted_for_auxiliary_source_label_training,5fab4fab2ba62ed6482be63196961ced65618065136c538e51e82d8185dae426,1716cd6fc80c49fcac90df096a05a7464e95c26fc38777bf25309360c523c577,7e984318ac107d1b1a5f0e9fc7d79470aa2a60db826c540ddd441fd69b0dc598,0,16,60,48,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B009DAHKNI.png,source_usage,False,Home,train
amazon_reviews_2023,B019OYU4NK,amazon_asin:B019OYU4NK,"Bursonvic Throw Pillow Case Cushion Cover, Linen Burlap Home Farmhouse/Modern Decorative Square Solid Pillow Cover for Sofa/Couch/Bed (18 x 18 Inches, Beige/Light Coffee)",Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B019OYU4NK,https://m.media-amazon.com/images/I/51WRe5ZGU8L._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B019OYU4NK.jpg,973c54ef8c2899e854c748f7f9c0292e255f9a89e93d95023b2b9de2a91ba61d,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Bursonvic,JPEG,,,,,amazon_reviews_2023:B019OYU4NK,keep,One clear cushion/cover; original and 60x80 preview inspected,,973c54ef8c2899e854c748f7f9c0292e255f9a89e93d95023b2b9de2a91ba61d,c119a47f62d63c5d65146738b9dda7fbb3f83fab6febfcddc97fbf0300f71e05,1968c67563fd04eca52a20fcc8b03e7a2f5466ef5e6c8504429d51461ffbeb49,b5fca0e522c230f715b56535d31bb94245892a92aef3c76dd5d54879a97ae28b,7071733f3f3b1f71,ffb181818181819d,8071633f3f3f71c0,ffbc8181818101ff,7071733f3f3b1f79,ffb181818181819d,441,452,external_family_19c88debf1d918bc0d41,False,accepted_for_auxiliary_source_label_training,97339113d6f2168427b579a113dd377cf5e72d88aee6976ee8e042ac3cd5a6d6,1968c67563fd04eca52a20fcc8b03e7a2f5466ef5e6c8504429d51461ffbeb49,c119a47f62d63c5d65146738b9dda7fbb3f83fab6febfcddc97fbf0300f71e05,0,9,60,61,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B019OYU4NK.png,source_usage,False,Home,train
amazon_reviews_2023,B08KW2KC8W,amazon_asin:B08KW2KC8W,Timur Weave Pillow Cover in Sky Blue Background Throw Pillow Cover 18x18 Cushion Cover Decortaive Pillowcase with Zipper Home decor,Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B08KW2KC8W,https://m.media-amazon.com/images/I/41xuxl0fpEL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B08KW2KC8W.jpg,2b215df03f9cf13844c782086caf06a4c26aa685db6cd01e8cee9e4932bf9d4d,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,MangGou,JPEG,,,,,amazon_reviews_2023:B08KW2KC8W,keep,One clear cushion/cover; original and 60x80 preview inspected,,2b215df03f9cf13844c782086caf06a4c26aa685db6cd01e8cee9e4932bf9d4d,0f89c115cac4dad4349fc4af5f19f7957081418ea60db26428e33014910c7ca5,b9ddc3b0842b0934dc36284bae88010f2f6ddb0d4b8df72a960f851887193396,07a57d96bd857e6cadb1ad882307aaf1c33f74992eaefe48413032d5e1d736e5,f0716d7b7b7b79f1,ffbfa58181810100,80f0616b7b717161,ffff0181010100ff,f0716d737b7979f1,ffbfa58181810100,475,473,external_family_1a80fb9478e19916651f,False,accepted_for_auxiliary_source_label_training,3af37e76d0c0340df9983c25d6d9bd893ec8a66e647e552fb4966c644e8286e6,b9ddc3b0842b0934dc36284bae88010f2f6ddb0d4b8df72a960f851887193396,0f89c115cac4dad4349fc4af5f19f7957081418ea60db26428e33014910c7ca5,0,10,60,60,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B08KW2KC8W.png,source_usage,False,Home,train
amazon_reviews_2023,B07SB54HFL,amazon_asin:B07SB54HFL,"TOMKEY Square Pillow Cases, Hidden Zippered 18X18Inch Video Games Controller Icon Decorative Throw Cotton Pillow Case Cushion Cover for Home Decor,Black White",Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B07SB54HFL,https://m.media-amazon.com/images/I/41-vx8zLMUL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B07SB54HFL.jpg,c769e58a97e6cfed8b4e65e8590a3d24ddebf5aa5263df274b2aa0920b8c305e,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,TOMENGBEI,JPEG,,,,,amazon_reviews_2023:B07SB54HFL,keep,One clear cushion/cover; original and 60x80 preview inspected,,c769e58a97e6cfed8b4e65e8590a3d24ddebf5aa5263df274b2aa0920b8c305e,3da57549b5085003b932e1d4a0e786f9b148ac368edd4bf7d252c72402a2e21b,36a4c3b7d2bf7f803b663a2168c530cfd897131a897e2d5f7991b5b22566f980,3157630aa94044cbd68b549a3d4b2beaba66bbd44a80b75e278ab16a1a8945a4,2cb4170b33330d31,ffffc1818199e5fc,1260150f33211dc0,ffffc08181d9e4ff,2cb4170b33330d31,ffffc1818199fdfc,441,427,external_family_21a59e5115984f690bf2,False,accepted_for_auxiliary_source_label_training,aeae4aea17ef20883bfbee5eb6f4aef8d664937eaa75901684019b6ae0f0f583,36a4c3b7d2bf7f803b663a2168c530cfd897131a897e2d5f7991b5b22566f980,3da57549b5085003b932e1d4a0e786f9b148ac368edd4bf7d252c72402a2e21b,0,11,60,58,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B07SB54HFL.png,source_usage,False,Home,train
amazon_reviews_2023,B075JBQ916,amazon_asin:B075JBQ916,"Jepeak Burlap Linen Throw Pillow Cover Rhombus Textured Cushion Case, Farmhouse Decorative Square Pillow Cover for Sofa Couch Bed (Light Cyan/Grey, 16 x 16 Inches)",Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B075JBQ916,https://m.media-amazon.com/images/I/51ONPmUkHXL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B075JBQ916.jpg,b1a95967100fa0b52d79dc9f1a4359af52b149bb54ec3cf28f6f0d54ca2740e7,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Jepeak,JPEG,,,,,amazon_reviews_2023:B075JBQ916,keep,One clear cushion/cover; original and 60x80 preview inspected,,b1a95967100fa0b52d79dc9f1a4359af52b149bb54ec3cf28f6f0d54ca2740e7,5f054e8c94d35060d886c3200b5646573e7737d70413629fa57c2eb7dc51686d,8de808f7559e3cf9d938d053c27d6e0f76372ffc281e40c577ce59202798027f,5f054e8c94d35060d886c3200b5646573e7737d70413629fa57c2eb7dc51686d,dcf9838303435191,ff7f6160e08000fd,02f9b98343439100,ffff59400000c0ff,dcf9838303435191,ff7f6160e08000fd,500,500,external_family_3243c92a55c830a98a2c,False,accepted_for_auxiliary_source_label_training,dd07ad5e8eb28213ed27733c8c765d2ab239a091f1b872a68976ef36a7319efc,8de808f7559e3cf9d938d053c27d6e0f76372ffc281e40c577ce59202798027f,5f054e8c94d35060d886c3200b5646573e7737d70413629fa57c2eb7dc51686d,0,10,60,60,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B075JBQ916.png,source_usage,False,Home,train
amazon_reviews_2023,B0893C3QRM,amazon_asin:B0893C3QRM,Kiuree Farmhouse Decorative Throw Pillow Covers 18x18 inch Cute Faux Stripe Leather Accent Pillow for Couch Boho Modern Decor Pillow (Coffee),Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B0893C3QRM,https://m.media-amazon.com/images/I/51zuNC+vZrL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B0893C3QRM.jpg,ee308bcda405c4031be995d3f5a28235274ae6226651b7449f1b48d5712e8ea1,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Kiuree,JPEG,,,,,amazon_reviews_2023:B0893C3QRM,keep,One clear cushion/cover; original and 60x80 preview inspected,,ee308bcda405c4031be995d3f5a28235274ae6226651b7449f1b48d5712e8ea1,5661181b87b183981a477fabeed580c317948580c98c6ab9798340655c2b0895,8145ca84be2c9c3b0412fc37b8813f207391d4be97ca06bec7de06261b5b5ea9,890b2db8cffc1c39732d9fe354b2055e8cb638b42a4e209819264b722fa6f631,69314d4d4d4d4dcc,bf99e7a7a7a7e7e7,08710d4d4d4dcc00,ffbd81a5a5a5e7ff,61334d4d4d4d4dcc,bf99e7a7a7a7e7e7,449,425,external_family_43ead8ccc52cea575746,False,accepted_for_auxiliary_source_label_training,0258fbf3ec30a1090d3b2b60f89b3db940f857be942eb3f55192450806066dc4,8145ca84be2c9c3b0412fc37b8813f207391d4be97ca06bec7de06261b5b5ea9,5661181b87b183981a477fabeed580c317948580c98c6ab9798340655c2b0895,0,11,60,57,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B0893C3QRM.png,source_usage,False,Home,train
amazon_reviews_2023,B08JL7CV7Y,amazon_asin:B08JL7CV7Y,ALKIMIA INC Mexican Handmade Pillow Cover Chiapas Embroidery (Black),Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B08JL7CV7Y,https://m.media-amazon.com/images/I/51OlWTq05GL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B08JL7CV7Y.jpg,276fa23d906e7ddf74e9edca6535695fc51e22a1a20a2b578e9ed6dc8fd412eb,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,ALKIMIA INC,JPEG,,,,,amazon_reviews_2023:B08JL7CV7Y,keep,One clear cushion/cover; original and 60x80 preview inspected,,276fa23d906e7ddf74e9edca6535695fc51e22a1a20a2b578e9ed6dc8fd412eb,1a8cd4c0303352c4c563dd5842df9f0ae2adbe15d53df6fb69bcde4e9a063bba,4e698c348e299d59bed2859a124a8e475a49793e2d9b309e6bd3347078dc2d3e,2fe6de5a29f643ecbb44be6f10bd174cbb00540394cae398caf1f927f491ae3d,c563736f577377d9,61019f83830b037d,c4c7736f5773f980,ff000101010101ff,c563736f577377e9,60819f83830b037d,393,399,external_family_6aac990e4ace99105e5d,False,accepted_for_auxiliary_source_label_training,a4c667288c2d78b94b9ca8e415ee42ac4dd35f7a3c593046b547303426c327aa,4e698c348e299d59bed2859a124a8e475a49793e2d9b309e6bd3347078dc2d3e,1a8cd4c0303352c4c563dd5842df9f0ae2adbe15d53df6fb69bcde4e9a063bba,0,9,60,61,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B08JL7CV7Y.png,source_usage,False,Home,train
amazon_reviews_2023,B096FBT3R8,amazon_asin:B096FBT3R8,"Mesllings Zippered Pillow Covers Pillowcases 26X26 Inch 108 Fur Print Deerskin Fawn Gold Lumbar Decorative Throw Pillow Cover,Pillow Cases Cushion Cover for Home Sofa Bedding, Multicolor",Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B096FBT3R8,https://m.media-amazon.com/images/I/51IX6td0R2L._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B096FBT3R8.jpg,0106a30a2995a57698268f901b1357d1f9c6383c4fa85d54d638da9d598ddb47,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Mesllings,JPEG,,,,,amazon_reviews_2023:B096FBT3R8,keep,One clear cushion/cover; original and 60x80 preview inspected,,0106a30a2995a57698268f901b1357d1f9c6383c4fa85d54d638da9d598ddb47,c0eeb4d1735cf7c452c3d6b7b439c26496a32924571ac9082eb7bc9ea547c4fc,1e95a723be3a4ea49f7ed080dca061d8b5b8c161899f428d3b6202332fa67bdf,b070f78c138605e672aedb2909dda2d749384999c32a4a659e8d6f4c19e92e9e,690f4d4d4d4d0f6a,ff81838181a181ff,c04d0f4d4d4d0b80,ff818180818081ff,690f4d4d4d4d0f4a,ff81838181a181ff,472,494,external_family_6eea800b38b668684378,False,accepted_for_auxiliary_source_label_training,d9b02e768f278fd7cd374459787fa657d9c78590ec1c43893765738586749f65,1e95a723be3a4ea49f7ed080dca061d8b5b8c161899f428d3b6202332fa67bdf,c0eeb4d1735cf7c452c3d6b7b439c26496a32924571ac9082eb7bc9ea547c4fc,0,8,60,63,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B096FBT3R8.png,source_usage,False,Home,train
amazon_reviews_2023,B07R511SJJ,amazon_asin:B07R511SJJ,Fukeen Adorable Animals Deer Pillow Cases Standard Home Kids Room Decor Giraffe Decorative Throw Pillow Cushion Cover Cotton Linen 18x18 Inch Throw Pillows,Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B07R511SJJ,https://m.media-amazon.com/images/I/51n0ky1x+VL._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B07R511SJJ.jpg,4ac9f1f0cf4edcdb4cd0de8a5ca6c5a7a0b13a0e418c7d599c618f47af42701f,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,Fukeen,JPEG,,,,,amazon_reviews_2023:B07R511SJJ,keep,One clear cushion/cover; original and 60x80 preview inspected,,4ac9f1f0cf4edcdb4cd0de8a5ca6c5a7a0b13a0e418c7d599c618f47af42701f,f33fb017946abc5b0c9c1d426b7dd092950583065a32b3fe9d6b5cf6e363dfa5,6eb3e55c92de98764af5332fd4baa06821c8cc091e44909e38d9644a7ef371d4,14f32f8b66ea1b0637d912811725c70051c53056728f6858177a0e6f2a186365,c44747071f0f0f5f,ffa3a38383878703,00c447470f0f5f00,ffff8381818103ff,c44747071f0f0f5f,ffa3a38383878703,487,436,external_family_7789611d9fd2839df508,False,accepted_for_auxiliary_source_label_training,120fb4f120e2f619fe129524afe86b4755e01c986ccb0d09a8839a2966e56c60,6eb3e55c92de98764af5332fd4baa06821c8cc091e44909e38d9644a7ef371d4,f33fb017946abc5b0c9c1d426b7dd092950583065a32b3fe9d6b5cf6e363dfa5,0,13,60,54,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B07R511SJJ.png,source_usage,False,Home,train
amazon_reviews_2023,B087X3X7LS,amazon_asin:B087X3X7LS,Pillowcase Personalized Custom Name Mama Bear Mother's Day Birthday for Mom from Kids Sofa Couch Throw Cushion Cover DIY Pillow Sham Case 18X18 Inches,Throw Pillow Covers,Home,details.Occasion=Home,source_exact_occasion,https://www.amazon.com/dp/B087X3X7LS,https://m.media-amazon.com/images/I/41QUpIde1-L._AC_.jpg,data/external/rare_usage_20260906/amazon/originals/B087X3X7LS.jpg,d04189cfd312aef5cc240547c1509616bad6cf9ec6dfcf205a596c80c257f8da,60,80,"Public publisher research release; retailer photo rights retained; local academic experiment, no blanket photo redistribution grant established",,,,,,,amazon_home,FavorPlus Pillowcase,JPEG,,,,,amazon_reviews_2023:B087X3X7LS,keep,One clear cushion/cover; original and 60x80 preview inspected,,d04189cfd312aef5cc240547c1509616bad6cf9ec6dfcf205a596c80c257f8da,669d3835ccec21ad15899c3cafd2bfc451e80a954eb86850e3a0e528fdee4fc2,a65d11bd9167430705a37e82be67ce84e040f2aceb5acb2d02e315fd3c92fa35,00a6d748f9392403b8bfb9cc70cd8d59be51fb5f6b5b94c96e56b33d15079c04,c13d2d87174b2b17,ffcf87c3d301ffff,2c813d0d534b3500,ffff87c30181ffff,c13d2d87174b2b17,ffcf87c3d301ffff,500,444,external_family_83c49995d9bc8646598f,False,accepted_for_auxiliary_source_label_training,716a145e75f389283f0d8ffe9239e3f1dd9ada1b4d2ee19af2419bf43e143e35,a65d11bd9167430705a37e82be67ce84e040f2aceb5acb2d02e315fd3c92fa35,669d3835ccec21ad15899c3cafd2bfc451e80a954eb86850e3a0e528fdee4fc2,0,13,60,53,data/external/rare_usage_20260906/images_60x80/amazon_reviews_2023/B087X3X7LS.png,source_usage,False,Home,train
