id,usage,cv_fold,path,source_dataset,source_id,external_id,productDisplayName,source_url,label_evidence,label_strength,extension_family_group,audit_product_type,audit_annotation_basis,audit_family_size,audit_source_normalized,audit_evidence_level,audit_photo_style,audit_retirement_score,audit_retirement_reason,reason,shortlist_priority,shortlist_reason,shortlist_whole_family,visual_review_status
1000000333,Home,0,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_93bcbfd7a36550e7a0f4.png,amazon_berkeley_objects,B074VLQDJX,amazon_berkeley_objects:B074VLQDJX,"Amazon Brand – Stone & Beam French Laundry Stripe Decorative Throw Pillow, 12"" x 24"", Ivory, Grey",https://www.amazon.com/dp/B074VLQDJX,"Amazon Brand – Stone & Beam French Laundry Stripe Decorative Throw Pillow, 12"" x 24"", Ivory, Grey",product_text_inference,external_family_93bcbfd7a36550e7a0f4,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",1,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000338,Home,4,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_26ff2ff1b5d0be924d59.png,amazon_berkeley_objects,B074VLST26,amazon_berkeley_objects:B074VLST26,"Amazon Brand – Rivet Velvet Texture Decorative Throw Pillow, 12"" x 24"", Azure",https://www.amazon.com/dp/B074VLST26,"Amazon Brand – Rivet Velvet Texture Decorative Throw Pillow, 12"" x 24"", Azure",product_text_inference,external_family_26ff2ff1b5d0be924d59,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",1,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000340,Home,0,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_550345ea02a61291d799.png,amazon_berkeley_objects,B074VM1TLP,amazon_berkeley_objects:B074VM1TLP,"Amazon Brand – Rivet Velvet Texture Striated Decorative Throw Pillow, 12"" x 24"", Midnight",https://www.amazon.com/dp/B074VM1TLP,"Amazon Brand – Rivet Velvet Texture Striated Decorative Throw Pillow, 12"" x 24"", Midnight",product_text_inference,external_family_550345ea02a61291d799,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",1,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000346,Home,2,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_6048fb50dcb34192d400.png,amazon_berkeley_objects,B074VMFX72,amazon_berkeley_objects:B074VMFX72,"Amazon Brand – Rivet Velvet Texture Striated Decorative Throw Pillow, 12"" x 24"", Honeycomb",https://www.amazon.com/dp/B074VMFX72,"Amazon Brand – Rivet Velvet Texture Striated Decorative Throw Pillow, 12"" x 24"", Honeycomb",product_text_inference,external_family_6048fb50dcb34192d400,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",1,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000376,Home,3,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_aff8c635c8344b76f347.png,amazon_berkeley_objects,B07JKJKH4H,amazon_berkeley_objects:B07JKJKH4H,"Amazon Brand – Stone & Beam Casual Outdoor Stripe Throw Pillow - 24 x 12 Inch, Teal",https://www.amazon.com/dp/B07JKJKH4H,"Amazon Brand – Stone & Beam Casual Outdoor Stripe Throw Pillow - 24 x 12 Inch, Teal",product_text_inference,external_family_aff8c635c8344b76f347,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",1,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000422,Home,0,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_eb0ebfa6f525c8270ff8.png,amazon_berkeley_objects,B07K8SGZZW,amazon_berkeley_objects:B07K8SGZZW,Stone & Beam Throw-Pillows Dark Gold York,https://www.amazon.com/dp/B07K8SGZZW,Stone & Beam Throw-Pillows Dark Gold York,product_text_inference,external_family_e3e2d5d1d6569601a561,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",2,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000436,Home,0,data/external/rare_usage_expansion_20260906/images_60x80/home/rare_09fa0331f8183780d183.png,amazon_berkeley_objects,B07T3TV3V4,amazon_berkeley_objects:B07T3TV3V4,Stone & Beam Throw-Pillows Dark Gold York,https://www.amazon.com/dp/B07T3TV3V4,Stone & Beam Throw-Pillows Dark Gold York,product_text_inference,external_family_e3e2d5d1d6569601a561,Decorative pillows (cover status unspecified in title),"Title rules plus class contact-sheet review; broad groups only, not target labels",2,amazon_berkeley_objects,product_text_inference,Isolated catalogue product; inspected class contact sheets,20,Teacher Home is one cushion cover; title does not establish cover-only product,Single rectangular pillow view; replace with reviewed printed covers and cover sets closer to the only teacher Home development image. Home label is not disputed.,,,,reviewed_and_accepted
1000000022,Party,1,data/external/rare_usage_20260906/images_60x80/flipkart_party/BRAE9Y5V963WTTNW.png,flipkart_party,BRAE9Y5V963WTTNW,flipkart_party:BRAE9Y5V963WTTNW,Glus Front Open Women's Balconette Bra,http://www.flipkart.com/glus-front-open-women-s-balconette-bra/p/itme9y5v48ygbqxx?pid=BRAE9Y5V963WTTNW,"[""Party""]",source_exact_occasion,external_family_d463581519fbf46f61d5,Bras,"Title rules plus class contact-sheet review; broad groups only, not target labels",3,flipkart_party,source_exact_occasion,Mixed product-only and modelled catalogue; old-intake sheets inspected,70,Product type absent from teacher Party development; source tag may not match teacher taxonomy,"Source supports Party, but this form is absent from teacher Party development; replace with missing accessory/perfume/watch forms. Not a mislabel finding.",,,,reviewed_and_accepted
1000000023,Party,1,data/external/rare_usage_20260906/images_60x80/flipkart_party/BRAEA7GBCCF5TVAF.png,flipkart_party,BRAEA7GBCCF5TVAF,flipkart_party:BRAEA7GBCCF5TVAF,Glus Front Open Women's Balconette Bra,http://www.flipkart.com/glus-front-open-women-s-balconette-bra/p/itmea7gbectz5bcj?pid=BRAEA7GBCCF5TVAF,"[""Party""]",source_exact_occasion,external_family_d463581519fbf46f61d5,Bras,"Title rules plus class contact-sheet review; broad groups only, not target labels",3,flipkart_party,source_exact_occasion,Mixed product-only and modelled catalogue; old-intake sheets inspected,70,Product type absent from teacher Party development; source tag may not match teacher taxonomy,"Source supports Party, but this form is absent from teacher Party development; replace with missing accessory/perfume/watch forms. Not a mislabel finding.",,,,reviewed_and_accepted
1000000024,Party,1,data/external/rare_usage_20260906/images_60x80/flipkart_party/BRAEA7GBQR7ZZN4K.png,flipkart_party,BRAEA7GBQR7ZZN4K,flipkart_party:BRAEA7GBQR7ZZN4K,Glus Front Open Women's Balconette Bra,http://www.flipkart.com/glus-front-open-women-s-balconette-bra/p/itmea7gbhfz2gk73?pid=BRAEA7GBQR7ZZN4K,"[""Party""]",source_exact_occasion,external_family_d463581519fbf46f61d5,Bras,"Title rules plus class contact-sheet review; broad groups only, not target labels",3,flipkart_party,source_exact_occasion,Mixed product-only and modelled catalogue; old-intake sheets inspected,70,Product type absent from teacher Party development; source tag may not match teacher taxonomy,"Source supports Party, but this form is absent from teacher Party development; replace with missing accessory/perfume/watch forms. Not a mislabel finding.",,,,reviewed_and_accepted
