model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
E2,all_available_folds,0.0,Casual,0.9317609387508055,0.9154070436584056,26066,0.9487097928511788,25151
E2,all_available_folds,1.0,Ethnic,0.8539802166745171,0.8788172564226854,2063,0.8305084745762712,2183
E2,all_available_folds,2.0,Formal,0.7759269210102095,0.81443880428652,1773,0.7408927655207799,1949
E2,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E2,all_available_folds,4.0,NA,0.22988505747126436,0.38461538461538464,26,0.16393442622950818,61
E2,all_available_folds,5.0,Party,0.0,0.0,1,0.0,12
E2,all_available_folds,6.0,Smart Casual,0.0,0.0,5,0.0,47
E2,all_available_folds,7.0,Sports,0.6750849927149102,0.7364888731896856,2831,0.6231320980274955,3346
E2,all_available_folds,8.0,Travel,0.20689655172413793,0.42857142857142855,7,0.13636363636363635,22
E2,folds_0_4,0.0,Casual,0.9312954734117878,0.9156904167466872,10414,0.9474416294088426,10065
E2,folds_0_4,1.0,Ethnic,0.8511137162954279,0.8715486194477791,833,0.8316151202749141,873
E2,folds_0_4,2.0,Formal,0.7669576897246475,0.8042253521126761,710,0.7329910141206675,779
E2,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E2,folds_0_4,4.0,NA,0.2580645161290322,0.4444444444444444,9,0.18181818181818182,22
E2,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
E2,folds_0_4,6.0,Smart Casual,0.0,0.0,2,0.0,18
E2,folds_0_4,7.0,Sports,0.6766249495357286,0.7357330992098332,1139,0.6263079222720478,1338
E2,folds_0_4,8.0,Travel,0.18181818181818182,0.3333333333333333,3,0.125,8
E3,all_available_folds,0.0,Casual,0.9320350535540408,0.9133936409786633,26199,0.9514532225358833,25151
E3,all_available_folds,1.0,Ethnic,0.8531006838009904,0.8790087463556852,2058,0.8286761337608796,2183
E3,all_available_folds,2.0,Formal,0.7777777777777778,0.806949806949807,1813,0.7506413545407902,1949
E3,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E3,all_available_folds,4.0,NA,0.26506024096385544,0.5,22,0.18032786885245902,61
E3,all_available_folds,5.0,Party,0.0,0.0,1,0.0,12
E3,all_available_folds,6.0,Smart Casual,0.03571428571428571,0.1111111111111111,9,0.02127659574468085,47
E3,all_available_folds,7.0,Sports,0.6672212978369384,0.7526276276276276,2664,0.5992229527794382,3346
E3,all_available_folds,8.0,Travel,0.21428571428571427,0.5,6,0.13636363636363635,22
E3,folds_0_4,0.0,Casual,0.9309200897648552,0.9145020607687147,10433,0.9479384003974168,10065
E3,folds_0_4,1.0,Ethnic,0.8413068844807468,0.8573127229488704,841,0.8258877434135166,873
E3,folds_0_4,2.0,Formal,0.7681063122923589,0.7961432506887053,726,0.7419768934531451,779
E3,folds_0_4,3.0,Home,0.0,0.0,0,0.0,1
E3,folds_0_4,4.0,NA,0.3636363636363636,0.5454545454545454,11,0.2727272727272727,22
E3,folds_0_4,5.0,Party,0.0,0.0,0,0.0,6
E3,folds_0_4,6.0,Smart Casual,0.09523809523809525,0.3333333333333333,3,0.05555555555555555,18
E3,folds_0_4,7.0,Sports,0.6724208795725442,0.7470319634703196,1095,0.6113602391629297,1338
E3,folds_0_4,8.0,Travel,0.2222222222222222,1.0,1,0.125,8
E4,all_available_folds,0.0,Casual,0.9251080824334542,0.9027241770715096,26430,0.948630273150173,25151
E4,all_available_folds,1.0,Ethnic,0.8180943214629451,0.8616320324379118,1973,0.7787448465414567,2183
E4,all_available_folds,2.0,Formal,0.7524098044615809,0.812128418549346,1682,0.7008722421754746,1949
E4,all_available_folds,3.0,Home,0.0,0.0,0,0.0,1
E4,all_available_folds,4.0,NA,0.1686746987951807,0.3181818181818182,22,0.11475409836065574,61
E4,all_available_folds,5.0,Party,0.0,0.0,0,0.0,12
E4,all_available_folds,6.0,Smart Casual,0.03846153846153846,0.2,5,0.02127659574468085,47
E4,all_available_folds,7.0,Sports,0.6337887370876374,0.7161144578313253,2656,0.5684399282725643,3346
E4,all_available_folds,8.0,Travel,0.15384615384615385,0.5,4,0.09090909090909091,22
E4,folds_0_4,0.0,Casual,0.925811138014528,0.9030703826169107,10585,0.9497267759562842,10065
