model,scope,class_name,support,prevalence,average_precision,roc_auc,true_top1,true_top2,true_top3,true_probability_median,largest_probability
E2,all_available_folds,Casual,25151,0.767453924081533,0.9692665523785883,0.9222434378521425,0.9487097928511788,0.9988867241859171,0.999920480298994,0.9862489,0.9999988
E2,all_available_folds,Ethnic,2183,0.06661174173074576,0.9182896535429933,0.9873741510526862,0.8305084745762712,0.9725148877691251,0.9912963811268896,0.98361075,0.99999976
E2,all_available_folds,Formal,1949,0.05947150006102771,0.8363533228498709,0.9732137817230067,0.7408927655207799,0.9297075423293997,0.987172909184197,0.91875744,1.0
E2,all_available_folds,Home,1,3.0513853289393385e-05,0.00011313497001923294,0.7303103353574807,0.0,0.0,0.0,8.577229e-06,0.024216656
E2,all_available_folds,NA,61,0.0018613450506529965,0.13728608240673407,0.879624891812099,0.16393442622950818,0.4426229508196721,0.639344262295082,0.0065096216,0.99933726
E2,all_available_folds,Party,12,0.0003661662394727206,0.02058152839320248,0.7391229141229142,0.0,0.0,0.3333333333333333,0.000168274277,0.55899894
E2,all_available_folds,Smart Casual,47,0.001434151104601489,0.03749205636539945,0.9069999837459162,0.0,0.3404255319148936,0.6382978723404256,0.0028884616,0.83626413
E2,all_available_folds,Sports,3346,0.10209935310631027,0.7374281506795141,0.9396181040964339,0.6231320980274955,0.9701135684399282,0.9937238493723849,0.74620127,0.9999956
E2,all_available_folds,Travel,22,0.0006713047723666544,0.1373043179310185,0.8872977099236641,0.13636363636363635,0.22727272727272727,0.5909090909090909,0.0021062569000000002,0.99183965
E2,folds_0_4,Casual,10065,0.7677345537757437,0.9694291539426025,0.9213151298171084,0.9474416294088426,0.9988077496274218,0.9998012916045703,0.98459125,0.99999833
E2,folds_0_4,Ethnic,873,0.06659038901601831,0.9194379222060722,0.9869601899334273,0.8316151202749141,0.9713631156930126,0.9908361970217641,0.98265046,0.9999995
E2,folds_0_4,Formal,779,0.059420289855072465,0.8366311871779507,0.9776569463042777,0.7329910141206675,0.944801026957638,0.9910141206675225,0.9158376,0.99999416
E2,folds_0_4,Home,1,7.627765064836003e-05,0.00040766408479412964,0.8129529330993974,0.0,0.0,0.0,8.577229e-06,0.024216656
E2,folds_0_4,NA,22,0.0016781083142639206,0.22558768344122926,0.8775352856190264,0.18181818181818182,0.5454545454545454,0.6363636363636364,0.021639053,0.9904356
E2,folds_0_4,Party,6,0.0004576659038901602,0.09479403693662798,0.8400615588115588,0.0,0.0,0.5,0.0040947256500000005,0.24846376
E2,folds_0_4,Smart Casual,18,0.0013729977116704805,0.08557163123165,0.9121006891401024,0.0,0.3888888888888889,0.7222222222222222,0.00965152575,0.7298982
E2,folds_0_4,Sports,1338,0.10205949656750572,0.7266032154768242,0.9393964269805934,0.6263079222720478,0.968609865470852,0.9947683109118086,0.75714943,0.99999535
E2,folds_0_4,Travel,8,0.0006102212051868803,0.15263942429999525,0.7929228362082125,0.125,0.125,0.75,0.00418814285,0.9734334
E3,all_available_folds,Casual,25151,0.767453924081533,0.968442550962018,0.9220769170663725,0.9514532225358833,0.99892648403642,1.0,0.9823966,0.9999999
E3,all_available_folds,Ethnic,2183,0.06661174173074576,0.921609787967312,0.9875086309353418,0.8286761337608796,0.9688502061383417,0.9876316994961063,0.9800125,0.99999917
E3,all_available_folds,Formal,1949,0.05947150006102771,0.841003034972935,0.9740708909026525,0.7506413545407902,0.9348383786557208,0.9856336582863007,0.9180371,0.9999993
E3,all_available_folds,Home,1,3.0513853289393385e-05,0.0001183011948420679,0.7420890421409172,0.0,0.0,0.0,1.1515405e-05,0.037122536
E3,all_available_folds,NA,61,0.0018613450506529965,0.16666254716483733,0.8804808729805134,0.18032786885245902,0.47540983606557374,0.6721311475409836,0.004316155,0.99956423
E3,all_available_folds,Party,12,0.0003661662394727206,0.007244018307999141,0.7896672771672772,0.0,0.0,0.25,0.000291801595,0.45595238
E3,all_available_folds,Smart Casual,47,0.001434151104601489,0.024968912652991327,0.885428213838727,0.02127659574468085,0.2553191489361702,0.574468085106383,0.0037274153,0.940206
E3,all_available_folds,Sports,3346,0.10209935310631027,0.7380248717229119,0.9386137103664539,0.5992229527794382,0.9692169754931261,0.9931261207411834,0.67636045,0.9999852
E3,all_available_folds,Travel,22,0.0006713047723666544,0.16725588674043035,0.8620499653018738,0.13636363636363635,0.3181818181818182,0.5909090909090909,0.0071485557,0.9748039
E3,folds_0_4,Casual,10065,0.7677345537757437,0.969446834949737,0.9222344579608571,0.9479384003974168,0.998609041231992,1.0,0.9808156,0.9999989
E3,folds_0_4,Ethnic,873,0.06659038901601831,0.9217044933017454,0.9875570315591244,0.8258877434135166,0.9725085910652921,0.9896907216494846,0.9822903,0.99999666
E3,folds_0_4,Formal,779,0.059420289855072465,0.8429552826211201,0.9783247685863061,0.7419768934531451,0.9435173299101413,0.9897304236200257,0.9267769,0.9999957
E3,folds_0_4,Home,1,7.627765064836003e-05,0.0004488330341113106,0.8301167137081394,0.0,0.0,0.0,1.1515405e-05,0.035467945
E3,folds_0_4,NA,22,0.0016781083142639206,0.269012472082617,0.8741734274283174,0.2727272727272727,0.5909090909090909,0.6363636363636364,0.01346027,0.9895941
E3,folds_0_4,Party,6,0.0004576659038901602,0.03643336349088688,0.840481277981278,0.0,0.0,0.5,0.0053120707,0.21317925
E3,folds_0_4,Smart Casual,18,0.0013729977116704805,0.08754441864887863,0.8827782869946024,0.05555555555555555,0.2777777777777778,0.6111111111111112,0.004125957899999999,0.5838261
E3,folds_0_4,Sports,1338,0.10205949656750572,0.7361848584740709,0.9388683313804335,0.6113602391629297,0.9648729446935725,0.9910313901345291,0.6907251000000001,0.9999101
E3,folds_0_4,Travel,8,0.0006102212051868803,0.1544608862150984,0.7464795451076172,0.125,0.25,0.625,0.005985461399999999,0.9741589
E4,all_available_folds,Casual,25151,0.767453924081533,0.9588733865782504,0.903922815054178,0.948630273150173,0.9980517673253548,0.999960240149497,0.99963045,1.0
E4,all_available_folds,Ethnic,2183,0.06661174173074576,0.8898568931733715,0.9799335423781678,0.7787448465414567,0.9638112688960147,0.9821346770499313,0.9972572,1.0
E4,all_available_folds,Formal,1949,0.05947150006102771,0.8121826854791311,0.9645994848988565,0.7008722421754746,0.9271421241662391,0.978450487429451,0.97829515,1.0
E4,all_available_folds,Home,1,3.0513853289393385e-05,4.228687415426252e-05,0.2784168929846511,0.0,0.0,0.0,2.9646841e-07,0.02228093
E4,all_available_folds,NA,61,0.0018613450506529965,0.11475114785483675,0.8168450879560742,0.11475409836065574,0.4098360655737705,0.7377049180327869,0.00048720697,0.9998597
E4,all_available_folds,Party,12,0.0003661662394727206,0.002039645817789447,0.7185210622710623,0.0,0.0,0.3333333333333333,9.56914275e-05,0.30886436
E4,all_available_folds,Smart Casual,47,0.001434151104601489,0.022978663186206432,0.7643177348308763,0.02127659574468085,0.19148936170212766,0.5957446808510638,8.8129476e-05,0.7938039
E4,all_available_folds,Sports,3346,0.10209935310631027,0.6871707698713626,0.9148559270056866,0.5684399282725643,0.9318589360430365,0.9689181111775254,0.778403435,1.0
E4,all_available_folds,Travel,22,0.0006713047723666544,0.10372176636825055,0.838499653018737,0.09090909090909091,0.3181818181818182,0.5909090909090909,0.000437791505,0.99973506
E4,folds_0_4,Casual,10065,0.7677345537757437,0.9606976791498146,0.905240338456845,0.9497267759562842,0.9979135618479881,1.0,0.99969745,1.0
E4,folds_0_4,Ethnic,873,0.06659038901601831,0.8790397224276484,0.979735186163384,0.7812142038946163,0.9679266895761741,0.9862542955326461,0.9968135,1.0
E4,folds_0_4,Formal,779,0.059420289855072465,0.8107367950535449,0.9656278690202189,0.7188703465982028,0.9255455712451861,0.9807445442875481,0.9788027,1.0
