members,class_name,support,none_correct,at_least_one_correct
E2+E3,Casual,25151,797,24354
E2+E3,Ethnic,2183,295,1888
E2+E3,Formal,1949,402,1547
E2+E3,Home,1,1,0
E2+E3,NA,61,47,14
E2+E3,Party,12,12,0
E2+E3,Smart Casual,47,46,1
E2+E3,Sports,3346,1059,2287
E2+E3,Travel,22,19,3
E2+E8,Casual,25151,770,24381
E2+E8,Ethnic,2183,301,1882
E2+E8,Formal,1949,394,1555
E2+E8,Home,1,1,0
E2+E8,NA,61,47,14
E2+E8,Party,12,11,1
E2+E8,Smart Casual,47,41,6
E2+E8,Sports,3346,1080,2266
E2+E8,Travel,22,17,5
E3+E8,Casual,25151,781,24370
E3+E8,Ethnic,2183,297,1886
E3+E8,Formal,1949,385,1564
E3+E8,Home,1,1,0
E3+E8,NA,61,46,15
E3+E8,Party,12,11,1
E3+E8,Smart Casual,47,40,7
E3+E8,Sports,3346,1138,2208
E3+E8,Travel,22,17,5
E2+E3+E8,Casual,25151,634,24517
E2+E3+E8,Ethnic,2183,267,1916
E2+E3+E8,Formal,1949,350,1599
E2+E3+E8,Home,1,1,0
E2+E3+E8,NA,61,45,16
E2+E3+E8,Party,12,11,1
E2+E3+E8,Smart Casual,47,40,7
E2+E3+E8,Sports,3346,982,2364
E2+E3+E8,Travel,22,17,5
E2+U2,Casual,10065,121,9944
E2+U2,Ethnic,873,119,754
E2+U2,Formal,779,173,606
E2+U2,Home,1,1,0
E2+U2,NA,22,18,4
E2+U2,Party,6,6,0
E2+U2,Smart Casual,18,18,0
E2+U2,Sports,1338,428,910
E2+U2,Travel,8,7,1
E2+E9,Casual,25151,950,24201
E2+E9,Ethnic,2183,259,1924
E2+E9,Formal,1949,310,1639
E2+E9,Home,1,1,0
E2+E9,NA,61,45,16
E2+E9,Party,12,11,1
E2+E9,Smart Casual,47,41,6
E2+E9,Sports,3346,769,2577
E2+E9,Travel,22,18,4
