model,class_index,class_name,support,predicted_count,precision,recall,f1
E2+E3,0,Casual,25151,26232,0.9162473315035071,0.9556280068386943,0.9355234221435105
E2+E3,1,Ethnic,2183,2037,0.8900343642611683,0.8305084745762712,0.8592417061611375
E2+E3,2,Formal,1949,1774,0.8258173618940248,0.7516675218060543,0.7869997313994092
E2+E3,3,Home,1,0,0.0,0.0,0.0
E2+E3,4,NA,61,22,0.45454545454545453,0.16393442622950818,0.24096385542168675
E2+E3,5,Party,12,1,0.0,0.0,0.0
E2+E3,6,Smart Casual,47,6,0.16666666666666666,0.02127659574468085,0.03773584905660377
E2+E3,7,Sports,3346,2694,0.7724573125463994,0.6219366407650927,0.6890728476821193
E2+E3,8,Travel,22,6,0.5,0.13636363636363635,0.21428571428571427
E2+E8,0,Casual,25151,26260,0.9154607768469155,0.9558268060912091,0.9352084184318531
E2+E8,1,Ethnic,2183,2043,0.890357317670093,0.8332569857993587,0.860861334595362
E2+E8,2,Formal,1949,1757,0.8286852589641435,0.7470497691123653,0.7857528332433892
E2+E8,3,Home,1,0,0.0,0.0,0.0
E2+E8,4,NA,61,37,0.2972972972972973,0.18032786885245902,0.22448979591836732
E2+E8,5,Party,12,4,0.0,0.0,0.0
E2+E8,6,Smart Casual,47,11,0.09090909090909091,0.02127659574468085,0.034482758620689655
E2+E8,7,Sports,3346,2650,0.7735849056603774,0.6126718469814704,0.6837891927951968
E2+E8,8,Travel,22,10,0.3,0.13636363636363635,0.18749999999999997
E3+E8,0,Casual,25151,26309,0.9144779353073093,0.9565822432507654,0.9350563544500583
E3+E8,1,Ethnic,2183,2035,0.8943488943488943,0.8337150710032066,0.862968231389284
E3+E8,2,Formal,1949,1792,0.8208705357142857,0.7547460236018471,0.7864207431168138
E3+E8,3,Home,1,0,0.0,0.0,0.0
E3+E8,4,NA,61,32,0.375,0.19672131147540983,0.25806451612903225
E3+E8,5,Party,12,6,0.0,0.0,0.0
E3+E8,6,Smart Casual,47,15,0.13333333333333333,0.0425531914893617,0.06451612903225806
E3+E8,7,Sports,3346,2573,0.7780800621842208,0.5983263598326359,0.6764656191924311
E3+E8,8,Travel,22,10,0.3,0.13636363636363635,0.18749999999999997
E2+E3+E8,0,Casual,25151,26314,0.9159762863874743,0.9583316766728958,0.9366754104731371
E2+E3+E8,1,Ethnic,2183,2035,0.8953316953316953,0.8346312414109024,0.8639165481270744
E2+E3+E8,2,Formal,1949,1761,0.835320840431573,0.7547460236018471,0.7929919137466306
E2+E3+E8,3,Home,1,0,0.0,0.0,0.0
E2+E3+E8,4,NA,61,29,0.4482758620689655,0.21311475409836064,0.28888888888888886
E2+E3+E8,5,Party,12,3,0.0,0.0,0.0
E2+E3+E8,6,Smart Casual,47,7,0.14285714285714285,0.02127659574468085,0.037037037037037035
E2+E3+E8,7,Sports,3346,2615,0.7850860420650095,0.6135684399282726,0.6888106022479449
E2+E3+E8,8,Travel,22,8,0.375,0.13636363636363635,0.19999999999999998
E2+U2,0,Casual,10065,10771,0.9060440070559836,0.9695976154992548,0.9367440967556153
E2+U2,1,Ethnic,873,771,0.9182879377431906,0.8109965635738832,0.8613138686131386
E2+U2,2,Formal,779,635,0.8677165354330708,0.7073170731707317,0.7793493635077794
E2+U2,3,Home,1,0,0.0,0.0,0.0
E2+U2,4,NA,22,6,0.6666666666666666,0.18181818181818182,0.28571428571428575
E2+U2,5,Party,6,0,0.0,0.0,0.0
E2+U2,6,Smart Casual,18,0,0.0,0.0,0.0
E2+U2,7,Sports,1338,925,0.8172972972972973,0.5650224215246636,0.6681396376491383
E2+U2,8,Travel,8,2,0.5,0.125,0.2
E2+E9,0,Casual,25151,25484,0.9223434311725004,0.9345552860721243,0.9284092031203713
E2+E9,1,Ethnic,2183,2047,0.8851978505129457,0.8300503893724233,0.8567375886524822
E2+E9,2,Formal,1949,1960,0.7729591836734694,0.7773217034376604,0.775134305448964
E2+E9,3,Home,1,0,0.0,0.0,0.0
E2+E9,4,NA,61,42,0.2857142857142857,0.19672131147540983,0.23300970873786406
E2+E9,5,Party,12,1,0.0,0.0,0.0
E2+E9,6,Smart Casual,47,19,0.15789473684210525,0.06382978723404255,0.0909090909090909
E2+E9,7,Sports,3346,3211,0.6926191217689194,0.6646742378959952,0.6783590056428245
E2+E9,8,Travel,22,8,0.375,0.13636363636363635,0.19999999999999998
