model,scope,support,macro_f1,accuracy,nll,brier,ece_15,common_four_f1,rare_four_f1,folds,metrics_path
E2,all_available_folds,32772,0.40817051981620495,0.8914927377029171,0.34283885834640143,0.17015339027258652,0.03308961605120221,0.8091882672876106,0.10919540229885058,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e2_class_balanced_ce/usage/aggregate/metrics.json
E2,folds_0_4,13110,0.40731939187942284,0.8906178489702518,0.342402888584022,0.17226258079870335,0.032938297617849034,0.806497957241898,0.1099706744868035,"0,4",
E3,all_available_folds,32772,0.4161327837704003,0.8916758208226535,0.3334127390742156,0.16773777610648447,0.026137080045160393,0.8075337032424368,0.12876506024096385,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e3_classifier_dropout/usage/aggregate/metrics.json
E3,folds_0_4,13110,0.4326500941341318,0.8898550724637682,0.3311060687717674,0.168982996128506,0.02709731871700987,0.8031885415276263,0.17027417027417024,"0,4",
E4,all_available_folds,32772,0.38782037072761005,0.879927987306237,0.5770346853456492,0.20493292791240164,0.08542971944403753,0.7823502363614043,0.09024559777571825,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e4_tinyresnet18_pm/usage/aggregate/metrics.json
E4,folds_0_4,13110,0.3857061065263991,0.8810831426392067,0.5824026524508259,0.20461324690810656,0.0859111197696415,0.7839226557683141,0.08391608391608392,"0,4",
E5,all_available_folds,32772,0.40486376531445173,0.8926522641279141,0.35234313592347,0.16869381485949117,0.0305083886128402,0.8092193340264819,0.10172413793103449,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e5_label_smoothing/usage/aggregate/metrics.json
E5,folds_0_4,13110,0.4137750703787409,0.8909229595728452,0.35642647660988613,0.17082011663015115,0.02998884242334101,0.804894201607299,0.12609970674486803,"0,4",
E6,all_available_folds,32772,0.4093852071360374,0.8881667276943732,0.3286466510871961,0.1719322537162038,0.03184016933784939,0.8015251964645645,0.11959151959151956,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e6_focal_gamma1/usage/aggregate/metrics.json
E6,folds_0_4,13110,0.40593405023981644,0.8861174675819985,0.32962224778963667,0.1741523458953741,0.03201696430511055,0.7971899968779708,0.11616161616161616,"0,4",
E7,all_available_folds,32772,0.34509413831503766,0.852160380812889,0.44734375242374075,0.22707547312984433,0.012236846269376284,0.7274627853034322,0.04899902590540255,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e7_tinyconvnext18/usage/aggregate/metrics.json
E7,folds_0_4,13110,0.3504056361758391,0.853394355453852,0.44863303243672964,0.227137160476542,0.01894421227459953,0.7282274962104528,0.06018518518518518,"0,4",
E8,all_available_folds,32772,0.41939320264210234,0.8885328939338459,0.32921340166718377,0.17155784280610994,0.007938304734834615,0.8052679384584179,0.13836676748631233,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e8_translation/usage/aggregate/metrics.json
E8,folds_0_4,13110,0.42427162439534893,0.8893211289092295,0.3254026025737282,0.17069158045309776,0.009886460675819964,0.8071905199689001,0.14742063492063492,"0,4",
E9,all_available_folds,32772,0.39552329312395035,0.8369644818747711,0.44154827286290516,0.24099022106320495,0.012741488310447961,0.7504132614088882,0.1395141481200001,"0,1,2,3,4",results/evidence/task3/experiments/t3_usage_e9_exception_balance/usage/aggregate/metrics.json
E9,folds_0_4,13110,0.401884075233541,0.8324942791762013,0.4459978960264118,0.24446511867317075,0.014606520466819137,0.7476500219886455,0.15658914728682172,"0,4",
U1,all_available_folds,13110,0.4137951063370886,0.8899313501144165,0.3474264861715705,0.17329792996612003,0.03583694029672006,0.8083117165311767,0.12272727272727273,"0,4",results/evidence/task3/experiments/t3_usage_v2_u1_component_weight/usage/aggregate/metrics.json
U1,folds_0_4,13110,0.4137951063370886,0.8899313501144165,0.34742648617157046,0.17329792996612003,0.035836940296720084,0.8083117165311767,0.12272727272727273,"0,4",
U2,all_available_folds,13110,0.36293188251462905,0.865675057208238,0.3997488067999392,0.20736386299327048,0.03210095854484196,0.7210411801023598,0.09555555555555556,"0,4",results/task3/experiments/t3_usage_v2_u2_full_rgb_hog_svm/usage/aggregate_folds_0_4/metrics.json
U2,folds_0_4,13110,0.36293188251462905,0.865675057208238,0.3997488067999392,0.20736386299327048,0.03210095854484196,0.7210411801023598,0.09555555555555556,"0,4",
S1,all_available_folds,13110,0.3193236363096896,0.8585812356979405,0.4775917813570733,0.23098372667339853,0.04342808075400577,0.6976448483634683,0.020833333333333336,"0,4",results/task3/experiments/task3_clean_slate_screen_1/usage/aggregate_folds_0_4/metrics.json
S1,folds_0_4,13110,0.3193236363096896,0.8585812356979405,0.4775917813570733,0.23098372667339853,0.04342808075400577,0.6976448483634683,0.020833333333333336,"0,4",
S2,all_available_folds,13110,0.39729804145581515,0.8755911517925248,0.7296267208387435,0.22236309470268925,0.1019466220205949,0.7802301170851078,0.11369047619047619,"0,4",reports/task3_failure_review/evidence/gpu_screen_2/usage/aggregate_folds_0_4/metrics.json
E1,all_available_folds,32772,0.37375599510324,0.8929879165140974,0.4641408495910498,0.17827846161124258,,0.8115392242764076,0.029411764705882353,"0,1,2,3,4",results/runs.csv (summed fold confusion matrices; pooled ECE unavailable)
