usage,articleType,errors
Sports,Tshirts,183
Sports,Sports Shoes,102
Casual,Casual Shoes,66
Formal,Shirts,42
Sports,Track Pants,33
Casual,Shirts,31
Ethnic,Earrings,27
Formal,Formal Shoes,25
Formal,Socks,25
Sports,Jackets,24
Sports,Watches,23
Sports,Backpacks,21
Casual,Tshirts,21
Ethnic,Kurtas,19
Ethnic,Kurtis,19
Formal,Belts,18
Sports,Caps,18
Sports,Socks,17
Formal,Trousers,17
Ethnic,Tops,17
Formal,Wallets,16
Smart Casual,Watches,15
Formal,Watches,14
Casual,Trousers,13
Sports,Shorts,12
Formal,Heels,11
Casual,Dresses,10
Formal,Cufflinks,10
NA,Shoe Accessories,10
Sports,Sweatshirts,9
Ethnic,Flats,9
NA,Perfume and Body Mist,9
Smart Casual,Shirts,8
Casual,Track Pants,8
Ethnic,Churidar,8
Casual,Shorts,8
Casual,Ties,7
Ethnic,Bangle,7
NA,Wallets,7
Ethnic,Shirts,7
Formal,Sandals,7
Casual,Tunics,7
Formal,Skirts,7
Casual,Sports Shoes,6
Formal,Ties,6
Ethnic,Tunics,6
Sports,Tracksuits,6
Sports,Swimwear,6
Travel,Backpacks,6
Sports,Bra,6
Sports,Capris,6
Sports,Basketballs,6
Party,Dresses,5
Sports,Sunglasses,5
Sports,Flip Flops,5
Sports,Sandals,5
Smart Casual,Formal Shoes,5
Sports,Handbags,5
Sports,Casual Shoes,5
Ethnic,Leggings,5
Sports,Lounge Pants,4
NA,Highlighter and Blush,4
Sports,Headband,4
Ethnic,Necklace and Chains,4
Sports,Tops,4
Ethnic,Heels,4
Formal,Blazers,4
Casual,Formal Shoes,4
Travel,Rucksacks,4
Travel,Handbags,3
Smart Casual,Wallets,3
Sports,Wristbands,3
Sports,Duffel Bag,3
Sports,Skirts,3
Casual,Caps,3
Travel,Duffel Bag,3
Ethnic,Pendant,3
Ethnic,Clutches,3
Sports,Water Bottle,3
Ethnic,Dupatta,3
Sports,Sweaters,3
Casual,Capris,2
Casual,Kurtas,2
Formal,Suspenders,2
Ethnic,Stoles,2
Ethnic,Salwar,2
Ethnic,Skirts,2
NA,Briefs,2
NA,Shirts,2
Sports,Footballs,2
Sports,Sports Sandals,2
NA,Baby Dolls,2
Smart Casual,Trousers,2
Casual,Tops,2
Casual,Nail Polish,2
Casual,Eyeshadow,1
Casual,Jackets,1
Casual,Heels,1
Casual,Flats,1
Casual,Jumpsuit,1
Casual,Night suits,1
Casual,Lip Liner,1
Casual,Sweaters,1
Casual,Necklace and Chains,1
Casual,Robe,1
Casual,Nightdress,1
Ethnic,Jewellery Set,1
Home,Cushion Covers,1
Formal,Tshirts,1
Formal,Tops,1
Formal,Dresses,1
Formal,Laptop Bag,1
Ethnic,Lehenga Choli,1
Ethnic,Trousers,1
Ethnic,Ties,1
Ethnic,Perfume and Body Mist,1
Casual,Stoles,1
Casual,Socks,1
Casual,Leggings,1
Ethnic,Capris,1
Ethnic,Handbags,1
Ethnic,Kurta Sets,1
Party,Clutches,1
Smart Casual,Heels,1
Smart Casual,Casual Shoes,1
Smart Casual,Sandals,1
Party,Watches,1
Smart Casual,Ties,1
Party,Heels,1
Party,Perfume and Body Mist,1
Party,Tops,1
NA,Sandals,1
NA,Rain Trousers,1
NA,Nightdress,1
NA,Nail Polish,1
Sports,Lounge Shorts,1
Sports,Leggings,1
Sports,Free Gifts,1
Travel,Mobile Pouch,1
