outer_fold,inner_calibration_fold,scope,rows,raw_macro_f1_nine
0,1,inner_base_training,19662,0.8386865106610882
0,1,inner_base_heldout,6556,0.3706028100170878
0,1,outer_validation,6553,0.3767150203633802
0,2,inner_base_training,19665,0.8311076347342242
0,2,inner_base_heldout,6553,0.38306178478881747
0,2,outer_validation,6553,0.3443618907480233
0,3,inner_base_training,19665,0.8399150592838457
0,3,inner_base_heldout,6553,0.34191630822067137
0,3,outer_validation,6553,0.3684293046894472
0,4,inner_base_training,19662,0.8348787776142267
0,4,inner_base_heldout,6556,0.3983309753666085
0,4,outer_validation,6553,0.369858740817744
4,0,inner_base_training,19662,0.8348787776142267
4,0,inner_base_heldout,6553,0.369858740817744
4,0,outer_validation,6557,0.3983209941577535
4,1,inner_base_training,19659,0.8338772210647473
4,1,inner_base_heldout,6556,0.33700998848065356
4,1,outer_validation,6557,0.36918346302133387
4,2,inner_base_training,19662,0.8381324401521906
4,2,inner_base_heldout,6553,0.39186533817348873
4,2,outer_validation,6557,0.3833777355643781
4,3,inner_base_training,19662,0.8234612709919366
4,3,inner_base_heldout,6553,0.3448487679268031
4,3,outer_validation,6557,0.41706792044057167
