outer_fold,inner_calibration_fold,class_name,calibration_positive_rows,calibration_positive_families,slope_a,intercept_b,reversed_slope,outer_margin_ap,outer_calibrated_ap,outer_true_margin_median,outer_true_probability_median,fit_class_weight
0,1,Casual,5031,3536,-1.7452273837282928,-0.5654220569786242,False,0.9431590621362529,0.9542437924017553,0.9951872856694586,0.9305025798517508,0.027576111436039188
0,1,Ethnic,436,280,-1.8788801566449018,0.8612718674552846,False,0.7966645412125486,0.8099291906080628,0.95253433303339,0.6053663152076147,0.03777099227013593
0,1,Formal,387,209,-1.6150850995963126,0.9695257885637047,False,0.7156939952589564,0.7431978773727874,0.7309298531860358,0.5290655389871757,0.03981561378817076
0,1,NA,14,8,-3.8325993141524592,1.4281885215725,False,0.14279045330720533,0.10115340738929876,-0.8015800521735003,0.012911840982847712,0.7794906358807634
0,1,Party,2,2,-0.6057083469096358,7.126358717929218,False,0.021635166871019098,0.002588939273422159,-1.033065584084566,0.0004395017310237637,3.9512774859144293
0,1,Smart Casual,10,9,-0.6934370502462889,5.32230604677551,False,0.0026629409992206315,0.003637190658594971,-1.5476792936351145,0.0016728627924806083,0.9982207624472876
0,1,Sports,671,596,-1.8390545640190152,0.726750390094801,False,0.6265652432206064,0.6357404422432015,0.19728743238934732,0.4222914282439251,0.031852505140144524
0,1,Travel,5,5,-4.438188133992709,1.8759866358455262,False,0.2536285451721657,0.2533086321337932,-0.9922225655379848,0.002104079806667807,2.1339958931230285
0,2,Casual,5031,3530,-1.6934021195159439,-0.5789297717053165,False,0.9417606501392427,0.953051380883776,0.9960599295055081,0.9217032857156366,0.02830508103154216
0,2,Ethnic,436,264,-1.8063542019566268,0.7600400913880053,False,0.8030517176486356,0.8130077011221694,1.0114059501559245,0.6128212951002888,0.03876946172514846
0,2,Formal,390,204,-1.6324214552092808,0.865919792514022,False,0.6748874277586692,0.7007164272214952,0.5711519817903592,0.499244517884862,0.040922731634972245
0,2,NA,13,11,-3.076908416018609,2.1564842387583174,False,0.2572079088962003,0.23021616095025502,-0.7132345869882092,0.01674189667975985,0.7788592637224545
0,2,Party,2,2,-4.756847669624379,2.2560139540872384,False,0.0012832447375531674,0.001666502136841512,-1.2117613982589939,0.0003221877890554247,4.0557288026748735
0,2,Smart Casual,9,7,-1.397196507474091,4.452203508029113,False,0.011518940262843558,0.008973067682526328,-1.219457595610062,0.0023242729238488117,0.9897698780978087
0,2,Sports,668,603,-1.7072670604084905,0.7440592214928781,False,0.6198158601353899,0.6272418948810201,0.19423172588693383,0.4018166559351695,0.03267933226571722
0,2,Travel,4,4,-5.602538600082147,0.9728954410793714,False,0.041790440130929606,0.033097001444205396,-0.7945052876414834,0.006535431608995843,2.0349654488474838
0,3,Casual,5024,3543,-1.694946079781596,-0.577282155974359,False,0.9425292245470414,0.9531952483230455,1.0126997100768187,0.9246916454958907,0.027715264088375796
0,3,Ethnic,438,279,-1.842359999463758,0.7337968910756558,False,0.8158793512502751,0.8199327072993551,1.025626910466948,0.6154470608110485,0.037989721492874516
0,3,Formal,393,209,-1.7171295992753628,0.7839677946350603,False,0.6861944379120406,0.7128669872253135,0.7368734029085555,0.5263460527882593,0.04012375594622324
0,3,NA,12,9,-2.366114516042533,3.029878196026366,False,0.2210087057435409,0.17635600689337116,-0.4452028921023897,0.01908496104188094,0.742929552322549
0,3,Party,2,2,-3.260364174026128,4.003252038855899,False,0.003330715767086993,0.0034230825128401987,-1.118713870460476,0.0004756598082537156,3.971216154827695
0,3,Smart Casual,10,8,-1.944468968395276,3.6022610601816276,False,0.008839139420970588,0.007978603095135223,-1.0288654618932578,0.003915610621626351,1.003257916470445
0,3,Sports,669,596,-1.6392602780925203,0.7589937910681372,False,0.6082803585242381,0.6235441743925034,0.17912486832702545,0.40002765014653235,0.032003316143177384
0,3,Travel,5,5,-2.2255079384817873,4.332628020494923,False,0.25128913184528573,0.2514615441114013,-1.110451811455999,0.001205215820378658,2.14476431870866
0,4,Casual,5028,3531,-1.6761032714608692,-0.5971605080266247,False,0.9440829891358293,0.9531132257512062,1.0059483793969521,0.9254906968684647,0.026225131951746757
0,4,Ethnic,435,243,-1.9628490358406832,0.9096585748465699,False,0.8002900849239185,0.8151581723908218,1.0686957361091833,0.6184709265166746,0.03590728114540629
0,4,Formal,396,197,-1.6506437149935849,0.8605423301852165,False,0.7230730283955723,0.7303153971957786,0.6400890892505848,0.5024465194682506,0.03801763716298664
