cohort,class_name,support,correct,predicted,recall,precision,f1
new_added,Casual,0,0,33,0.0,0.0,0.0
new_added,Ethnic,0,0,1,0.0,0.0,0.0
new_added,Formal,0,0,1,0.0,0.0,0.0
new_added,Home,120,116,116,0.9666666666666667,1.0,0.983050847457627
new_added,NA,0,0,0,0.0,0.0,0.0
new_added,Party,127,125,127,0.984251968503937,0.984251968503937,0.984251968503937
new_added,Smart Casual,156,147,147,0.9423076923076923,1.0,0.9702970297029703
new_added,Sports,0,0,3,0.0,0.0,0.0
new_added,Travel,164,137,139,0.8353658536585366,0.9856115107913669,0.9042904290429042
previous_added,Casual,0,0,44,0.0,0.0,0.0
previous_added,Ethnic,0,0,1,0.0,0.0,0.0
previous_added,Formal,0,0,1,0.0,0.0,0.0
previous_added,Home,16,13,13,0.8125,1.0,0.896551724137931
previous_added,NA,0,0,0,0.0,0.0,0.0
previous_added,Party,97,50,54,0.5154639175257731,0.9259259259259259,0.662251655629139
previous_added,Smart Casual,6,0,1,0.0,0.0,0.0
previous_added,Sports,0,0,4,0.0,0.0,0.0
previous_added,Travel,1,0,2,0.0,0.0,0.0
teacher,Casual,25151,23842,25907,0.9479543556916226,0.9202918130235072,0.9339182890046613
teacher,Ethnic,2183,1861,2133,0.8524965643609711,0.8724800750117205,0.8623725671918443
teacher,Formal,1949,1500,1805,0.7696254489481785,0.8310249307479224,0.7991475759190197
teacher,Home,1,0,3,0.0,0.0,0.0
teacher,NA,61,15,66,0.2459016393442623,0.22727272727272727,0.23622047244094488
teacher,Party,12,0,18,0.0,0.0,0.0
teacher,Smart Casual,47,0,32,0.0,0.0,0.0
teacher,Sports,3346,2111,2768,0.6309025702331141,0.7626445086705202,0.6905462872096827
teacher,Travel,22,5,40,0.22727272727272727,0.125,0.16129032258064516
