model,corruption,macro_f1,macro_f1_change
mixup_sam,brightness_085,0.34413283161095354,-0.4067132933967311
mixup_sam,brightness_115,0.6906039825754076,-0.06024214243227715
mixup_sam,grayscale,0.7220712239853928,-0.0287749010222919
mixup_sam,jpeg_75,0.7506613681106571,-0.00018475689702769998
mixup_sam,translation_003,0.7016624585123903,-0.049183666495294404
v2_e8,brightness_085,0.2274941541246698,-0.5213842347797623
v2_e8,brightness_115,0.6568440095370952,-0.09203437936733685
v2_e8,grayscale,0.7230778957222754,-0.025800493182156548
v2_e8,jpeg_75,0.7040048539160104,-0.0448735349884216
v2_e8,translation_003,0.7129331875254508,-0.0359452013789813
