model,scope,class_index,class_name,support,predicted_count,precision,recall,f1,correct,predicted
v3,teacher,0,Casual,10065,10500,0.9082857142857143,0.9475409836065574,0.9274981765134939,9537,10500
v3,teacher,1,Ethnic,873,813,0.8831488314883149,0.8224513172966781,0.8517200474495848,718,813
v3,teacher,2,Formal,779,710,0.8112676056338028,0.7394094993581515,0.7736736064472801,576,710
v3,teacher,3,Home,1,1,0.0,0.0,0.0,0,1
v3,teacher,4,NA,22,63,0.12698412698412698,0.36363636363636365,0.18823529411764706,8,63
v3,teacher,5,Party,6,11,0.0,0.0,0.0,0,11
v3,teacher,6,Smart Casual,18,11,0.0,0.0,0.0,0,11
v3,teacher,7,Sports,1338,960,0.7885416666666667,0.5657698056801196,0.6588337684943429,757,960
v3,teacher,8,Travel,8,41,0.0,0.0,0.0,0,41
v2,teacher,0,Casual,10065,10502,0.9097314797181489,0.9492300049677099,0.9290611173238683,9554,10502
v2,teacher,1,Ethnic,873,809,0.8887515451174289,0.8235967926689576,0.8549346016646849,719,809
v2,teacher,2,Formal,779,693,0.8225108225108225,0.7317073170731707,0.7744565217391305,570,693
v2,teacher,3,Home,1,4,0.0,0.0,0.0,0,4
v2,teacher,4,NA,22,55,0.16363636363636364,0.4090909090909091,0.23376623376623376,9,55
v2,teacher,5,Party,6,5,0.0,0.0,0.0,0,5
v2,teacher,6,Smart Casual,18,3,0.0,0.0,0.0,0,3
v2,teacher,7,Sports,1338,1010,0.7693069306930693,0.5807174887892377,0.661839863713799,777,1010
v2,teacher,8,Travel,8,29,0.034482758620689655,0.125,0.05405405405405405,1,29
v3,same_retained_external,0,Casual,0,23,0.0,0.0,0.0,0,23
v3,same_retained_external,1,Ethnic,0,1,0.0,0.0,0.0,0,1
v3,same_retained_external,2,Formal,0,0,0.0,0.0,0.0,0,0
v3,same_retained_external,3,Home,49,46,1.0,0.9387755102040817,0.968421052631579,46,46
v3,same_retained_external,4,NA,0,0,0.0,0.0,0.0,0,0
v3,same_retained_external,5,Party,67,58,0.9655172413793104,0.835820895522388,0.896,56,58
v3,same_retained_external,6,Smart Casual,25,21,1.0,0.84,0.9130434782608696,21,21
v3,same_retained_external,7,Sports,0,0,0.0,0.0,0.0,0,0
v3,same_retained_external,8,Travel,59,51,0.9607843137254902,0.8305084745762712,0.890909090909091,49,51
v2,same_retained_external,0,Casual,0,21,0.0,0.0,0.0,0,21
v2,same_retained_external,1,Ethnic,0,1,0.0,0.0,0.0,0,1
v2,same_retained_external,2,Formal,0,0,0.0,0.0,0.0,0,0
v2,same_retained_external,3,Home,49,46,1.0,0.9387755102040817,0.968421052631579,46,46
v2,same_retained_external,4,NA,0,0,0.0,0.0,0.0,0,0
v2,same_retained_external,5,Party,67,61,0.9672131147540983,0.8805970149253731,0.9218749999999999,59,61
v2,same_retained_external,6,Smart Casual,25,21,1.0,0.84,0.9130434782608696,21,21
v2,same_retained_external,7,Sports,0,0,0.0,0.0,0.0,0,0
v2,same_retained_external,8,Travel,59,50,0.96,0.8135593220338984,0.8807339449541285,48,50
v3,new_replacements,0,Casual,0,36,0.0,0.0,0.0,0,36
v3,new_replacements,1,Ethnic,0,0,0.0,0.0,0.0,0,0
v3,new_replacements,2,Formal,0,0,0.0,0.0,0.0,0,0
v3,new_replacements,3,Home,6,7,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,7
v3,new_replacements,4,NA,0,0,0.0,0.0,0.0,0,0
v3,new_replacements,5,Party,22,11,1.0,0.5,0.6666666666666666,11,11
v3,new_replacements,6,Smart Casual,41,16,0.625,0.24390243902439024,0.3508771929824561,10,16
v3,new_replacements,7,Sports,0,0,0.0,0.0,0.0,0,0
v3,new_replacements,8,Travel,7,6,0.6666666666666666,0.5714285714285714,0.6153846153846153,4,6
