model,class_index,class_name,support,predicted_count,precision,recall,f1
E2,0,Casual,10065,10414,0.9156904167466872,0.9474416294088426,0.9312954734117878
E2,1,Ethnic,873,833,0.8715486194477791,0.8316151202749141,0.8511137162954279
E2,2,Formal,779,710,0.8042253521126761,0.7329910141206675,0.7669576897246475
E2,3,Home,1,0,0.0,0.0,0.0
E2,4,NA,22,9,0.4444444444444444,0.18181818181818182,0.2580645161290322
E2,5,Party,6,0,0.0,0.0,0.0
E2,6,Smart Casual,18,2,0.0,0.0,0.0
E2,7,Sports,1338,1139,0.7357330992098332,0.6263079222720478,0.6766249495357286
E2,8,Travel,8,3,0.3333333333333333,0.125,0.18181818181818182
U3 Stage A,0,Casual,10065,10412,0.9157702650787553,0.9473422752111277,0.9312887630023929
U3 Stage A,1,Ethnic,873,833,0.8547418967587035,0.8155784650630011,0.8347010550996483
U3 Stage A,2,Formal,779,721,0.8169209431345353,0.7560975609756098,0.7853333333333333
U3 Stage A,3,Home,1,0,0.0,0.0,0.0
U3 Stage A,4,NA,22,4,0.75,0.13636363636363635,0.23076923076923075
U3 Stage A,5,Party,6,0,0.0,0.0,0.0
U3 Stage A,6,Smart Casual,18,0,0.0,0.0,0.0
U3 Stage A,7,Sports,1338,1139,0.7357330992098332,0.6263079222720478,0.6766249495357286
U3 Stage A,8,Travel,8,1,0.0,0.0,0.0
U3 Stage B,0,Casual,10065,10393,0.9149427499278361,0.9447590660705415,0.9296118877700655
U3 Stage B,1,Ethnic,873,826,0.860774818401937,0.8144329896907216,0.836962919364332
U3 Stage B,2,Formal,779,699,0.8226037195994278,0.7381258023106547,0.7780784844384304
U3 Stage B,3,Home,1,0,0.0,0.0,0.0
U3 Stage B,4,NA,22,30,0.23333333333333334,0.3181818181818182,0.2692307692307693
U3 Stage B,5,Party,6,23,0.0,0.0,0.0
U3 Stage B,6,Smart Casual,18,24,0.041666666666666664,0.05555555555555555,0.04761904761904762
U3 Stage B,7,Sports,1338,1102,0.7459165154264973,0.6143497757847534,0.6737704918032786
U3 Stage B,8,Travel,8,13,0.07692307692307693,0.125,0.09523809523809525
