id,path,width,height,aspect_ratio,file_size_bytes,brightness,contrast,edge_strength,near_white_fraction
1790,data/raw/teacher/train/images_train/1790.jpg,60.0,80.0,0.75,18921,0.7449166774749756,0.3198331296443939,0.04550137370824814,0.5479166666666667
1844,data/raw/teacher/train/images_train/1844.jpg,60.0,80.0,0.75,2750,0.7422707080841064,0.3091646432876587,0.05417925491929054,0.5377083333333333
1857,data/raw/teacher/train/images_train/1857.jpg,60.0,80.0,0.75,2014,0.7042167782783508,0.3647644817829132,0.04310163855552673,0.5641666666666667
1895,data/raw/teacher/train/images_train/1895.jpg,60.0,80.0,0.75,5421,0.6471993327140808,0.38852769136428833,0.04739256948232651,0.5227083333333333
1946,data/raw/teacher/train/images_train/1946.jpg,60.0,80.0,0.75,5214,0.7758963108062744,0.2729025185108185,0.0372726209461689,0.5652083333333333
1949,data/raw/teacher/train/images_train/1949.jpg,60.0,80.0,0.75,4933,0.8524882793426514,0.2392435222864151,0.03650666028261185,0.57625
1978,data/raw/teacher/train/images_train/1978.jpg,60.0,80.0,0.75,2177,0.8347481489181519,0.2612612545490265,0.031186459586024284,0.5666666666666667
2008,data/raw/teacher/train/images_train/2008.jpg,60.0,80.0,0.75,3891,0.6315280795097351,0.36329925060272217,0.04295937716960907,0.46541666666666665
2031,data/raw/teacher/train/images_train/2031.jpg,60.0,80.0,0.75,1287,0.6013322472572327,0.3811498284339905,0.039915405213832855,0.45229166666666665
2111,data/raw/teacher/train/images_train/2111.jpg,60.0,80.0,0.75,3084,0.7776206731796265,0.354564905166626,0.033571671694517136,0.6858333333333333
2135,data/raw/teacher/train/images_train/2135.jpg,60.0,80.0,0.75,7214,0.7412110567092896,0.2855897545814514,0.07815012335777283,0.4814583333333333
2187,data/raw/teacher/train/images_train/2187.jpg,60.0,80.0,0.75,1590,0.37710076570510864,0.2604588270187378,0.044695258140563965,0.001875
2222,data/raw/teacher/train/images_train/2222.jpg,60.0,80.0,0.75,1036,0.7229257225990295,0.21961340308189392,0.02491559460759163,0.00020833333333333335
2394,data/raw/teacher/train/images_train/2394.jpg,60.0,80.0,0.75,1052,0.6768905520439148,0.24200698733329773,0.02342507615685463,0.0
2501,data/raw/teacher/train/images_train/2501.jpg,60.0,80.0,0.75,15898,0.925081193447113,0.18446378409862518,0.026285458356142044,0.8089583333333333
2502,data/raw/teacher/train/images_train/2502.jpg,60.0,80.0,0.75,1232,0.7292153835296631,0.19969186186790466,0.0300307534635067,0.0077083333333333335
2505,data/raw/teacher/train/images_train/2505.jpg,60.0,80.0,0.75,1096,0.8601750731468201,0.2969953119754791,0.025505855679512024,0.793125
2656,data/raw/teacher/train/images_train/2656.jpg,60.0,80.0,0.75,1688,0.8958263397216797,0.1938101053237915,0.038503196090459824,0.6975
2677,data/raw/teacher/train/images_train/2677.jpg,60.0,80.0,0.75,6411,0.665801465511322,0.3547987937927246,0.05078572779893875,0.4895833333333333
2699,data/raw/teacher/train/images_train/2699.jpg,60.0,80.0,0.75,4527,0.9312819242477417,0.09286198019981384,0.012120219878852367,0.614375
2807,data/raw/teacher/train/images_train/2807.jpg,60.0,80.0,0.75,1617,0.8494700789451599,0.2876092493534088,0.03136349469423294,0.7704166666666666
3208,data/raw/teacher/train/images_train/3208.jpg,60.0,80.0,0.75,2040,0.7753540277481079,0.29733923077583313,0.03445011377334595,0.56375
3223,data/raw/teacher/train/images_train/3223.jpg,60.0,80.0,0.75,19882,0.8778709173202515,0.24795463681221008,0.03754200041294098,0.745
3235,data/raw/teacher/train/images_train/3235.jpg,60.0,80.0,0.75,18614,0.8862410187721252,0.265180766582489,0.028561677783727646,0.8091666666666667
3254,data/raw/teacher/train/images_train/3254.jpg,60.0,80.0,0.75,1242,0.9671704173088074,0.09456087648868561,0.014298566617071629,0.834375
3267,data/raw/teacher/train/images_train/3267.jpg,60.0,80.0,0.75,26580,0.8169439435005188,0.23228304088115692,0.04713401943445206,0.530625
3288,data/raw/teacher/train/images_train/3288.jpg,60.0,80.0,0.75,26972,0.7511212229728699,0.29799771308898926,0.061518751084804535,0.5175
3324,data/raw/teacher/train/images_train/3324.jpg,60.0,80.0,0.75,21781,0.7571484446525574,0.3304024934768677,0.025063421577215195,0.631875
3349,data/raw/teacher/train/images_train/3349.jpg,60.0,80.0,0.75,25613,0.6665242314338684,0.35033369064331055,0.05520669370889664,0.4775
3475,data/raw/teacher/train/images_train/3475.jpg,60.0,80.0,0.75,4394,0.780853807926178,0.3118940591812134,0.03838648274540901,0.63875
3483,data/raw/teacher/train/images_train/3483.jpg,60.0,80.0,0.75,15303,0.7963019609451294,0.33996522426605225,0.02897566929459572,0.6870833333333334
3500,data/raw/teacher/train/images_train/3500.jpg,60.0,80.0,0.75,17151,0.8497714996337891,0.2594371438026428,0.03666689246892929,0.6975
3502,data/raw/teacher/train/images_train/3502.jpg,60.0,80.0,0.75,22005,0.7491283416748047,0.33720919489860535,0.03536434471607208,0.5904166666666667
3520,data/raw/teacher/train/images_train/3520.jpg,60.0,80.0,0.75,23978,0.6546119451522827,0.3936772346496582,0.05013635754585266,0.5210416666666666
3561,data/raw/teacher/train/images_train/3561.jpg,60.0,80.0,0.75,1540,0.8399357199668884,0.2855238914489746,0.027171604335308075,0.7435416666666667
3581,data/raw/teacher/train/images_train/3581.jpg,60.0,80.0,0.75,1975,0.8064937591552734,0.33207255601882935,0.03049326315522194,0.731875
3599,data/raw/teacher/train/images_train/3599.jpg,60.0,80.0,0.75,15444,0.7839850783348083,0.3295869827270508,0.024252787232398987,0.6841666666666667
3619,data/raw/teacher/train/images_train/3619.jpg,60.0,80.0,0.75,1955,0.8932878375053406,0.2547703683376312,0.028689976781606674,0.8310416666666667
3621,data/raw/teacher/train/images_train/3621.jpg,60.0,80.0,0.75,1918,0.8780699372291565,0.27740949392318726,0.024694141000509262,0.8252083333333333
3653,data/raw/teacher/train/images_train/3653.jpg,60.0,80.0,0.75,20361,0.5520256757736206,0.3517608940601349,0.048934996128082275,0.10208333333333333
3723,data/raw/teacher/train/images_train/3723.jpg,60.0,80.0,0.75,23988,0.7431617975234985,0.1914612203836441,0.0433247908949852,0.039375
3760,data/raw/teacher/train/images_train/3760.jpg,60.0,80.0,0.75,23212,0.7073459029197693,0.353493869304657,0.056164637207984924,0.533125
3767,data/raw/teacher/train/images_train/3767.jpg,60.0,80.0,0.75,23958,0.7716683149337769,0.27093634009361267,0.05719608813524246,0.52
3802,data/raw/teacher/train/images_train/3802.jpg,60.0,80.0,0.75,1921,0.8085792660713196,0.33363983035087585,0.04218319058418274,0.7147916666666667
3899,data/raw/teacher/train/images_train/3899.jpg,60.0,80.0,0.75,2858,0.9629188776016235,0.09341065585613251,0.015258858911693096,0.8152083333333333
3966,data/raw/teacher/train/images_train/3966.jpg,60.0,80.0,0.75,3061,0.78902667760849,0.28684985637664795,0.04847545176744461,0.5708333333333333
4047,data/raw/teacher/train/images_train/4047.jpg,60.0,80.0,0.75,20778,0.9212339520454407,0.20733700692653656,0.03835548460483551,0.8033333333333333
4107,data/raw/teacher/train/images_train/4107.jpg,60.0,80.0,0.75,1710,0.8313736319541931,0.29019609093666077,0.030137501657009125,0.7345833333333334
4153,data/raw/teacher/train/images_train/4153.jpg,60.0,80.0,0.75,1515,0.8555116653442383,0.2905689477920532,0.02390509657561779,0.7639583333333333
4186,data/raw/teacher/train/images_train/4186.jpg,60.0,80.0,0.75,20826,0.9251745343208313,0.1787707805633545,0.02217438444495201,0.8295833333333333
