file,rows,digest_scope,sha256
data/processed/audit/image_audit.csv.gz,n/a,label-free image audit and image-path source,944cd6fd2b854360630566c0291ad3116420ec1695613da253309d9e247b983e
data/processed/audit/issues.csv,n/a,objective missing/corrupt image counts,6741f153ba55125ee78db7b00503a8ba980b76c6c2ae8ef82b10ba6e0b5df602
data/processed/audit/near_duplicate_candidates.csv.gz,n/a,automatic visual evidence,2ac6de8f7628b4abc7f41f180d1ac734913ed6f6c5d829ebb4a6206ee3e8b0fa
data/processed/audit/product_family_summary.json,n/a,product-family policy summary,2fc4881cf1d809bff29d64543c2ba8508536e2f9d91ec2ba05ed5c0f0928725f
data/processed/high_resolution/alignment_summary.json,n/a,compact label-free alignment summary,635315bb4cab59be0b05e06ad39c56495ca83115596b1122ea51385c92a599bc
data/processed/high_resolution/all_alignment_pairs.csv.gz,n/a,label-free all-pair resolution alignment audit,f99a571ac310046b7de3deb436b0d1ba2d7911bce12e704aea791191440be0bb
data/processed/high_resolution/catalogue.json,n/a,high-resolution catalogue summary,7217452f6dfef9d8f8190eb9baf32e65a53da8421deb2d247eaa0502c8254aff
data/processed/high_resolution/image_catalogue.csv.gz,44441,image-only catalogue,034ad5875ed2b3256b6727e6d831b528d949796d9d2e3bbfc7f29565d8eca099
data/processed/label_maps.json,n/a,train-fitted label map,279b2a0083fd2a955bc680c18b703f8d1b803a4a3d1aff9b0ef1b120cb1b5321
data/processed/normalization_original_only.json,n/a,original-only comparison baseline,6be56b9d5b2d6b311ba63436c618279ef85a9352f7317be6585f7a72cfb3ffab
data/processed/paired_normalization.json,n/a,main doubled-policy train statistics,2457c76f4c2591b91db756320937adc47150a6f5a4b3c5c86091323fd97c2ecc
data/processed/prediction_manifest.csv,5829,label-free prediction manifest,8d1fdd27721fc8604203b99308ecda9773b1f7c89b8cf6b2a33c82587b14954b
data/processed/preparation_cache.json,n/a,cheap source inventory and critical-artifact fingerprints,54d34f7173bd7300a103a2bbb6d8d65b85d93a642889b91de14e0c6e25a9ff1d
data/processed/splits.csv,38612,normal loader; protected targets redacted,9f1201a5460796b6b955c0a8b44c59746fe2567557081f65e6ac63c4d8c9929a
data/processed/taxonomy.json,n/a,train-fitted deployment and metric taxonomy,1f466110b163cdf68b450f018a97c30a893623ae143bbf3bd837c92dfea2b4e6
data/processed/training_image_variants.csv.gz,77102,target-free product/variant manifest,9bdf5f5cc1de88002b4a6dc59d59047108a262262f6ceaeac0eeb39e848b08d5
data/processed/training_image_variants_summary.json,n/a,target-free paired-variant proof,c0ca91da280a7a973245572fd93d4bdb5c60c14e6f4655c5ded26d891f706d85
