id,source_partition,path,brightness_mean,contrast_std,laplacian_variance,foreground_fraction,foreground_box_fraction,background_fraction
1163,train,data/raw/teacher/train/images_train/1163.jpg,0.81827354,0.25470456,0.02855228,0.35312500,0.60666667,0.64687500
1542,train,data/raw/teacher/train/images_train/1542.jpg,0.93536568,0.14628129,0.03230444,0.21479167,0.38250000,0.78520833
1562,train,data/raw/teacher/train/images_train/1562.jpg,0.82680875,0.20203215,0.02548227,0.49104167,0.72833333,0.50895833
1581,train,data/raw/teacher/train/images_train/1581.jpg,0.71516514,0.12135958,0.00637348,0.54104167,0.91250000,0.45895833
1610,train,data/raw/teacher/train/images_train/1610.jpg,0.67609215,0.37934238,0.04635014,0.45604167,0.61750000,0.54395833
1627,train,data/raw/teacher/train/images_train/1627.jpg,0.80193496,0.07971223,0.01682447,0.26979167,0.39416667,0.73020833
1654,train,data/raw/teacher/train/images_train/1654.jpg,0.96827507,0.06118904,0.00406108,0.23020833,0.39583333,0.76979167
1755,train,data/raw/teacher/train/images_train/1755.jpg,0.70565015,0.29574841,0.04021120,0.52854167,0.74750000,0.47145833
1803,train,data/raw/teacher/train/images_train/1803.jpg,0.71620059,0.34343639,0.06411888,0.46437500,0.84500000,0.53562500
1833,train,data/raw/teacher/train/images_train/1833.jpg,0.88857949,0.23710141,0.05766543,0.21104167,0.36125000,0.78895833
1867,train,data/raw/teacher/train/images_train/1867.jpg,0.73375362,0.32582325,0.04883173,0.43625000,0.61750000,0.56375000
1888,train,data/raw/teacher/train/images_train/1888.jpg,0.64988440,0.35790464,0.05732312,0.53000000,0.77354167,0.47000000
1920,train,data/raw/teacher/train/images_train/1920.jpg,0.88369364,0.25736713,0.09868579,0.21979167,0.39000000,0.78020833
1942,train,data/raw/teacher/train/images_train/1942.jpg,0.85148615,0.23977633,0.03722033,0.36895833,0.57812500,0.63104167
1977,train,data/raw/teacher/train/images_train/1977.jpg,0.67595315,0.27555865,0.01835396,0.60062500,0.76666667,0.39937500
2001,train,data/raw/teacher/train/images_train/2001.jpg,0.79166788,0.22639212,0.05090148,0.52375000,0.73125000,0.47625000
2028,train,data/raw/teacher/train/images_train/2028.jpg,0.67383760,0.38777867,0.04150302,0.45937500,0.63375000,0.54062500
2055,train,data/raw/teacher/train/images_train/2055.jpg,0.80289131,0.22020382,0.03028663,0.49875000,0.73791667,0.50125000
2098,train,data/raw/teacher/train/images_train/2098.jpg,0.79351944,0.25342914,0.08142526,0.50854167,0.78333333,0.49145833
2113,train,data/raw/teacher/train/images_train/2113.jpg,0.71603376,0.18925253,0.01961062,0.43291667,0.62541667,0.56708333
2131,train,data/raw/teacher/train/images_train/2131.jpg,0.67648304,0.32862568,0.07545315,0.53458333,0.75395833,0.46541667
2151,train,data/raw/teacher/train/images_train/2151.jpg,0.78420460,0.29216629,0.09861712,0.41666667,0.75395833,0.58333333
2168,train,data/raw/teacher/train/images_train/2168.jpg,0.73884010,0.27286077,0.06537968,0.51479167,0.75708333,0.48520833
2198,train,data/raw/teacher/train/images_train/2198.jpg,0.80625415,0.08344599,0.03194434,0.30458333,0.66375000,0.69541667
2218,train,data/raw/teacher/train/images_train/2218.jpg,0.74539340,0.19602261,0.02712997,0.33208333,0.59500000,0.66791667
2235,train,data/raw/teacher/train/images_train/2235.jpg,0.84708285,0.29977292,0.03981926,0.22812500,0.41437500,0.77187500
2254,train,data/raw/teacher/train/images_train/2254.jpg,0.72960520,0.32085240,0.03891776,0.44875000,0.65000000,0.55125000
2278,train,data/raw/teacher/train/images_train/2278.jpg,0.93136066,0.17266175,0.03380758,0.12916667,0.73500000,0.87083333
2295,train,data/raw/teacher/train/images_train/2295.jpg,0.73591053,0.32630125,0.03967405,0.41020833,0.60000000,0.58979167
2313,train,data/raw/teacher/train/images_train/2313.jpg,0.92695254,0.12776203,0.00887422,0.24645833,0.56833333,0.75354167
2333,train,data/raw/teacher/train/images_train/2333.jpg,0.80428606,0.26011747,0.06943186,0.53125000,0.78000000,0.46875000
2354,train,data/raw/teacher/train/images_train/2354.jpg,0.80716157,0.31372318,0.10006995,0.33625000,0.51895833,0.66375000
2377,train,data/raw/teacher/train/images_train/2377.jpg,0.90850556,0.24413863,0.03998845,0.14687500,0.20125000,0.85312500
