id,path,articleType,season,gender,usage,source_partition,sample_reason
1163,data/raw/teacher/train/images_train/1163.jpg,Tshirts,Summer,Men,Sports,train,articleType frequency rank 1 of 124
2208,data/raw/teacher/train/images_train/2208.jpg,Flip Flops,Fall,Men,Casual,train,articleType frequency rank 12 of 124
2609,data/raw/teacher/train/images_train/2609.jpg,Flats,Fall,Women,Casual,train,articleType frequency rank 23 of 124
4611,data/raw/teacher/train/images_train/4611.jpg,Waist Pouch,Winter,Unisex,Casual,train,articleType frequency rank 79 of 124
13624,data/raw/teacher/train/images_train/13624.jpg,Lounge Shorts,Summer,Men,Casual,train,articleType frequency rank 68 of 124
16739,data/raw/teacher/train/images_train/16739.jpg,Clutches,Winter,Women,Casual,train,articleType frequency rank 34 of 124
21163,data/raw/teacher/train/images_train/21163.jpg,Shrug,Fall,Women,Casual,train,articleType frequency rank 112 of 124
35129,data/raw/teacher/train/images_train/35129.jpg,Bangle,Winter,Women,Casual,train,articleType frequency rank 56 of 124
39720,data/raw/teacher/train/images_train/39720.jpg,Jumpsuit,Summer,Women,Casual,train,articleType frequency rank 90 of 124
48921,data/raw/teacher/train/images_train/48921.jpg,Ring,Fall,Women,Casual,train,articleType frequency rank 45 of 124
49086,data/raw/teacher/train/images_train/49086.jpg,Compact,Spring,Women,Casual,train,articleType frequency rank 101 of 124
51981,data/raw/teacher/train/images_train/51981.jpg,Lounge Tshirts,Summer,Women,Casual,train,articleType frequency rank 124 of 124
