file,rows,digest_scope,sha256
data/processed/prediction_manifest.csv,5829,label-free prediction manifest,8d1fdd27721fc8604203b99308ecda9773b1f7c89b8cf6b2a33c82587b14954b
data/processed/splits.csv,38612,normal loader; protected targets redacted,babeb0c9bfe526ceb9a39b84faad1183d1f0752b42729ded4895c9457951c229
data/processed/high_resolution/image_catalogue.csv.gz,44441,image-only catalogue,034ad5875ed2b3256b6727e6d831b528d949796d9d2e3bbfc7f29565d8eca099
data/processed/training_image_variants.csv.gz,77102,target-free product/variant manifest,9bdf5f5cc1de88002b4a6dc59d59047108a262262f6ceaeac0eeb39e848b08d5
data/processed/label_maps.json,n/a,train-fitted label map,279b2a0083fd2a955bc680c18b703f8d1b803a4a3d1aff9b0ef1b120cb1b5321
data/processed/taxonomy.json,n/a,train-fitted deployment and metric taxonomy,1f466110b163cdf68b450f018a97c30a893623ae143bbf3bd837c92dfea2b4e6
data/processed/paired_normalization.json,n/a,main doubled-policy train statistics,2457c76f4c2591b91db756320937adc47150a6f5a4b3c5c86091323fd97c2ecc
data/processed/normalization_original_only.json,n/a,original-only comparison baseline,6be56b9d5b2d6b311ba63436c618279ef85a9352f7317be6585f7a72cfb3ffab
data/processed/split_summary.json,n/a,train/validation and structural split summary,c242232a52ba0d518af64415a03bcb475de8ff496c650ab737ccd321a38c393c
data/processed/audit/image_audit.csv.gz,n/a,label-free image audit,944cd6fd2b854360630566c0291ad3116420ec1695613da253309d9e247b983e
data/processed/audit/near_duplicate_candidates.csv.gz,n/a,label-free visual duplicate evidence,c53fa71260c0a60a646e22f17752874d9065e16008cb4f894e35babd8103e2cd
data/processed/audit/product_family_groups.csv.gz,n/a,structural family allocation,c3762419ef21e957e838492ab374327631a600a4561e62a39d1b8698ee95fa2a
data/processed/training_image_variants_summary.json,n/a,target-free paired-variant proof,ac57e64b7927f1965a28a30938216b8d0372e4b1d3578e7d7c3d369da0ed281e
data/processed/high_resolution/all_alignment_pairs.csv.gz,n/a,label-free all-pair resolution alignment audit,f99a571ac310046b7de3deb436b0d1ba2d7911bce12e704aea791191440be0bb
data/processed/high_resolution/alignment_summary.json,n/a,compact label-free alignment summary,c80f5eddddf82551c4ab72337aa48eebec98b5070d5c862117a9c3de2313d937
data/processed/preparation_cache.json,n/a,cheap source inventory and critical-artifact fingerprints,8c6447fb5892654c096bbfaaa2607001187d857419d472f71d41c8ac5eee0511
