epoch,train_loss,train_samples,learning_rate
1,3.436020716106808,32773,0.00010438937703430295
2,1.943272053666159,32773,0.0002802825419919385
3,1.267750942175634,32773,0.0005204892810553481
4,0.9788270550854594,32773,0.000760564751358972
5,0.805609057319396,32773,0.0009360993280108617
6,0.6958503509955124,32773,0.000999999809403171
7,0.5855706695942259,32773,0.0009873666737734669
8,0.5050235764672154,32773,0.0009502950383431123
9,0.4345806352104197,32773,0.0008906438297102538
10,0.37470906339649435,32773,0.0008114042085574984
11,0.3131808207374291,32773,0.0007165495803652872
12,0.25768782459436995,32773,0.0006108363522696123
13,0.20471988196114438,32773,0.0004995654269471881
14,0.15612416367692433,32773,0.00038831639322060255
15,0.11167557557017332,32773,0.00028266774217641544
16,0.07994674735719547,32773,0.00018791713832833076
17,0.05101428601413504,32773,0.000108815772597357
18,0.03277007467747853,32773,4.9330117759783665e-05
19,0.023048293767688192,32773,1.244303293962944e-05
20,0.01878416625604898,32773,4.1905968291524634e-09
