id,articleType,product_family_group,mode,predicted_label,confidence,correct
1550,Footballs,family_c27484c7087191b2,RGB,Sports Shoes,0.992668092250824,False
1561,Tshirts,family_8bcefa497af26e68,RGB,Tops,0.9114366769790648,False
1579,Jackets,family_ec11f26d671bcc37,RGB,Shirts,0.9841842651367188,False
1587,Sports Shoes,family_0252fa3e9d9c8c2c,RGB,Casual Shoes,0.957789421081543,False
1634,Sports Shoes,family_ca05bc2bf73745fe,RGB,Casual Shoes,1.0,False
1757,Tshirts,family_507c38cb8a975a83,RGB,Handbags,0.6970885396003723,False
1806,Sandals,family_a78000a5ff630601,RGB,Sports Shoes,0.6048499941825867,False
1862,Tshirts,family_169564455792f758,RGB,Shirts,0.996052384376526,False
1918,Backpacks,family_54e87e2783378cd8,RGB,Handbags,0.99994158744812,False
1932,Casual Shoes,family_01a0123885ebec5b,RGB,Sports Shoes,0.9996094107627868,False
1990,Tshirts,family_a7be8e1fe282a37c,RGB,Tops,0.9383082389831544,False
2351,Sports Shoes,family_9551dc186746041a,RGB,Casual Shoes,0.998457670211792,False
2381,Formal Shoes,family_29725b74b899713d,RGB,Casual Shoes,0.8461114764213562,False
2391,Formal Shoes,family_089d15bac8e0ff9f,RGB,Casual Shoes,0.9779369235038756,False
2484,Tshirts,family_a2b00e8a452d83bf,RGB,Tops,0.98543381690979,False
2507,Casual Shoes,family_ecb80fffef1947a5,RGB,Sandals,0.971001386642456,False
2602,Tshirts,family_a24e43b7765e445a,RGB,Tops,0.7254243493080139,False
2605,Tshirts,family_a81824dad073f33c,RGB,Tops,0.9308132529258728,False
2608,Heels,family_32ea6aa8091a36e8,RGB,Sandals,0.5457714200019836,False
2630,Flats,family_75ca28395bfc9ad1,RGB,Heels,0.9999772310256958,False
2639,Formal Shoes,family_b0981fa41b7abd6f,RGB,Casual Shoes,0.9605830907821656,False
2653,Handbags,family_862952ddccaf02d8,RGB,Laptop Bag,0.996199667453766,False
2694,Shirts,family_6e457ff07c35fd71,RGB,Tshirts,0.9994420409202576,False
2701,Tops,family_ce83293c66150ed4,RGB,Tshirts,0.999768316745758,False
2706,Tops,family_f5e9b69ce10f94f8,RGB,Dresses,0.9996986389160156,False
2718,Tops,family_c47e82e01e20ad22,RGB,Dresses,0.9419788718223572,False
2738,Tshirts,family_44ab142b5171cd63,RGB,Night suits,0.8678311109542847,False
2882,Heels,family_6d9eed144ee7038c,RGB,Flats,0.8296684622764587,False
2892,Heels,family_36be8183ad9f1ed7,RGB,Sandals,0.6627577543258667,False
3193,Tshirts,family_29c550b073ecb595,RGB,Shirts,0.6124258041381836,False
