class_index,class_name,precision,recall,f1,support,development_count
0,Accessory Gift Set,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,91
1,Baby Dolls,0.0,0.0,0.0,0,2
2,Backpacks,0.9035087719298246,0.9716981132075472,0.9363636363636364,106,604
3,Bangle,0.5,0.125,0.2,8,50
4,Basketballs,0.5,1.0,0.6666666666666666,1,12
5,Belts,0.9915254237288136,0.9831932773109243,0.9873417721518988,119,676
6,Blazers,0.0,0.0,0.0,1,7
7,Body Wash and Scrub,0.0,0.0,0.0,0,1
8,Booties,1.0,1.0,1.0,3,9
9,Boxers,1.0,0.4,0.5714285714285714,5,34
10,Bra,0.9,0.9782608695652174,0.9375,46,251
11,Bracelet,0.625,0.7142857142857143,0.6666666666666666,7,44
12,Briefs,0.9587628865979382,0.93,0.9441624365482234,100,568
13,Camisoles,0.0,0.0,0.0,2,13
14,Capris,0.6842105263157895,0.5416666666666666,0.6046511627906976,24,136
15,Caps,0.8695652173913043,0.9523809523809523,0.9090909090909091,42,230
16,Casual Shoes,0.8186157517899761,0.849009900990099,0.8335358444714459,404,2276
17,Churidar,1.0,0.75,0.8571428571428571,4,26
18,Clothing Set,1.0,1.0,1.0,1,7
19,Clutches,0.7333333333333333,0.6470588235294118,0.6875,34,189
20,Compact,0.0,0.0,0.0,0,4
21,Concealer,0.0,0.0,0.0,0,2
22,Cufflinks,1.0,1.0,1.0,6,38
23,Cushion Covers,0.0,0.0,0.0,0,1
24,Deodorant,0.8035714285714286,1.0,0.8910891089108911,45,248
25,Dresses,0.5272727272727272,0.5686274509803921,0.5471698113207547,51,289
26,Duffel Bag,0.6666666666666666,0.7692307692307693,0.7142857142857143,13,73
27,Dupatta,0.7272727272727273,0.9411764705882353,0.8205128205128205,17,99
28,Earrings,0.9714285714285714,0.9714285714285714,0.9714285714285714,35,206
29,Eyeshadow,1.0,1.0,1.0,1,4
30,Flats,0.46875,0.4838709677419355,0.47619047619047616,62,356
31,Flip Flops,0.8333333333333334,0.8914728682170543,0.8614232209737828,129,734
32,Footballs,0.0,0.0,0.0,1,7
33,Formal Shoes,0.9367088607594937,0.8131868131868132,0.8705882352941177,91,517
34,Foundation and Primer,0.0,0.0,0.0,1,11
35,Fragrance Gift Set,0.5833333333333334,0.875,0.7,8,47
36,Free Gifts,0.3333333333333333,0.2,0.25,10,57
37,Gloves,0.5,0.5,0.5,2,18
38,Handbags,0.8716814159292036,0.9078341013824884,0.8893905191873589,217,1222
39,Hat,0.0,0.0,0.0,1,2
40,Headband,1.0,1.0,1.0,1,6
41,Heels,0.8125,0.8227848101265823,0.8176100628930818,158,890
42,Highlighter and Blush,0.0,0.0,0.0,0,4
43,Innerwear Vests,0.8611111111111112,0.8378378378378378,0.8493150684931506,37,205
44,Ipad,0.0,0.0,0.0,0,1
45,Jackets,0.6666666666666666,0.5142857142857142,0.5806451612903226,35,193
46,Jeans,0.8795180722891566,0.8690476190476191,0.874251497005988,84,472
47,Jeggings,1.0,0.3333333333333333,0.5,3,22
48,Jewellery Set,0.8333333333333334,0.7142857142857143,0.7692307692307693,7,38
49,Jumpsuit,0.0,0.0,0.0,1,10
50,Kajal and Eyeliner,1.0,0.5,0.6666666666666666,2,11
51,Key chain,0.0,0.0,0.0,1,1
52,Kurta Sets,0.6923076923076923,0.8181818181818182,0.75,11,64
53,Kurtas,0.9078947368421053,0.8846153846153846,0.8961038961038961,234,1322
54,Kurtis,0.3333333333333333,0.2903225806451613,0.3103448275862069,31,172
55,Laptop Bag,0.25,0.16666666666666666,0.2,12,67
56,Leggings,0.7083333333333334,0.7083333333333334,0.7083333333333334,24,135
57,Lehenga Choli,0.0,0.0,0.0,0,2
58,Lip Gloss,1.0,1.0,1.0,1,5
59,Lip Liner,1.0,1.0,1.0,1,11
60,Lip Plumper,1.0,1.0,1.0,1,3
61,Lipstick,0.0,0.0,0.0,5,10
62,Lounge Pants,0.45454545454545453,0.625,0.5263157894736842,8,45
63,Lounge Shorts,1.0,0.4,0.5714285714285714,5,29
64,Lounge Tshirts,0.0,0.0,0.0,0,1
