id,articleType,product_family_group,mode
1525,Backpacks,family_ea85b0d61253e103,RGB
1532,Tshirts,family_f76cb816b3f74ecf,RGB
1534,Tshirts,family_13be5b896be03995,RGB
1550,Footballs,family_c27484c7087191b2,RGB
1561,Tshirts,family_8bcefa497af26e68,RGB
1579,Jackets,family_ec11f26d671bcc37,RGB
1587,Sports Shoes,family_0252fa3e9d9c8c2c,RGB
1588,Tshirts,family_d24eac45e69be063,RGB
1592,Sports Shoes,family_8cca04ee02b8915f,RGB
1595,Tshirts,family_c6bb15225eca43ac,RGB
1597,Handbags,family_eb57f949956cc9f3,RGB
1608,Track Pants,family_b2382de3cdaaf0c8,RGB
1616,Tshirts,family_ee09198e46224875,RGB
1621,Shorts,family_de690d1ae70d1008,RGB
1624,Backpacks,family_3ea77fc339263dd3,RGB
1634,Sports Shoes,family_ca05bc2bf73745fe,RGB
1641,Sports Shoes,family_4cd31e5e6c407602,RGB
1644,Tshirts,family_f7d9615965e2b49c,RGB
1657,Sports Shoes,family_14c54242e8185b50,RGB
1727,Casual Shoes,family_434f4d14c1eb2313,RGB
1754,Tshirts,family_a6d4096b24cd4ad2,RGB
1757,Tshirts,family_507c38cb8a975a83,RGB
1760,Tshirts,family_d2388821e8b13716,RGB
1788,Sports Shoes,family_ad7a0849a3ea6e33,RGB
1793,Backpacks,family_873bd5e10c28890f,RGB
1798,Tshirts,family_79b50932dd998d25,RGB
1801,Backpacks,family_22f2c8e194c42ba7,RGB
1802,Sports Shoes,family_fe7c8b93142029fa,RGB
1806,Sandals,family_a78000a5ff630601,RGB
1845,Tshirts,family_4e67c080014aa629,RGB
1848,Tshirts,family_33afd662cef42c90,RGB
1859,Tshirts,family_40e485376e18da61,RGB
1862,Tshirts,family_169564455792f758,RGB
1871,Tshirts,family_51f8abfe29ee9821,RGB
1877,Tshirts,family_d8d1713dc5816512,RGB
1882,Tshirts,family_700e459d870c9802,RGB
1889,Tshirts,family_285f8e7a01879313,RGB
1904,Tshirts,family_90bbc9533a02213f,RGB
1909,Tshirts,family_8e614d39a1f12799,RGB
1918,Backpacks,family_54e87e2783378cd8,RGB
1923,Sports Shoes,family_d42ed19c0d9c8070,RGB
1932,Casual Shoes,family_01a0123885ebec5b,RGB
1938,Tshirts,family_6eac02c2ab0dc937,RGB
1986,Tshirts,family_8f8472a2f6ec348b,RGB
1988,Tshirts,family_8266498d969081c2,RGB
1990,Tshirts,family_a7be8e1fe282a37c,RGB
1991,Tshirts,family_8e9b669109df8962,RGB
1996,Tshirts,family_3d1e557b540ac045,RGB
2006,Tshirts,family_6f6a4e56098cfd9a,RGB
2023,Tshirts,family_d398b29d3dbbb9bf,RGB
2034,Tshirts,family_bae9aa4081f87834,RGB
2037,Tshirts,family_3bbcf69de876e98a,RGB
2041,Tshirts,family_9e088cddb90e91e1,RGB
2044,Tshirts,family_2920b9489aa3f6af,RGB
2045,Tshirts,family_5997fffe609051d6,RGB
2046,Tshirts,family_53f15ca2c3a39541,RGB
2056,Tshirts,family_88100ba34db736c9,RGB
2057,Tshirts,family_7b9b55714e6c4def,RGB
2059,Tshirts,family_bef7b4d1c3d67bc9,RGB
2060,Tshirts,family_28e7234668777f9e,RGB
2096,Shirts,family_b72653265c6bad29,RGB
2109,Track Pants,family_62fb418140a7ee41,RGB
2116,Track Pants,family_ef13ebc3a57a1b51,RGB
2147,Tshirts,family_1ece65b2e9ae94a0,RGB
2148,Tshirts,family_2c6499976963e983,RGB
2159,Tshirts,family_94591db26546032a,RGB
2180,Tshirts,family_25dbd7ca6d959934,RGB
2184,Tshirts,family_6305dcd1ce3fa1cb,RGB
2190,Track Pants,family_5183d65cc71ba701,RGB
2191,Shorts,family_33cc6da30d940c4f,RGB
2193,Shorts,family_d1b0b7687f7bca92,RGB
2194,Tshirts,family_24210acff902c1fa,RGB
2195,Capris,family_0aac3e0a2e7117d4,RGB
2197,Sports Shoes,family_2bbb0ed9e5934878,RGB
2201,Tshirts,family_2db2fc80324af1de,RGB
2204,Tshirts,family_2db2fc80324af1de,RGB
2210,Tshirts,family_4321a844ee760ee6,RGB
2220,Sandals,family_230ad27c6e6e2766,RGB
2233,Sandals,family_bcac371b54f59945,RGB
2238,Flip Flops,family_7a98c22ae38c33c9,RGB
2242,Tshirts,family_49fdfc988e29f9ff,RGB
2247,Swimwear,family_c6d34483cedd0b10,RGB
2257,Tshirts,family_399b19bd30c03411,RGB
2259,Tshirts,family_2f5b70c621fdcb0d,RGB
2271,Tshirts,family_60721111fd108887,RGB
2273,Tshirts,family_60721111fd108887,RGB
2299,Tshirts,family_6132403c347d506d,RGB
2307,Tshirts,family_6132403c347d506d,RGB
2336,Tshirts,family_100e667d1f4c2509,RGB
2337,Tshirts,family_ed3c9dc579bb8a9d,RGB
2346,Tshirts,family_597180d3039f1b7b,RGB
2351,Sports Shoes,family_9551dc186746041a,RGB
2362,Caps,family_9bf42f4b66fe462d,RGB
2366,Backpacks,family_d0832287613be2ff,RGB
2369,Casual Shoes,family_1ee4e10c0c7e1bd5,RGB
2381,Formal Shoes,family_29725b74b899713d,RGB
2382,Formal Shoes,family_9f4ea8281f1dce48,RGB
2391,Formal Shoes,family_089d15bac8e0ff9f,RGB
2403,Tshirts,family_da567b5f09f055a6,RGB
2483,Tops,family_530f967e2a24e5ab,RGB
2484,Tshirts,family_a2b00e8a452d83bf,RGB
2486,Tops,family_9dc6abc967dad3e2,RGB
2491,Tshirts,family_dc7d6256d124bcc9,RGB
2496,Casual Shoes,family_94f136bbfce57e5c,RGB
2507,Casual Shoes,family_ecb80fffef1947a5,RGB
2542,Flip Flops,family_39938bd5341cf978,RGB
2545,Flip Flops,family_a812c832adb8c843,RGB
2551,Flip Flops,family_8d99af9470d4a657,RGB
2552,Flip Flops,family_beda66e7862b7ad4,RGB
2572,Track Pants,family_2d087552bf9d679f,RGB
2587,Tshirts,family_576a0f27a454c475,RGB
2602,Tshirts,family_a24e43b7765e445a,RGB
2605,Tshirts,family_a81824dad073f33c,RGB
2608,Heels,family_32ea6aa8091a36e8,RGB
2615,Tshirts,family_332d88d62030ed15,RGB
2617,Tshirts,family_13d61412db18277d,RGB
2630,Flats,family_75ca28395bfc9ad1,RGB
2632,Flats,family_994aa605e86d263f,RGB
2639,Formal Shoes,family_b0981fa41b7abd6f,RGB
2647,Handbags,family_23aadc4582d4f5ac,RGB
2648,Handbags,family_3a3a99897cabe3d5,RGB
2653,Handbags,family_862952ddccaf02d8,RGB
2663,Handbags,family_352a4f750446467c,RGB
2668,Handbags,family_e6323c6f35f6487e,RGB
2669,Handbags,family_154d72ced7915c97,RGB
2694,Shirts,family_6e457ff07c35fd71,RGB
2701,Tops,family_ce83293c66150ed4,RGB
2706,Tops,family_f5e9b69ce10f94f8,RGB
2718,Tops,family_c47e82e01e20ad22,RGB
2738,Tshirts,family_44ab142b5171cd63,RGB
2766,Tshirts,family_40771a76e8746afe,RGB
2778,Tshirts,family_a2541e84e912f4f5,RGB
2786,Tshirts,family_e172e24d3024bb7c,RGB
2787,Tshirts,family_770e6f5e2f55c90a,RGB
2802,Sandals,family_46ddd8196f72b3e6,RGB
2803,Sandals,family_bb06af3e662eb741,RGB
2825,Formal Shoes,family_caa6a0f78b21879a,RGB
2837,Tshirts,family_3b063d4c746d45e9,RGB
2844,Tshirts,family_5bac544801aae740,RGB
2853,Tshirts,family_7c9b3e0182d17e95,RGB
2882,Heels,family_6d9eed144ee7038c,RGB
2892,Heels,family_36be8183ad9f1ed7,RGB
2900,Heels,family_ab4e225c837ae25f,RGB
2903,Heels,family_430834d9caa6886c,RGB
2922,Tshirts,family_5d072f5b8512844d,RGB
2975,Tshirts,family_dda106a2f4e910d1,RGB
2977,Tshirts,family_33d1b80a149c66dd,RGB
2979,Tshirts,family_eedaf2856c6f433b,RGB
2985,Tshirts,family_9d393029065a5135,RGB
2986,Tshirts,family_41b241da37235677,RGB
3017,Tshirts,family_b573ebf82028a56d,RGB
3045,Tshirts,family_1d2db6db4635c05a,RGB
3046,Tshirts,family_3a1e774a8ea4f3f4,RGB
3047,Tshirts,family_19ea865bcc1b5d90,RGB
3059,Tshirts,family_084d9897d40c63e4,RGB
3061,Tshirts,family_31dd3d260bd7e904,RGB
3080,Tshirts,family_edaa8bc3853e1f94,RGB
3082,Tshirts,family_7379ad4c3fc756d0,RGB
3098,Tshirts,family_4e12486c3a0f8fa2,RGB
3107,Tshirts,family_e68adee72e4d3c42,RGB
3108,Tshirts,family_50d65da5a5788e61,RGB
3120,Tshirts,family_e2628662818f57a4,RGB
3135,Heels,family_250526cd289e4e36,RGB
3139,Heels,family_d2addcc965fed481,RGB
3193,Tshirts,family_29c550b073ecb595,RGB
3211,Tshirts,family_4a8ed6268c1741e4,RGB
3213,Sports Shoes,family_fe6340be87fd5e43,RGB
3227,Sports Shoes,family_fdc4dddb01a836f6,RGB
3229,Sports Shoes,family_fcfe44d0a0769b1a,RGB
3236,Casual Shoes,family_83f317efec40450f,RGB
3239,Sports Shoes,family_59c260251c827eea,RGB
3247,Casual Shoes,family_32ec692a60618d8c,RGB
3255,Flats,family_c5f40d3880b454c1,RGB
3260,Tshirts,family_2fac394011e7d326,RGB
3266,Tshirts,family_c5309ec2caf7b669,RGB
3271,Tshirts,family_580d98a707e0600e,RGB
3272,Tshirts,family_f0ca4b323465b546,RGB
3275,Tshirts,family_26a020fdeb929b63,RGB
3276,Tshirts,family_2c903ae837b047fd,RGB
3280,Tshirts,family_e21a6e2714f15b13,RGB
3289,Tshirts,family_76c9d56531b032e8,RGB
3291,Tshirts,family_cbcfa39f9a286181,RGB
3307,Sports Shoes,family_5a19e373eb56430e,RGB
3312,Sports Shoes,family_2ee62f16ca41fe78,RGB
3314,Tshirts,family_cbcfa39f9a286181,RGB
3315,Tshirts,family_cbcfa39f9a286181,RGB
3318,Tshirts,family_4e78ccea6eff54be,RGB
3327,Tshirts,family_b192c9bbefcbd7b0,RGB
3334,Backpacks,family_e0963ee5228d3ea1,RGB
3342,Tshirts,family_cc0ff843d1c33686,RGB
3344,Tshirts,family_15fc36b3e80b9d7f,RGB
3348,Tshirts,family_33d88765a856314f,RGB
3352,Tshirts,family_ce0def455fe638a6,RGB
3359,Tshirts,family_1b5a245cf57900a2,RGB
3361,Tshirts,family_e8202f39fad74acd,RGB
3362,Tshirts,family_251851f41520f4df,RGB
3367,Sports Shoes,family_377ac4e989ab213e,RGB
3371,Sports Shoes,family_7dca45c32eb8330a,RGB
3390,Handbags,family_32cf64b0b2b2318c,RGB
3396,Handbags,family_4e178263c37a5ed0,RGB
3402,Handbags,family_5dd0890c61cca7af,RGB
3404,Handbags,family_ecb2c5cd363bd77c,RGB
3412,Tshirts,family_f23d089e7f2e05f6,RGB
3418,Tshirts,family_cab3c9da252d39d3,RGB
