run_id,fold,candidate_id,preprocessing_id,loss_id,macro_f1,weighted_f1,top1_accuracy,top5_accuracy,validation_loss
task1-cnn-task1_cnn_no_aug_unweighted_v1-f0-s2753-2b671c263f75,0,task1_cnn_no_aug_unweighted_v1,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,0.4980518959235437,0.8345387860434922,0.8377842209674958,0.9778727300473066,1.0721256314561918
task1-cnn-task1_cnn_no_aug_unweighted_v1-f1-s2753-326863573f92,1,task1_cnn_no_aug_unweighted_v1,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,0.519481722470777,0.8444844015616044,0.8482306284319707,0.9789505796217206,1.0587083181509604
task1-cnn-task1_cnn_no_aug_unweighted_v1-f2-s2753-4a2ad5b813b3,2,task1_cnn_no_aug_unweighted_v1,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,0.5175998847353388,0.8265420857847612,0.8321379520830154,0.9734472760567678,1.2538132564379618
task1-cnn-task1_cnn_no_aug_unweighted_v1-f3-s2753-cbd14501bc35,3,task1_cnn_no_aug_unweighted_v1,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,0.5369938545634481,0.8397102884807383,0.84330180042722,0.978791577662496,1.1684899897529528
task1-cnn-task1_cnn_no_aug_unweighted_v1-f4-s2753-15a400dd82cb,4,task1_cnn_no_aug_unweighted_v1,task1_rgb_60x80_no_aug_v1,cross_entropy_unweighted_v1,0.5852399710799019,0.8452540238356923,0.8494738447460729,0.9807838950739668,1.1110617782060916
task1-cnn-task1_cnn_mild_aug_unweighted_v1-f0-s2753-f2c7e21f5564,0,task1_cnn_mild_aug_unweighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_unweighted_v1,0.5080677908805822,0.8344926205760802,0.8408362582023501,0.9795513505264763,0.5818117619133912
task1-cnn-task1_cnn_mild_aug_unweighted_v1-f1-s2753-f2c26f1489bd,1,task1_cnn_mild_aug_unweighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_unweighted_v1,0.52163347825604,0.8436484131529811,0.8486882245271506,0.984136668700427,0.5542900163966876
task1-cnn-task1_cnn_mild_aug_unweighted_v1-f2-s2753-692a6f40bb5d,2,task1_cnn_mild_aug_unweighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_unweighted_v1,0.5232512734343034,0.829862279483676,0.8365634060735541,0.9784831374942774,0.6792894859726613
task1-cnn-task1_cnn_mild_aug_unweighted_v1-f3-s2753-5a03cc0c3f2d,3,task1_cnn_mild_aug_unweighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_unweighted_v1,0.5088911524813756,0.8346359545159628,0.8379615501983522,0.980622520598108,0.5980437125724095
task1-cnn-task1_cnn_mild_aug_unweighted_v1-f4-s2753-46fe12567d54,4,task1_cnn_mild_aug_unweighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_unweighted_v1,0.5470785725810239,0.8441058743229771,0.8505414061308525,0.9818514564587464,0.6048234543548181
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f0-s2753-3ee5a5fe81b3,0,task1_cnn_mild_aug_balanced_weighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_balanced_class_weighted_v1,0.4520946874672633,0.7145398753111516,0.6908286281092629,0.9560506638180986,1.0636346661127531
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,1,task1_cnn_mild_aug_balanced_weighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_balanced_class_weighted_v1,0.467498645810433,0.7278181589453513,0.7063758389261745,0.9562233068944478,1.0632522805378988
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f2-s2753-0b41fbf934d5,2,task1_cnn_mild_aug_balanced_weighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_balanced_class_weighted_v1,0.4278424930624588,0.6722935791576138,0.6500839310239585,0.9392644590264001,1.2626816504276717
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f3-s2753-4755f42b965d,3,task1_cnn_mild_aug_balanced_weighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_balanced_class_weighted_v1,0.4595759250685238,0.7203591124507972,0.6959108941104669,0.9569728410131217,1.089558533177926
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f4-s2753-89abf6776fe5,4,task1_cnn_mild_aug_balanced_weighted_v1,task1_rgb_60x80_mild_aug_v1,cross_entropy_balanced_class_weighted_v1,0.47505279368807746,0.734377766779163,0.7143510751868233,0.9539423516852219,1.0763819057207842
