rank,candidate_id,true_label,predicted_label,error_count,true_support,error_rate,example_ids
1,task1_cnn_no_aug_unweighted_v1,Sports Shoes,Casual Shoes,286,1691,0.16913069189828503,"1548,1549,1653"
2,task1_cnn_no_aug_unweighted_v1,Casual Shoes,Sports Shoes,281,2276,0.1234622144112478,"1543,1544,1545"
3,task1_cnn_no_aug_unweighted_v1,Tshirts,Tops,246,5748,0.04279749478079332,"1570,1763,1984"
4,task1_cnn_no_aug_unweighted_v1,Tops,Tshirts,235,1369,0.17165814463111762,"2120,2294,2700"
5,task1_cnn_no_aug_unweighted_v1,Flats,Heels,141,356,0.3960674157303371,"2609,2613,2614"
6,task1_cnn_no_aug_unweighted_v1,Shirts,Tshirts,112,2619,0.042764413898434515,"2050,2095,2100"
7,task1_cnn_no_aug_unweighted_v1,Heels,Flats,104,890,0.11685393258426967,"2611,2624,2870"
8,task1_cnn_no_aug_unweighted_v1,Casual Shoes,Formal Shoes,72,2276,0.03163444639718805,"2368,2371,2376"
9,task1_cnn_no_aug_unweighted_v1,Tshirts,Shirts,68,5748,0.011830201809324982,"1803,1809,2155"
10,task1_cnn_no_aug_unweighted_v1,Shirts,Tops,64,2619,0.024436807941962582,"2119,2121,5111"
