metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.49567978312944694,0.00012781294972807148,0.4955725190839695,0.4958778625954198,0.4956797850578573
balanced_accuracy,0.25,0.0,0.25,0.25,0.25
macro_precision,0.12391994578236173,3.195323743201787e-05,0.12389312977099237,0.12396946564885496,0.12391994626446433
macro_recall,0.25,0.0,0.25,0.25,0.25
macro_f1,0.16570384345592792,2.856562459691535e-05,0.16567986933442222,0.16574811185956317,0.1657038458397975
weighted_f1,0.3285441924351823,0.0001413634014312008,0.3284255608302501,0.328763277752587,0.3285441867565246
nll,1.1485187107180983,0.0001395246763663824,1.1483386504505793,1.1486436021379498,1.148518707810574
brier,0.6418107617188616,4.3574951604792666e-05,0.6417573349790712,0.6418723700831158,0.6418107610680759
ece,0.00012239489109922008,8.245354048431303e-05,3.783295314530033e-05,0.0002475912524438906,6.027753296500293e-10
