metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.6574056443224742,0.005803715362383051,0.6525721263929171,0.6673282442748092,0.6574054285103654
balanced_accuracy,0.6206671172766953,0.005532450023233119,0.6118828021404616,0.6261074366948358,0.6206711419708568
macro_precision,0.6078085986251274,0.00905260799605188,0.602276586572607,0.6238250391679516,0.6075218990689831
macro_recall,0.6206671172766953,0.005532450023233119,0.6118828021404616,0.6261074366948358,0.6206711419708568
macro_f1,0.6095855907579812,0.006962183849823601,0.6028740702373776,0.6213884312740079,0.6095612606010009
weighted_f1,0.6553928212140289,0.004835782998098026,0.6513179290569484,0.6637265727650732,0.6554383522972407
nll,0.8817867291041969,0.0037428614988782643,0.8758874485041969,0.8856928021992941,0.8817866645818174
brier,0.4670551347377388,0.005705268792716078,0.45750240254298224,0.47137516607198254,0.46705552675275636
ece,0.04131970449510562,0.0048252315466518585,0.03746623299850012,0.04929324923138853,0.04061097760603331
