candidate,experiment_id,seed,evaluation_fold,fit_folds,fit_fold_count,calibration_rows,evaluation_rows,temperature,fit_nll_before,fit_nll_after
C2,g3-c2-t0-resnet18,2753,0,1|2|3|4,4,26203,6550,1.3523007736326813,0.6623643449498483,0.6371775497577989
C2,g3-c2-t0-resnet18,2753,1,0|2|3|4,4,26202,6551,1.3585097455740234,0.662792600494255,0.6368036661539781
C2,g3-c2-t0-resnet18,2753,2,0|1|3|4,4,26203,6550,1.4318841417365549,0.6697117532505028,0.6326926005148823
C2,g3-c2-t0-resnet18,2753,3,0|1|2|4,4,26203,6550,1.3868248845868807,0.6728264848589232,0.6428700585785656
C2,g3-c2-t0-resnet18,2753,4,0|1|2|3,4,26201,6552,1.3396423619094666,0.6609858490759102,0.6373237230995951
I2,g4-i2-article-type-lambda-0-3-c1,2753,0,1|2|3|4,4,26203,6550,1.3716578619771802,0.6334490693611803,0.6076833359375865
I2,g4-i2-article-type-lambda-0-3-c1,2753,1,0|2|3|4,4,26202,6551,1.326886355692937,0.6273556695105108,0.6068463469511025
I2,g4-i2-article-type-lambda-0-3-c1,2753,2,0|1|3|4,4,26203,6550,1.4103618319693676,0.6332727568720032,0.6020620036097296
I2,g4-i2-article-type-lambda-0-3-c1,2753,3,0|1|2|4,4,26203,6550,1.363623069889828,0.6369186646300038,0.6120273114186607
I2,g4-i2-article-type-lambda-0-3-c1,2753,4,0|1|2|3,4,26201,6552,1.3523305548598799,0.6313379592955591,0.6077050648599109
