candidate,calibration_method,requested_coverage,coverage,review_rate,retained_count,review_count,confidence_threshold,accepted_correct_count,selective_accuracy,selective_risk,selective_macro_f1,accepted_id_sha256,review_budget
C2,uncalibrated,1.0,1.0,0.0,32753,0,0.28777240441873103,24492,0.7477788294202058,0.2522211705797942,0.7350355076324379,6f8540aff2511b2d63e23bea6d5aad24060cbbf3f352d40a8419248d4cdbcc54,0.0
C2,uncalibrated,0.9,0.9000091594663084,0.09999084053369156,29478,3275,0.5219846328945112,22999,0.7802089694009091,0.2197910305990909,0.7730583197339147,186f1402efeda7d600575af27b9484cde6c5b95a5d92b54315210812fa569b02,0.1
C2,uncalibrated,0.8,0.8000183189326169,0.19998168106738312,26203,6550,0.6061970767265968,21260,0.8113574781513567,0.18864252184864327,0.8064778949865,0863958f594e9cb7cba6e907a9ee40dfea06f7ceba167c793ac087c8b4e9eced,0.2
C2,uncalibrated,0.7,0.7000274783989253,0.2999725216010747,22928,9825,0.6956612487202362,19326,0.8428995115143056,0.15710048848569436,0.8401900243835599,d0ad538a073b59bcfe895dbf88de099b0557fec35460cdeb6549c6c04edfbec8,0.3
C2,uncalibrated,0.6,0.6000061063108723,0.39999389368912774,19652,13101,0.7847723668069181,17195,0.8749745572969673,0.12502544270303273,0.874022146615408,881e4956b23429e7f09a902f883cf89d780466fa3e7e3858459df5da5ef991f1,0.4
C2,uncalibrated,0.5,0.5000152657771807,0.4999847342228193,16377,16376,0.8614812223545218,14783,0.9026683763815107,0.09733162361848935,0.902185166749842,6fe3c3054189e189b4e163ab009b6357da8390164512e29cfb5f126598d810db,0.5
C2,cross_fitted_temperature,1.0,1.0,0.0,32753,0,0.27841604540980874,24492,0.7477788294202058,0.2522211705797942,0.7350355076324379,6f8540aff2511b2d63e23bea6d5aad24060cbbf3f352d40a8419248d4cdbcc54,0.0
C2,cross_fitted_temperature,0.9,0.9000091594663084,0.09999084053369156,29478,3275,0.4757651868648846,22980,0.779564420924079,0.22043557907592104,0.77494933330259,7153e638b6a80cad5583a4dedde1cfc7b1614bc85b0517a20095c501ba8bd15c,0.1
C2,cross_fitted_temperature,0.8,0.8000183189326169,0.19998168106738312,26203,6550,0.5432445554065785,21245,0.8107850246155021,0.18921497538449794,0.8080077434398591,fa500a14eabd72288f187ace3961c0d5d03473a5c6873824340002e20e718999,0.2
C2,cross_fitted_temperature,0.7,0.7000274783989253,0.2999725216010747,22928,9825,0.6133850702780262,19344,0.8436845778087927,0.1563154221912073,0.8431852363951999,f584f9981f28cd989919433683910557481293f1335c55602bba8794baa21c14,0.3
C2,cross_fitted_temperature,0.6,0.6000061063108723,0.39999389368912774,19652,13101,0.6898333250827522,17201,0.8752798697333605,0.12472013026663953,0.8753417014986791,2f990bd62fb6e372314bd1e276b22230226a5ce056f1a8ca8e986514086bca92,0.4
C2,cross_fitted_temperature,0.5,0.5000152657771807,0.4999847342228193,16377,16376,0.7666961526684108,14784,0.9027294376259388,0.09727056237406118,0.9039678692416281,b0c1bce574f7e491be055a605cea98e2ed7fe93d47258a6c2d5e8b1f2b932f47,0.5
I2,uncalibrated,1.0,1.0,0.0,32753,0,0.2778817547630218,24974,0.7624950386224163,0.2375049613775837,0.7526869559580971,6f8540aff2511b2d63e23bea6d5aad24060cbbf3f352d40a8419248d4cdbcc54,0.0
I2,uncalibrated,0.9,0.9000091594663084,0.09999084053369156,29478,3275,0.5257987539027457,23449,0.7954745912205713,0.2045254087794287,0.7915845387810443,a4ec6b3a4a9bceb177df23622c7513c8fd51bf6f725bf31739a85ccc859a5ffa,0.1
