workflow_order,display_name,experiment_id,phase,comparison_role,seed,model_family,loss_id,parameter_count,scratch,benchmark_only,final_eligible,selected_for_freeze,n_samples,coverage_id_set_sha256,split_sha256,label_map_sha256,macro_f1,accuracy,balanced_accuracy,weighted_f1,macro_precision,macro_recall,nll,brier,ece,manifest_path,manifest_sha256,pooled_metrics_path,pooled_metrics_sha256
1,B0 Majority,b0-majority,Baselines,Prior-only floor,2753,majority,training_fold_prior,0,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.1657038458397975,0.4956797850578573,0.25,0.3285441867565246,0.12391994626446433,0.25,1.148518707810574,0.6418107610680759,6.027753296500293e-10,results/evidence/task2/b0_majority/manifest.json,07da81144fe37bdd9624f37b075b38ec4ea526e7f3da9748c0459f4f152e2d11,results/evidence/task2/b0_majority/pooled_metrics.json,10d31775a575cbda8fd671cabfa51031a60abdb6b1a7285e61a65c0cd617271c
2,B1 HOG + HSV SVM,b1-hog-hsv-svm,Baselines,Classical baseline,2753,hog_hsv_svm,linear_svc_hinge_unweighted,7916,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.6095612606010009,0.6574054285103654,0.6206711419708568,0.6554383522972407,0.6075218990689831,0.6206711419708568,0.8817866645818174,0.46705552675275636,0.04061097760603331,results/evidence/task2/b1_hog_hsv_svm/manifest.json,039b619327986a8e72a89f0193cc3e84fe973ea13240ebb41b62065f24d7d46b,results/evidence/task2/b1_hog_hsv_svm/pooled_metrics.json,aca27404a42ca4529a44b41365d44260399d3e77d84741e4818b06fbefa78c09
3,G1 C1 SmallCNN (T0),g1-c1-smallcnn,Family screen,Eight-epoch screen,2753,smallcnn,cross_entropy,1174244,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.6999018131417043,0.7104692699905352,0.6544792347774784,0.7061022686349123,0.7767715197294371,0.6544792347774784,0.7079006263386197,0.39547453738102656,0.024439553740817948,results/evidence/task2/g1_c1_smallcnn/manifest.json,0bd07c367d9be97a71a2f9734465ad5b2d4731422688c028619e3cf6cab3c18f,results/evidence/task2/g1_c1_smallcnn/pooled_metrics.json,d3d1994b111bf1fd0d6771b9f497321a3b18a92089a0c418cdfb579b8c948932
4,G1 C2 ResNet18 (T0),g1-c2-resnet18,Family screen,Eight-epoch screen,2753,resnet18_small_stem,cross_entropy,11170884,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.707099241697181,0.717583122156749,0.6652570571625336,0.7124346694155013,0.777217610005771,0.6652570571625336,0.6856384822122547,0.38344696933990835,0.0173996827258312,results/evidence/task2/g1_c2_resnet18/manifest.json,f3bd02374fab4c91e6f013e04de3d1ba019fdb2b10d28226d89ce7c0308b69c0,results/evidence/task2/g1_c2_resnet18/pooled_metrics.json,2d8bccd95874c34e5d66a5fb16c1d95ca16cbdb694c16fc149ac03f3d0c41e20
5,G1 C3 MobileNetV3,g1-c3-mobilenetv3,Family screen,Efficiency alternative,2753,mobilenet_v3_small,cross_entropy,1521956,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.6384954196090575,0.660550178609593,0.5990937491097775,0.6462920493618446,0.721096253795042,0.5990937491097775,0.7734981086284222,0.4453457484600748,0.01977357738609283,results/evidence/task2/g1_c3_mobilenetv3/manifest.json,39b2c7de2a7af2fdf1c1afa66bfd3e15f029f4c83c363e070a351760c2436ecd,results/evidence/task2/g1_c3_mobilenetv3/pooled_metrics.json,da71b8314e406e305ea9050966727a321cc339152977887578731be4e7c1e4a4
6,G2 C2 P1 input size,g2-p1-c2-resnet18,Controlled ablations,Input-size ablation,2753,resnet18_small_stem,cross_entropy,11170884,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.7053119760782787,0.717796843037279,0.6598452738167442,0.7115331174409539,0.7840483319037327,0.6598452738167442,0.6858273380569831,0.38279623140850566,0.021242386898880736,results/evidence/task2/g2_p1_c2_resnet18/manifest.json,f7068aec69d66a4e0d9cf70f8118806885a09ed665bcfc7dded1406017621e45,results/evidence/task2/g2_p1_c2_resnet18/pooled_metrics.json,16f48152a110b17b2ce9a60dcc36ee8137d28077dafe66e2efc873df85653194
7,G2 C2 A1 augmentation,g2-a1-c2-resnet18,Controlled ablations,Augmentation ablation,2753,resnet18_small_stem,cross_entropy,11170884,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.6966616867314194,0.7127896681220041,0.6562379345332843,0.7033787230336564,0.7726168630378204,0.6562379345332843,0.6877361970211853,0.38697936785270404,0.02065094215885939,results/evidence/task2/g2_a1_c2_resnet18/manifest.json,e62c2e0a0e6058f9492ba5d32cab433b7bb95c2bc37f04ee3853ca0c15f76343,results/evidence/task2/g2_a1_c2_resnet18/pooled_metrics.json,8ba5a9361f49ef36ba89dac15c3d10e82610d37c2371896c678cab68d14ed716
8,G2 C1 T1,g2-t1-c1-smallcnn,Compact tuning,Learning-rate tuning,2753,smallcnn,cross_entropy,1174244,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.7080748795801736,0.7188959789942906,0.6648628066992062,0.7129871959473317,0.7810092769693314,0.6648628066992062,0.6840960436537634,0.38264982905664474,0.028892211689760368,results/evidence/task2/g2_t1_c1_smallcnn/manifest.json,48e5c1c5f9a20e2f95b879d7c10b7ebe42471a0a2c9138292b2e0acfcd36fae0,results/evidence/task2/g2_t1_c1_smallcnn/pooled_metrics.json,3a9760d5d6bede0599c3f5db69cc95a8b45c0da625050cadd262057006b4d62e
9,G2 C2 T1,g2-t1-c2-resnet18,Compact tuning,Learning-rate tuning,2753,resnet18_small_stem,cross_entropy,11170884,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.7005371055676045,0.7150490031447501,0.6556564232701854,0.7064245165084146,0.785194503884495,0.6556564232701854,0.6910651350831367,0.3869145373160063,0.022023720453150653,results/evidence/task2/g2_t1_c2_resnet18/manifest.json,303df17e14992a8ae2f74ed5225912adb9862ce85e978f7d7f26842c7406acac,results/evidence/task2/g2_t1_c2_resnet18/pooled_metrics.json,63af8964e7016a052f8db573ad5c270000f2817ba6647aa541dc5ae08e87b656
10,G2 C1 T2,g2-t2-c1-smallcnn,Compact tuning,Weight-decay tuning,2753,smallcnn,cross_entropy,1174244,True,False,True,False,32753,7e278f240c9be8e59b9bf070866f725c71906f73ce910be49a752daf3e2c5b85,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,0.7002749727606333,0.7112630904039324,0.6540584527747026,0.7061692786425101,0.7797512072243626,0.6540584527747026,0.7063288189791166,0.39492316961394547,0.027735675006974707,results/evidence/task2/g2_t2_c1_smallcnn/manifest.json,6073c408c7183ebe339673c780cd4708b051dd130ce0f3fffcba14b89f9a729a,results/evidence/task2/g2_t2_c1_smallcnn/pooled_metrics.json,f6c4bf2abc3d22624b8781c098213fa42a4755afbedbbfb6cec6c1c1eb120580
