articleType,shortcut_majority_season,majority_count,training_labeled_count,majority_share
Accessory Gift Set,Fall,41,91,0.45054945054945056
Baby Dolls,Summer,2,2,1
Backpacks,Summer,293,604,0.48509933774834435
Bangle,Summer,35,50,0.69999999999999996
Basketballs,Summer,7,12,0.58333333333333337
Belts,Summer,448,676,0.66272189349112431
Blazers,Summer,7,7,1
Body Wash and Scrub,Spring,1,1,1
Booties,Summer,9,9,1
Boxers,Summer,34,34,1
Bra,Summer,168,251,0.66932270916334657
Bracelet,Summer,29,44,0.65909090909090906
Briefs,Summer,490,568,0.86267605633802813
Camisoles,Winter,8,13,0.61538461538461542
Capris,Summer,105,136,0.7720588235294118
Caps,Summer,118,230,0.5130434782608696
Casual Shoes,Summer,1128,2276,0.49560632688927941
Churidar,Summer,22,26,0.84615384615384615
Clothing Set,Summer,7,7,1
Clutches,Summer,118,189,0.6243386243386243
Compact,Spring,4,4,1
Concealer,Spring,2,2,1
Cufflinks,Fall,20,38,0.52631578947368418
Cushion Covers,Fall,1,1,1
Deodorant,Spring,244,248,0.9838709677419355
Dresses,Summer,241,289,0.83391003460207613
Duffel Bag,Summer,38,73,0.52054794520547942
Dupatta,Summer,84,99,0.84848484848484851
Earrings,Summer,117,206,0.56796116504854366
Eyeshadow,Spring,4,4,1
Flats,Winter,214,356,0.601123595505618
Flip Flops,Summer,358,734,0.4877384196185286
Footballs,Fall,6,7,0.8571428571428571
Formal Shoes,Summer,231,517,0.44680851063829785
Foundation and Primer,Spring,11,11,1
Fragrance Gift Set,Spring,47,47,1
Free Gifts,Winter,33,57,0.57894736842105265
Gloves,Summer,13,18,0.72222222222222221
Handbags,Summer,606,1222,0.49590834697217678
Hat,Fall,2,2,1
Headband,Fall,3,6,0.5
Heels,Winter,637,890,0.71573033707865163
Highlighter and Blush,Spring,4,4,1
Innerwear Vests,Summer,188,205,0.91707317073170735
Ipad,Summer,1,1,1
Jackets,Fall,132,193,0.68393782383419688
Jeans,Summer,271,472,0.57415254237288138
Jeggings,Summer,19,22,0.86363636363636365
Jewellery Set,Summer,20,38,0.52631578947368418
Jumpsuit,Summer,8,10,0.80000000000000004
Kajal and Eyeliner,Spring,11,11,1
Key chain,Winter,1,1,1
Kurta Sets,Fall,33,64,0.515625
Kurtas,Summer,803,1322,0.60741301059001518
Kurtis,Summer,111,172,0.64534883720930236
Laptop Bag,Summer,35,67,0.52238805970149249
Leggings,Summer,71,135,0.52592592592592591
Lehenga Choli,Summer,2,2,1
Lip Gloss,Spring,5,5,1
Lip Liner,Spring,11,11,1
Lip Plumper,Spring,3,3,1
Lipstick,Spring,10,10,1
Lounge Pants,Summer,36,45,0.80000000000000004
Lounge Shorts,Summer,16,29,0.55172413793103448
Lounge Tshirts,Summer,1,1,1
Messenger Bag,Summer,18,37,0.48648648648648651
Mobile Pouch,Summer,24,40,0.59999999999999998
Mufflers,Fall,24,33,0.72727272727272729
Nail Polish,Spring,16,16,1
Necklace and Chains,Winter,23,53,0.43396226415094341
Nehru Jackets,Summer,4,4,1
Night suits,Summer,57,59,0.96610169491525422
Nightdress,Summer,34,34,1
Patiala,Fall,17,23,0.73913043478260865
Pendant,Summer,83,105,0.79047619047619044
Perfume and Body Mist,Spring,474,474,1
Rain Jacket,Summer,1,1,1
Rain Trousers,Summer,1,1,1
Ring,Summer,63,79,0.79746835443037978
Robe,Summer,2,2,1
Rompers,Summer,11,11,1
Rucksacks,Winter,9,10,0.90000000000000002
Salwar,Summer,26,28,0.9285714285714286
Salwar and Dupatta,Summer,5,6,0.83333333333333337
Sandals,Summer,365,735,0.49659863945578231
Sarees,Summer,85,129,0.65891472868217049
Scarves,Summer,55,93,0.59139784946236562
Shapewear,Summer,1,2,0.5
Shirts,Fall,1473,2619,0.56242840778923253
Shoe Accessories,Fall,11,20,0.55000000000000004
Shoe Laces,Summer,1,1,1
Shorts,Summer,280,447,0.62639821029082776
Shrug,Fall,1,2,0.5
Skirts,Summer,73,99,0.73737373737373735
Socks,Summer,416,521,0.79846449136276387
Sports Sandals,Summer,22,54,0.40740740740740738
Sports Shoes,Summer,993,1671,0.59425493716337519
Stockings,Summer,13,22,0.59090909090909094
Stoles,Summer,71,77,0.92207792207792205
Sunglasses,Winter,863,886,0.97404063205417613
Suspenders,Summer,34,34,1
Sweaters,Fall,200,234,0.85470085470085466
Sweatshirts,Fall,215,237,0.90717299578059074
Swimwear,Fall,6,15,0.40000000000000002
Tablet Sleeve,Summer,2,2,1
Ties,Summer,137,179,0.76536312849162014
Ties and Cufflinks,Summer,1,1,1
Tights,Summer,8,8,1
Tops,Summer,985,1369,0.71950328707085465
Track Pants,Fall,122,249,0.48995983935742971
Tracksuits,Fall,14,24,0.58333333333333337
Travel Accessory,Summer,8,12,0.66666666666666663
Trolley Bag,Summer,3,3,1
Trousers,Summer,232,435,0.53333333333333333
Trunk,Summer,95,119,0.79831932773109249
Tshirts,Summer,3483,5748,0.60594989561586643
Tunics,Summer,111,148,0.75
Umbrellas,Summer,5,5,1
Waist Pouch,Winter,10,15,0.66666666666666663
Waistcoat,Summer,7,12,0.58333333333333337
Wallets,Summer,371,704,0.52698863636363635
Watches,Winter,1853,1911,0.96964939822082674
Water Bottle,Fall,7,10,0.69999999999999996
Wristbands,Fall,3,5,0.59999999999999998
