metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7104700728841895,0.011725482448257295,0.7006563883376584,0.7273282442748091,0.7104692699905352
balanced_accuracy,0.6544649051857603,0.009358962685207233,0.6396178603703119,0.6623577616323555,0.6544792347774784
macro_precision,0.7779767871547298,0.01577036947700247,0.7587241490177041,0.7993506649987219,0.7767715197294371
macro_recall,0.6544649051857603,0.009358962685207233,0.6396178603703119,0.6623577616323555,0.6544792347774784
macro_f1,0.6997517134270239,0.010936122841197793,0.6830564783960702,0.7101463167624122,0.6999018131417043
weighted_f1,0.7059430426723783,0.010974501621373874,0.6959447690808286,0.7210309154015929,0.7061022686349123
nll,0.7078993995737051,0.01533724136985835,0.6875099599398299,0.7249968935485405,0.7079006263386197
brier,0.39547368447255016,0.010439721443185258,0.3823400472608012,0.4048758146284434,0.39547453738102656
ece,0.028201474770098427,0.010981710110622442,0.014869169833304387,0.04138952034187807,0.024439553740817948
