metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.6605503329408414,0.0052434639435298335,0.6537404580152671,0.6665648854961832,0.660550178609593
balanced_accuracy,0.599093102519876,0.007817075916991044,0.5872664018252443,0.6072016650712978,0.5990937491097775
macro_precision,0.7214467436225898,0.009111556458615517,0.7124602074482373,0.7336147069555844,0.721096253795042
macro_recall,0.599093102519876,0.007817075916991044,0.5872664018252443,0.6072016650712978,0.5990937491097775
macro_f1,0.6383355423360888,0.00833882771677031,0.6257490939061119,0.6482940587077415,0.6384954196090575
weighted_f1,0.6461606106927105,0.005450188372463403,0.6388597070869934,0.6522792578189375,0.6462920493618446
nll,0.7734977613131124,0.009126069823816712,0.7607637240513644,0.7859234338419258,0.7734981086284222
brier,0.4453454384999519,0.004982796748646903,0.439818564475495,0.4509139630189273,0.4453457484600748
ece,0.02475515141909731,0.004334416097806683,0.01815728127250583,0.02855636697475492,0.01977357738609283
