metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7127897608042215,0.0040485758409489,0.7061517325599145,0.7169465648854961,0.7127896681220041
balanced_accuracy,0.6562304053689794,0.007116533602283018,0.6461370917764311,0.66410066802092,0.6562379345332843
macro_precision,0.7737760369356863,0.02028113594494633,0.7428831409585039,0.7974175100365188,0.7726168630378204
macro_recall,0.6562304053689794,0.007116533602283018,0.6461370917764311,0.66410066802092,0.6562379345332843
macro_f1,0.6965075672689095,0.006778281195727873,0.6866240392309381,0.7028836465514346,0.6966616867314194
weighted_f1,0.7031585330558705,0.004367258923837656,0.698465482983072,0.7098289801178038,0.7033787230336564
nll,0.6877353636295896,0.01388032056504226,0.6728081536815691,0.7053219964820946,0.6877361970211853
brier,0.3869789360319159,0.005238769086538463,0.38162721224915935,0.3940232496174326,0.38697936785270404
ece,0.024017245297251345,0.004572278707090837,0.01996681150959176,0.029882249625781114,0.02065094215885939
