metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7177970821178024,0.007072368533212758,0.7094656488549619,0.7262595419847329,0.717796843037279
balanced_accuracy,0.659836104014197,0.0041570205021360385,0.6559498056926603,0.665703739426173,0.6598452738167442
macro_precision,0.7850503211954563,0.013590744879728812,0.7729553978490866,0.8029427712052069,0.7840483319037327
macro_recall,0.659836104014197,0.0041570205021360385,0.6559498056926603,0.665703739426173,0.6598452738167442
macro_f1,0.7051536376159107,0.006467214431520193,0.6995774425572285,0.7122829040372449,0.7053119760782787
weighted_f1,0.7113525415549024,0.006067240706971192,0.7041982913718924,0.7188807147380873,0.7115331174409539
nll,0.6858267434430587,0.011726962461071869,0.6673602049912563,0.6980841652662616,0.6858273380569831
brier,0.38279586634795576,0.006554801703586143,0.37428699166872725,0.3883413500780141,0.38279623140850566
ece,0.022993573747912843,0.007853665781428334,0.013851477406931663,0.03313769730379042,0.021242386898880736
