metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.718896435256103,0.008147893888900404,0.7106870229007634,0.7288549618320611,0.7188959789942906
balanced_accuracy,0.6648541759489875,0.010762074091030234,0.6541199162116256,0.6803295478400633,0.6648628066992062
macro_precision,0.7856007958684652,0.01313322442566474,0.7645956737853482,0.7974858235733396,0.7810092769693314
macro_recall,0.6648541759489875,0.010762074091030234,0.6541199162116256,0.6803295478400633,0.6648628066992062
macro_f1,0.7074546501967218,0.007322409536475836,0.6988402037918148,0.715533826355243,0.7080748795801736
weighted_f1,0.7122151436939114,0.008216544436604608,0.7004251869063108,0.7201489010519425,0.7129871959473317
nll,0.684094179545471,0.020098239677568387,0.6562047937571198,0.707496238656483,0.6840960436537634
brier,0.3826488737712269,0.011132429241954607,0.3685816893269165,0.39520597584640654,0.38264982905664474
ece,0.03362980947478101,0.013723457014215575,0.016585012305086046,0.051386128745519025,0.028892211689760368
