metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7150490417859843,0.006919263189665845,0.7061068702290076,0.7248854961832061,0.7150490031447501
balanced_accuracy,0.6556465883921193,0.00328405688328533,0.6507810369930613,0.6599062528690619,0.6556564232701854
macro_precision,0.7868279267285367,0.016822238935784488,0.7696547964817831,0.8114910527909929,0.785194503884495
macro_recall,0.6556465883921193,0.00328405688328533,0.6507810369930613,0.6599062528690619,0.6556564232701854
macro_f1,0.7003059089030294,0.00587354596719319,0.6926940762553593,0.7070831089809126,0.7005371055676045
weighted_f1,0.7061580825811602,0.007265116673799146,0.6953842987648035,0.7136652154898019,0.7064245165084146
nll,0.691064922184348,0.018152992364388155,0.6628274636703643,0.7127821072109731,0.6910651350831367
brier,0.38691434609812525,0.007955583085529195,0.3732023854686865,0.39365447061977815,0.3869145373160063
ece,0.032159157005476516,0.008136191960546374,0.022541552785158472,0.041269624507730626,0.022023720453150653
