metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7482072917385747,0.012481474551665426,0.7289377289377289,0.7625954198473283,0.7482062711812658
balanced_accuracy,0.7025474448727168,0.01017601308234088,0.6923494730021326,0.7144855898849273,0.7025413521347774
macro_precision,0.7902793907406274,0.020480362849312553,0.7602598151227271,0.8070658743730093,0.7889154610566043
macro_recall,0.7025474448727168,0.01017601308234088,0.6923494730021326,0.7144855898849273,0.7025413521347774
macro_f1,0.7373088007893457,0.010316489965704459,0.723007465506373,0.7509616550947982,0.7373102656771614
weighted_f1,0.7465016703886466,0.01243590223736155,0.7282128450802243,0.7615161821379247,0.7465618624410559
nll,0.6497594493005141,0.02256073692250956,0.6340712036627896,0.6896432706257881,0.6497616649710761
brier,0.35300908140930015,0.015239478439578891,0.33905832535620856,0.37861672597682455,0.3530104441864796
ece,0.038934514032373,0.01139907970069941,0.027785564915736524,0.05718051084033835,0.03762879749870106
