metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7477790139443916,0.004581720143935657,0.7447328244274809,0.7558778625954199,0.7477788294202058
balanced_accuracy,0.6989730325555064,0.008481107808758749,0.6908644370633812,0.7120719935165077,0.698980427668666
macro_precision,0.7906754135437346,0.0024526296532703445,0.7872096201125752,0.7931163226622114,0.7902954902828996
macro_recall,0.6989730325555064,0.008481107808758749,0.6908644370633812,0.7120719935165077,0.698980427668666
macro_f1,0.7349575297442639,0.006339729242637776,0.72969255491362,0.7454441632445239,0.7350355076324379
weighted_f1,0.7444143141669783,0.005323512906372665,0.7406626325046444,0.7537098177894965,0.7444673970736556
nll,0.6657347818975197,0.020850087893034944,0.637372320712103,0.6847330359866776,0.6657363015120032
brier,0.3560916493349352,0.007354734855820494,0.3445577351484207,0.36257578910843447,0.35609205067323857
ece,0.059667979256085094,0.02171447446759722,0.02485686180235213,0.07939754374088054,0.05745613293349274
