metric,fold_mean,fold_sd,fold_min,fold_max,pooled_value
n_samples,6550.6,0.8944271909999159,6550.0,6552.0,32753.0
accuracy,0.7608159561684378,0.003647171734657234,0.7572889635170204,0.7668702290076336,0.7608158031325375
balanced_accuracy,0.7172071124176961,0.005943022070155442,0.710918252628854,0.7247628026461271,0.7172028496723751
macro_precision,0.7998002489843175,0.011910380927947906,0.7874178600603788,0.8149756766587184,0.7990059970832339
macro_recall,0.7172071124176961,0.005943022070155442,0.710918252628854,0.7247628026461271,0.7172028496723751
macro_f1,0.7507508764867524,0.004994503827318495,0.7445375849968889,0.7583079902645908,0.7507581489986787
weighted_f1,0.7588478737575839,0.004135454719050085,0.7546641795052065,0.7656758157910816,0.7588631272645168
nll,0.6425233466304032,0.012874541122972519,0.623755094199209,0.6561067685004897,0.6425234716049991
brier,0.34167814265011504,0.00332934125963273,0.3373573426138938,0.3462546851971381,0.3416782501526727
ece,0.05590104092401327,0.0068217100614419955,0.04616753854266234,0.06225815955871117,0.05450849660474695
